right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0004,261.6761,space,246.6612,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,261.6773,418.9623,space,127.2631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,418.963,427.5686,space,5.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,427.6249,428.0695,428.0709,428.3204,428.322,429.1015,right,0.7271,,429.1025,430.2003,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,430.203,430.6998,430.7,430.9527,430.9529,431.5669,left,0.6018,,431.5676,432.6663,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.6679,450.3016,space,14.6108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,450.342,450.8158,,,451.0685,451.5647,left,0.4764,,,,,,,,,0.1,,,,,,450.8179,451.0683,451.5652,"[0.05455563502675381,0.027374449844073497]","[-1,-1,-1]","[-0.13978686747397967,-0.02658459528498581]","[-1,-1,-1]","[0.19424828252988077,0.023923302842788072]","[-1,-1,-1]","[0.10240121124255094,0.00549893111766262]","[-1,-1,-1]","[-0.04817756189543896,0.03712075234247836]","[-1,-1,-1]","[-0.1357234252200852,-0.1188590057523472]","[1,1,1]","[-0.0730294491824676,-0.07062801823017925]","[-1,-1,-1]","[-0.015631626273135933,-0.1388222603646708]","[-1,-1,-1]","[0.023554408399872627,-0.13008243586942372]","[-1,-1,-1]","[0.1530525252978354,-0.11108520971917099]","[-1,-1,-1]","[0.08163647516660778,-0.08323937268048533]","[-1,-1,-1]","[-0.13871955776514716,0.0619323605518484]","[-1,-1,-1]","[-0.07843721781468137,0.08164355955777669]","[-1,-1,-1]","[-0.09495502609688429,0.16943749612461104]","[-1,-1,-1]","[0.17188932536174995,0.07952451196912276]","[-1,-1,-1]","[-0.03754055131072689,0.14874111603550513]","[-1,-1,-1]","[0.08841117522709278,-0.1700779523285351]","[-1,-1,-1]","[-0.010956375176400003,-0.045772378626614776]","[-1,-1,-1]","[0.01682889484968373,0.00993130437360617]","[-1,-1,-1]","[-0.15402153854060943,0.12626695738403623]","[-1,-1,-1]","[0.12007222648648214,0.15763988091567227]","[1,1,1]","[-0.18158895580476547,0.02459105016873836]","[-1,-1,-1]","[-0.033971701972033905,-0.08114263412357534]","[-1,-1,-1]","[0.13484490581491868,0.029438564845091993]","[-1,-1,-1]","[-0.09544948692537761,-0.12262830796048863]","[-1,-1,-1]","[0.025267993686614965,0.0854185456261828]","[-1,-1,-1]","[-0.061954020309547976,-0.17038944163023037]","[-1,-1,-1]","[-0.09351344408496096,0.12325276906692155]","[-1,-1,-1]","[0.03555895423406019,0.13701118171568982]","[-1,-1,-1]","[0.10170526409201347,0.07604725212360428]","[1,1,1]","[0.1874888378883595,-0.022761074825946283]","[-1,-1,-1]","[0.022047753029294466,-0.08194179687192446]","[-1,-1,-1]","[0.02,0.02]",452.6658,0,0,0,19,1,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,452.6677,453.1654,,,453.4207,453.8165,right,0.3778,,,,,,,,,0.1,,,,,,453.1655,453.4205,453.8167,"[-0.1534163514462521,-0.10435950267453185]","[1,1,1]","[-0.1804456811236614,0.029784406718855416]","[-1,-1,-1]","[0.08591508281664205,-0.003513194838757689]","[-1,-1,-1]","[0.06201089977033437,0.18439901730676836]","[-1,-1,-1]","[0.009111884406511596,0.14899575931511722]","[-1,-1,-1]","[-0.04499352182860585,0.057482236899431986]","[-1,-1,-1]","[-0.010092834683595616,-0.04654725319528729]","[-1,-1,-1]","[-0.11961748804036332,0.025430500390273978]","[-1,-1,-1]","[-0.097492150882132,0.06003680902607594]","[-1,-1,-1]","[0.091703382281466,-0.12473582959223867]","[1,1,1]","[0.02852999713963688,0.0875971689618077]","[-1,-1,-1]","[-0.14152797766720698,0.06185368979937065]","[-1,-1,-1]","[-0.10310273999978614,-0.16721258087437813]","[-1,-1,-1]","[0.07682377413952625,0.1142229103551726]","[-1,-1,-1]","[0.05488323260693965,-0.10225158329232793]","[-1,-1,-1]","[-0.1023278821342889,0.16380012203354055]","[-1,-1,-1]","[-0.04228033075630157,0.10446913993263031]","[-1,-1,-1]","[0.04289754729316435,-0.1532809637662525]","[-1,-1,-1]","[-0.010737530426771943,0.023316876679874483]","[-1,-1,-1]","[-0.050022829868332834,-0.1563388031441522]","[-1,-1,-1]","[-0.08834216641944108,-0.020917342882643464]","[-1,-1,-1]","[-0.17507996146841942,-0.02582817860768503]","[1,1,1]","[-0.057776877793566155,-0.07677399261266749]","[-1,-1,-1]","[0.15358130892871621,-0.04962931481469782]","[-1,-1,-1]","[-0.13035300000514835,-0.023499761239305507]","[-1,-1,-1]","[0.1378227570311123,-0.09713731198654617]","[-1,-1,-1]","[0.14501313885402925,0.052723234095721286]","[-1,-1,-1]","[0.0418460347139795,0.018132833718701644]","[-1,-1,-1]","[0.12656981835440628,0.13153057346906805]","[-1,-1,-1]","[0.0007021010524940611,-0.1129929711716065]","[-1,-1,-1]","[-0.10112192371896606,-0.08561008210635607]","[-1,-1,-1]","[-0.05219328089743124,0.005172987590119043]","[-1,-1,-1]","[0.02,0.02]",454.9154,0,1,1,22,1,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,454.9168,455.4153,,,455.6553,456.1502,left,0.4777,,,,,,,,,0.4,,,,,,455.4154,455.6551,456.1504,"[0.06556876950810289,-0.055613606315072145]","[-1,-1,-1]","[-0.16912456550440869,0.010443908833481305]","[-1,-1,-1]","[-0.1557529100271701,0.06726541359458323]","[1,1,1]","[-0.12958961126269783,0.10272149662565977]","[-1,-1,-1]","[0.07913639190627385,0.00047380263739094157]","[1,1,1]","[0.027853498297456397,-0.09196648384818727]","[-1,-1,-1]","[0.036889401841978635,0.005704186481204902]","[-1,-1,-1]","[-0.1791679747139243,-0.046674732005595826]","[-1,-1,-1]","[0.02946659308241355,-0.1913049885093197]","[1,1,1]","[0.01180418645816262,0.061003496649259706]","[1,1,1]","[-0.01699830866058612,0.018080060411354508]","[1,1,1]","[0.12603592887724985,-0.04186661451016508]","[-1,-1,-1]","[0.08835840414043052,-0.14309125527768005]","[-1,-1,-1]","[-0.11423738332767958,0.043612792476239885]","[-1,-1,-1]","[0.18069385425510953,0.02059578218776166]","[1,1,1]","[-0.0653847243560823,0.1465704925538594]","[1,1,1]","[-0.025025944705317552,-0.13307573707631135]","[1,1,1]","[-0.10604145733850799,0.14444844078945202]","[-1,-1,-1]","[-0.11102299749596926,-0.10913767064220835]","[-1,-1,-1]","[-0.11299038611244266,-0.058636931984927705]","[-1,-1,-1]","[0.07741497277856259,0.18332702068673493]","[-1,-1,-1]","[0.13419561680007966,-0.08195060412295853]","[1,1,1]","[0.011351551430203706,0.12293980545874048]","[1,1,1]","[0.012308424400401325,-0.02608468493773093]","[-1,-1,-1]","[-0.05504157938650087,-0.0896213832600197]","[-1,-1,-1]","[-0.1097582972246702,-0.16517224609427325]","[-1,-1,-1]","[0.1208928915827016,0.057587512242153235]","[-1,-1,-1]","[-0.04364297460985144,0.08251863161030305]","[1,1,1]","[-0.06737281784149067,0.044749678240922235]","[-1,-1,-1]","[0.14837099162031814,0.12940390319419798]","[1,1,1]","[0.1784109405539246,-0.032347005887448356]","[1,1,1]","[0.07786989426633112,0.13968236512985646]","[-1,-1,-1]","[0.02,0.02]",457.2486,0,2,2,53,1,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,457.2504,457.7485,,,457.9998,458.4331,right,0.416,,,,,,,,,0.6,,,,,,457.7486,457.9998,458.4332,"[0.15536797953875556,-0.0918230728040923]","[1,1,1]","[0.010606257279925225,-0.1770426815075712]","[-1,-1,-1]","[0.12178725844705644,-0.14880687282923433]","[-1,-1,-1]","[0.10700374599050892,0.0292436064135944]","[1,1,1]","[-0.10887452002963681,-0.0909491131917681]","[-1,-1,-1]","[0.0846395552822203,0.10906074621069847]","[-1,-1,-1]","[0.02760244422791364,0.15258466125557762]","[-1,-1,-1]","[-0.08633006806869784,0.17272450689433652]","[-1,-1,-1]","[0.046325420722450765,-0.03951164135249117]","[1,1,1]","[0.02622912945159398,0.09923393694245]","[1,1,1]","[-0.07574313090579488,0.11964913255950824]","[1,1,1]","[-0.1633312261892774,0.06798060422479729]","[1,1,1]","[-0.08569579804029197,0.015465870245382119]","[-1,-1,-1]","[-0.1194697036533787,0.11433395069514397]","[1,1,1]","[0.15894077064113035,-0.03414110484961911]","[1,1,1]","[-0.13306999992653246,0.004714931921861954]","[-1,-1,-1]","[-0.018441071267129506,0.05987927328541621]","[-1,-1,-1]","[-0.15363542969802677,-0.12156664643921276]","[-1,-1,-1]","[0.09964003700678833,-0.06355872783247563]","[-1,-1,-1]","[-0.03460312357738242,0.14781505227171038]","[1,1,1]","[-0.007680283409424498,-0.051520700614548325]","[1,1,1]","[0.022183900486962903,0.0528795994632382]","[-1,-1,-1]","[0.19093882109434435,0.04037029368922647]","[1,1,1]","[-0.04467846274718969,0.010702943094123795]","[1,1,1]","[0.05630423552599182,-0.08408071549192553]","[1,1,1]","[0.0029622220978431104,-0.10960633218975667]","[1,1,1]","[0.09063024151152836,-0.016733519260258886]","[-1,-1,-1]","[-0.051663279274157425,-0.11101057718177425]","[1,1,1]","[-0.15240315942161461,-0.041029643667786296]","[1,1,1]","[-0.08768839687827236,-0.04137770040591063]","[1,1,1]","[0.1312528783263878,-0.0033268080023229995]","[1,1,1]","[0.08627328866833428,-0.17956228271920333]","[1,1,1]","[0.02,0.02]",459.5315,0,3,3,171,1,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,459.5328,460.0317,,,460.2827,460.6723,right,0.3685,,,,,,,,,0.9,,,,,,460.0318,460.2826,460.6723,"[0.14496872580143533,-0.09917919325050177]","[1,1,1]","[-0.09003781881468019,0.09235938263202685]","[1,1,1]","[-0.0604807997207023,0.024583325367638416]","[1,1,1]","[0.0876736957215924,0.09481101811683612]","[-1,-1,-1]","[-0.12901232700675386,0.012976616236541299]","[1,1,1]","[0.09997669311509372,-0.16727963108842336]","[1,1,1]","[0.1781975256075659,-0.002851631045315061]","[1,1,1]","[-0.16301688681532697,-0.009919180355060833]","[-1,-1,-1]","[-0.009457306513938397,-0.18900142913735893]","[1,1,1]","[0.0749377928100035,-0.023296650776592456]","[1,1,1]","[-0.019847727074976677,-0.04284162374690721]","[1,1,1]","[-0.05045296835097125,0.1690909293663161]","[1,1,1]","[-0.06509626065254687,-0.027639145881541437]","[1,1,1]","[-0.057238163034598416,-0.12610160494545578]","[1,1,1]","[-0.15971996040656639,0.09637589913420888]","[1,1,1]","[-0.11045440110538632,-0.10815809063305336]","[1,1,1]","[0.1646183522182767,0.09589427037731657]","[1,1,1]","[-0.1529082495237889,0.05252899902936798]","[1,1,1]","[0.023465495202157016,0.12594071335242943]","[1,1,1]","[-0.02508247709940925,0.05036492731578964]","[1,1,1]","[0.03811286878866943,0.032101064894637536]","[1,1,1]","[0.08362063392623137,0.05373293606942903]","[1,1,1]","[0.11873040126030321,-0.06736263600658075]","[1,1,1]","[0.1709124143609854,0.03844385521582836]","[1,1,1]","[0.06404176086973004,-0.1262500119329448]","[-1,-1,-1]","[-0.1485900945449509,-0.06715376412138348]","[1,1,1]","[-0.10706654222098023,-0.16267203676207231]","[1,1,1]","[0.17127816225069792,-0.05538257513855309]","[1,1,1]","[-0.047731134368340804,-0.1713765914539179]","[1,1,1]","[0.06956729344776759,0.1691938745147046]","[1,1,1]","[0.010388530218554397,0.18668270619735453]","[1,1,1]","[-0.08253718586657115,-0.07578289029223223]","[1,1,1]","[0.02,0.02]",461.7648,0,4,4,194,1,,,,,,,
,,,,,,,6755b42b20cf26a928acaa05,68317a5d1c4b4dbc3c2f6744,2025-05-24_08h55.57.989,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,461.7664,462.2652,,,462.516,462.8655,right,0.3343,,,,,,,,,0.6,,,,,,462.2653,462.5158,462.8658,"[-0.02659208935068259,-0.015503147537410182]","[-1,-1,-1]","[0.13700285985454666,0.11399618700646928]","[1,1,1]","[0.049852102811680975,-0.04088333417683578]","[-1,-1,-1]","[-0.16541732764895678,0.02302585161518976]","[1,1,1]","[0.0023646289455508153,0.04240087431152471]","[1,1,1]","[0.05622709318336071,0.18533189519562204]","[-1,-1,-1]","[-0.03198377288594005,0.16307888835830633]","[-1,-1,-1]","[-0.05199042799192403,0.03139840000779574]","[1,1,1]","[0.10137505756941734,-0.04551580513834003]","[1,1,1]","[-0.12561432590887636,-0.10305954741297056]","[-1,-1,-1]","[0.17174363032115694,-0.08833213310678736]","[1,1,1]","[-0.04871987974062299,-0.19285905248622365]","[1,1,1]","[0.034592976306615314,-0.14945217138469402]","[-1,-1,-1]","[-0.11432353592285686,0.0850388040999868]","[1,1,1]","[-0.13364955058444802,0.12863993968445994]","[1,1,1]","[0.06486374784031891,0.05320291997284805]","[1,1,1]","[-0.05936780370423231,-0.10618307834876943]","[1,1,1]","[0.09050658081338497,0.11576362291584996]","[1,1,1]","[-0.08216136500085529,0.11511155322867601]","[-1,-1,-1]","[-0.09146187098629173,-0.15010248544556312]","[1,1,1]","[0.13778524407191756,0.0011110201581098318]","[-1,-1,-1]","[0.19252583383863064,0.022524291239291276]","[1,1,1]","[0.19102314103468962,-0.01932360119459152]","[-1,-1,-1]","[-0.02374500288751988,-0.08197261474784762]","[-1,-1,-1]","[-0.13837458620154233,-0.019893687410210723]","[1,1,1]","[0.009722071047781843,0.17062407170235785]","[-1,-1,-1]","[-0.09904414692745575,0.02635939167242974]","[1,1,1]","[0.1053963154803071,-0.1285183835496027]","[1,1,1]","[0.12161407276152698,0.050914037753248854]","[-1,-1,-1]","[-0.08985965907476383,-0.054421685339267015]","[-1,-1,-1]","[0.1739536322531182,0.09557730380503973]","[1,1,1]","[0.027525180512429935,-0.005492951621831891]","[1,1,1]","[0.02,0.02]",463.9646,0,5,5,178,1,,,,,,,
