right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,37.4279,space,22.4121,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,37.4284,69.4836,space,2.0378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,69.4838,73.8585,space,1.3585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,73.8897,74.3739,74.3745,74.61,74.6103,75.2563,left,0.6171,,75.2565,76.3537,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,76.3546,76.8523,76.8524,77.1052,77.1052,77.5347,right,0.4023,,77.5349,78.6363,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6371,84.1889,space,2.5332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,84.2096,84.7044,,,84.9405,85.5403,left,0.5828,,,,,,,,,0.5,,,,,,84.705,84.9405,85.5409,"[-0.04409528026009461,-0.1778320271594313]","[-1,-1,-1]","[0.055934515994142786,-0.04522947851782653]","[1,1,1]","[0.09654498157103876,0.10328777767555766]","[-1,-1,-1]","[0.06838004447872946,-0.09389889172430611]","[1,1,1]","[0.1542284398773918,0.09312912825540058]","[-1,-1,-1]","[-0.11240813594085516,0.004862545968519347]","[1,1,1]","[0.12514568544452184,-0.037987006859901876]","[1,1,1]","[0.012187992634649552,0.1330298286219367]","[1,1,1]","[0.13659231714739392,-0.09478578729268985]","[-1,-1,-1]","[-0.13602718470598535,0.08037369245788435]","[1,1,1]","[0.14148395276108938,0.03726871242523996]","[1,1,1]","[0.08346167083760322,0.014258306048821947]","[1,1,1]","[-0.02355760368307162,0.18243997650871596]","[-1,-1,-1]","[-0.04769460308345837,0.08705146012613135]","[-1,-1,-1]","[-0.15508958136131368,-0.045023883665782284]","[1,1,1]","[-0.1284120639171835,-0.12767698585659193]","[-1,-1,-1]","[0.04854406474435158,0.05516826451907044]","[1,1,1]","[-0.000029674828341931144,0.03212475588942931]","[1,1,1]","[0.04754770271339095,0.10620754263583283]","[-1,-1,-1]","[-0.10290487477871806,-0.05835512055391594]","[1,1,1]","[0.14394951322040223,0.1345221526041627]","[-1,-1,-1]","[-0.03954962149106237,-0.049231662957063896]","[-1,-1,-1]","[-0.08544383141957916,-0.13765135061360606]","[1,1,1]","[0.10587917846493745,-0.1507212916330871]","[-1,-1,-1]","[0.02010581465764758,-0.19329544241352822]","[1,1,1]","[0.08368388122341372,0.14169056560579546]","[-1,-1,-1]","[-0.010854721489572918,-0.020042071612497523]","[-1,-1,-1]","[-0.19216309901221368,0.045886315159078865]","[1,1,1]","[0.017022517930738598,-0.12141889742432506]","[-1,-1,-1]","[0.15884820528823865,-0.004966707717475145]","[1,1,1]","[-0.14816035699553884,-0.0887906489927561]","[-1,-1,-1]","[0.06792470114344734,-0.17184903538840482]","[-1,-1,-1]","[0.02,0.02]",86.6343,0,0,0,96,1,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,86.635,87.133,,,87.3859,87.6989,right,0.2898,,,,,,,,,0.1,,,,,,87.1331,87.3858,87.6989,"[-0.1762346112992892,0.020184620763928022]","[-1,-1,-1]","[-0.12892446190824472,0.009546893789637214]","[-1,-1,-1]","[-0.08344862761474722,0.10136801775683447]","[-1,-1,-1]","[-0.06488824662685516,0.026677536749067247]","[-1,-1,-1]","[0.1481662166035346,0.0030884245323544875]","[-1,-1,-1]","[-0.017688138758376902,-0.010796186769993873]","[-1,-1,-1]","[0.1617744663077337,-0.07165348872999239]","[-1,-1,-1]","[0.08061421177134664,-0.11303856336867459]","[-1,-1,-1]","[-0.08036642309950226,-0.1069024474905528]","[1,1,1]","[-0.03946297312269729,0.10292777920331289]","[-1,-1,-1]","[0.16771223692712497,0.08049812812306095]","[-1,-1,-1]","[0.07692366377704767,0.017526309642113058]","[-1,-1,-1]","[0.08253851184268862,0.13407848684505377]","[-1,-1,-1]","[0.005868492340144571,0.0838069635929453]","[-1,-1,-1]","[-0.15157992158364897,-0.10962610776779719]","[-1,-1,-1]","[-0.005768244745635674,0.1628506455070846]","[-1,-1,-1]","[0.0321091023475118,-0.11658547997525523]","[1,1,1]","[-0.010316909732553056,-0.16103558770949125]","[1,1,1]","[-0.10111844614727249,-0.06884873709224595]","[-1,-1,-1]","[-0.14405734855701824,0.06287091194334198]","[-1,-1,-1]","[0.10241985508349677,-0.06642996234739133]","[-1,-1,-1]","[-0.08209866394172619,-0.17499193651887232]","[-1,-1,-1]","[0.1550653210642073,-0.12618735612495172]","[-1,-1,-1]","[0.030847864448621917,0.1275045458907528]","[-1,-1,-1]","[0.07959360869070599,-0.16998104593678123]","[-1,-1,-1]","[0.11810069726286203,0.11513094452321165]","[-1,-1,-1]","[0.022065949675322712,-0.05224867884977201]","[-1,-1,-1]","[-0.16318299007442436,0.10105675251470483]","[-1,-1,-1]","[0.03171525360515701,0.04863678444881421]","[-1,-1,-1]","[-0.061859853839903486,-0.040233509790401634]","[-1,-1,-1]","[0.120096189013489,0.05020726537140072]","[-1,-1,-1]","[0.1926528911645601,0.04493709182756883]","[-1,-1,-1]","[0.02,0.02]",88.7964,0,1,1,7,1,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,88.797,89.2957,,,89.5483,89.8452,left,0.2794,,,,,,,,,0.9,,,,,,89.2957,89.5482,89.8453,"[-0.06147039927628652,-0.055443400080603326]","[1,1,1]","[0.05049273521023783,0.13073556031130734]","[1,1,1]","[0.02889337174076246,-0.08402452376702321]","[1,1,1]","[-0.11214059823271716,-0.046128508650424914]","[1,1,1]","[0.05682478440439676,-0.13819591619336663]","[1,1,1]","[-0.016942499541740114,0.018937047131911102]","[1,1,1]","[0.10993831466145841,-0.027320487937909227]","[1,1,1]","[0.084005589133021,0.0900894494820558]","[1,1,1]","[-0.008698760606457358,-0.16925235638135094]","[-1,-1,-1]","[-0.1463472695756534,-0.07738913361036452]","[1,1,1]","[0.023536620157968993,0.16347757055602666]","[1,1,1]","[-0.015706201461263603,0.12520184918690064]","[1,1,1]","[-0.1043356439050317,-0.15785649509317548]","[1,1,1]","[-0.06199841838714595,0.02996991216111806]","[1,1,1]","[0.01433969486047492,-0.022117080832175184]","[1,1,1]","[0.1617459607909129,-0.10742523464794615]","[-1,-1,-1]","[-0.12233665970024653,0.0435587296690112]","[1,1,1]","[-0.008347521124638338,0.06784589616067714]","[1,1,1]","[0.053419165795902245,-0.030761364921386942]","[1,1,1]","[-0.07950377579055673,0.14539032610977895]","[1,1,1]","[-0.1724559920720322,0.0341247171256769]","[-1,-1,-1]","[0.13994303308586534,0.03462032608203326]","[1,1,1]","[-0.1101621309812638,0.09102863757185425]","[1,1,1]","[-0.16644258863065128,0.10315016274477666]","[1,1,1]","[0.13350608839437364,0.08758558726374628]","[1,1,1]","[0.11940450601749879,0.1423658653962295]","[1,1,1]","[-0.021478899413508418,0.16894409610637007]","[1,1,1]","[-0.05307539974130605,-0.17815092384975237]","[1,1,1]","[0.05115642374714742,0.04720394342727196]","[1,1,1]","[0.11924472766759546,-0.07218106097804132]","[1,1,1]","[-0.05726136678320021,-0.12681416727648595]","[1,1,1]","[0.10968709062864954,-0.1242100871587665]","[1,1,1]","[0.02,0.02]",90.9459,0,2,2,197,1,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,90.9464,91.4414,,,91.6941,92.2594,right,0.5479,,,,,,,,,0.6,,,,,,91.4414,91.6941,92.2595,"[-0.049286062882724864,0.14666069076755683]","[1,1,1]","[-0.0441421763379686,-0.166368516979284]","[1,1,1]","[0.1723291268655415,0.024391856300926242]","[1,1,1]","[0.08758041159138222,0.1169014417580055]","[1,1,1]","[0.0182446876965264,-0.04336652416803294]","[1,1,1]","[-0.028425764354660574,0.08711485027945472]","[-1,-1,-1]","[0.17811467184763677,-0.0571609699680789]","[1,1,1]","[0.048350230195472146,0.09101098372057077]","[-1,-1,-1]","[-0.07620157533603777,0.09361275159614674]","[1,1,1]","[0.1316884281796158,0.10808248265897144]","[-1,-1,-1]","[-0.16512390318785905,0.001643787736517111]","[1,1,1]","[0.10032468934945935,-0.16738551267008786]","[-1,-1,-1]","[0.12610705189105034,0.010662100523555219]","[-1,-1,-1]","[0.1561504502778146,-0.022812925469999027]","[1,1,1]","[-0.06604405729583326,-0.08841924966172417]","[-1,-1,-1]","[0.13119102226538656,0.055248216293917955]","[-1,-1,-1]","[-0.13574898269257923,-0.06523701053286109]","[1,1,1]","[-0.11609528239042985,0.1170355629873104]","[1,1,1]","[0.014316196573467685,-0.15976836301142866]","[-1,-1,-1]","[0.15102313602051406,-0.10824684152841203]","[1,1,1]","[-0.009746962072698278,-0.006960226012279579]","[1,1,1]","[0.0837444955145106,-0.05779796911076722]","[1,1,1]","[0.03461097649521049,0.16263574823956803]","[1,1,1]","[-0.027748848984263996,-0.04443821724908254]","[-1,-1,-1]","[0.10261079280351866,-0.11516214738131843]","[-1,-1,-1]","[-0.12837306434127585,0.07039752823557845]","[1,1,1]","[0.004583414342003922,0.039483499487784575]","[1,1,1]","[0.06467705150796597,0.003869526249210642]","[-1,-1,-1]","[0.09564444223932429,0.16188684083319713]","[1,1,1]","[-0.009090522542229399,-0.09767755134987671]","[-1,-1,-1]","[0.061906316797519095,-0.13825165188003538]","[-1,-1,-1]","[0.0855385324360318,0.0653376532476119]","[1,1,1]","[0.02,0.02]",93.3546,0,3,3,156,1,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,93.3553,93.8564,,,94.1063,94.686,left,0.5534,,,,,,,,,0.6,,,,,,93.8564,94.1062,94.6861,"[-0.18742888440441183,-0.021441351065004076]","[-1,-1,-1]","[0.040673932587023724,-0.057093429611543185]","[1,1,1]","[-0.029956458903003,0.16788900612876154]","[1,1,1]","[-0.1170289750467561,-0.12373556058914296]","[-1,-1,-1]","[0.08055564328115619,0.07676231687787383]","[1,1,1]","[-0.04855189433910978,0.0874831119350658]","[1,1,1]","[0.10583458894863138,-0.12315384587638004]","[1,1,1]","[-0.04693834407491684,-0.06067409147133293]","[1,1,1]","[0.10391182616859691,0.02867646974861019]","[1,1,1]","[0.011314371166886049,-0.15891333266117924]","[1,1,1]","[-0.09469340203103356,0.13748087486587507]","[-1,-1,-1]","[0.17596493448844225,0.04025928277975154]","[1,1,1]","[0.16047111720145338,0.10801902058637354]","[1,1,1]","[-0.05487742538377443,-0.005767296090914091]","[-1,-1,-1]","[-0.09926023843720944,-0.08265893293502485]","[-1,-1,-1]","[-0.1796163636069021,0.028613896008787824]","[1,1,1]","[0.17156164346720013,-0.02355040029365052]","[1,1,1]","[-0.043268176245680925,-0.17724089318213276]","[1,1,1]","[0.027293307588872218,-0.11889367125717254]","[1,1,1]","[0.06057209384447406,0.011354244051775219]","[1,1,1]","[0.00954306294247442,-0.006659880301127085]","[1,1,1]","[0.08538047708744978,-0.04519548604877449]","[1,1,1]","[-0.09870027916832078,0.061860801583160596]","[-1,-1,-1]","[0.0040554245085199486,0.13266452474802912]","[-1,-1,-1]","[-0.0008394722724054863,-0.08503150012039713]","[-1,-1,-1]","[0.16703102414181834,-0.08916535300459742]","[-1,-1,-1]","[-0.15545058517206561,-0.07299340431850566]","[-1,-1,-1]","[-0.13944797600268247,0.12684523539999207]","[-1,-1,-1]","[0.05247974139138997,0.1420280600632762]","[-1,-1,-1]","[0.10460738520535487,0.12345590255897024]","[1,1,1]","[0.06867357035489088,-0.09736472202554611]","[-1,-1,-1]","[0.0502504462278007,-0.1747784068657208]","[1,1,1]","[0.02,0.02]",95.7833,0,4,4,171,1,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,95.784,96.2824,,,96.5352,97.3473,right,0.7883,,,,,,,,,0.5,,,,,,96.2824,96.5352,97.3474,"[0.1507397585374646,0.06367552957279846]","[1,1,1]","[-0.10068443180161862,-0.10008247891771965]","[-1,-1,-1]","[0.09341999974710137,0.04168621876271054]","[-1,-1,-1]","[-0.050383426307412243,-0.08127213830214076]","[1,1,1]","[0.008766710004831332,0.12049295545524875]","[1,1,1]","[0.08505985329154639,-0.043126785514443614]","[1,1,1]","[0.0437218325675336,0.004269355438590632]","[-1,-1,-1]","[-0.17393702357602825,0.09308310295384196]","[-1,-1,-1]","[-0.1423429334070063,0.038992144460625926]","[1,1,1]","[-0.07266284981892367,0.061872715488079044]","[-1,-1,-1]","[-0.183838864972883,-0.046930810703286197]","[1,1,1]","[-0.010950807485625394,-0.020416190397193917]","[-1,-1,-1]","[-0.11714025348887261,0.07496276146265662]","[-1,-1,-1]","[-0.02488313464945338,-0.1434626337408476]","[1,1,1]","[-0.025184255007041943,0.1623502246050587]","[-1,-1,-1]","[0.13732379985589005,0.1051298483799579]","[-1,-1,-1]","[-0.03809502815345985,0.020003857869202054]","[-1,-1,-1]","[0.00832944226028655,0.1984427775406787]","[-1,-1,-1]","[-0.06894563198572902,-0.037777935590381284]","[1,1,1]","[0.032802195047208625,-0.19728287566571412]","[1,1,1]","[-0.18295457127677048,0.0016032974076675656]","[1,1,1]","[0.058126821592119744,0.06775289399468748]","[1,1,1]","[0.03572257226966005,-0.0821923774646208]","[1,1,1]","[0.1046434819775549,-0.0015787018448736479]","[-1,-1,-1]","[0.17988129677798936,-0.048969832331425704]","[-1,-1,-1]","[0.03792710125218616,-0.035438742109606305]","[1,1,1]","[-0.017878359990049626,0.06753501473590048]","[1,1,1]","[0.07714439146868901,-0.17734820122462794]","[1,1,1]","[0.11148913715533892,-0.14857319786628245]","[-1,-1,-1]","[-0.05394224124556995,0.09803826414073426]","[-1,-1,-1]","[0.09672794147299045,-0.09931514963078457]","[-1,-1,-1]","[0.10230815957124242,0.142380110680725]","[1,1,1]","[0.02,0.02]",98.4449,0,5,5,92,1,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,98.4454,98.9441,,,99.1974,99.5598,right,0.3348,,,,,,,,,0.1,,,,,,98.9442,99.1973,99.5598,"[-0.060084703380285584,-0.0531912423167698]","[-1,-1,-1]","[-0.01625563521304753,0.16359339556488536]","[-1,-1,-1]","[-0.13333854932982325,-0.08077516524768373]","[-1,-1,-1]","[-0.10646892439794461,-0.0407247092207951]","[-1,-1,-1]","[0.12409887624971615,-0.13092033393855296]","[-1,-1,-1]","[0.02523643537123542,0.04600652135932144]","[-1,-1,-1]","[-0.1721477029372165,0.08538443960404193]","[-1,-1,-1]","[0.125317431810254,0.1505940397709084]","[-1,-1,-1]","[0.08603535674611013,0.11899840073303361]","[-1,-1,-1]","[0.09640735055022459,0.01571831666567328]","[-1,-1,-1]","[0.02231842804814466,-0.06220951146769117]","[-1,-1,-1]","[0.07272226509976557,-0.1713315812611837]","[-1,-1,-1]","[0.061253311263467884,0.16013501945648198]","[-1,-1,-1]","[-0.12946585836899,-0.15147086752743452]","[-1,-1,-1]","[0.008261256508557486,0.0016080812668725667]","[-1,-1,-1]","[-0.07993113565477106,0.10964832425437883]","[-1,-1,-1]","[-0.044748118606192815,0.021721096252012934]","[-1,-1,-1]","[-0.006723322841787998,-0.15333465506093652]","[1,1,1]","[0.06880317206763416,0.08139385729652591]","[-1,-1,-1]","[0.03307148353740995,-0.1637376967938062]","[-1,-1,-1]","[-0.1502894493152166,-0.02688692135575116]","[-1,-1,-1]","[0.18393905775485644,0.035002892691544156]","[-1,-1,-1]","[-0.04858699461679222,0.07786745093697936]","[1,1,1]","[0.0724777362079787,-0.061971441238659275]","[-1,-1,-1]","[-0.08645984877255894,-0.11708174329276726]","[-1,-1,-1]","[0.12577263045954812,-0.03861145358938724]","[-1,-1,-1]","[-0.17241849103140164,-0.07089798919019467]","[1,1,1]","[-0.11422380546344223,0.023480495842484798]","[-1,-1,-1]","[-0.11343080737669473,0.13742305899126153]","[-1,-1,-1]","[-0.06500684991081988,-0.18456905289555556]","[-1,-1,-1]","[0.1665520231449822,-0.03959711043692795]","[-1,-1,-1]","[0.013630035499900696,0.1947211494193523]","[-1,-1,-1]","[0.02,0.02]",100.6573,0,6,6,13,1,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,100.6577,101.1593,,,101.4111,101.9387,left,0.4997,,,,,,,,,0.6,,,,,,101.1594,101.4111,101.9388,"[0.1265785264290121,0.031026459577113023]","[-1,-1,-1]","[0.10279320330799159,0.12269704623896813]","[1,1,1]","[-0.016744746929785857,-0.07622498303128566]","[1,1,1]","[-0.08366720711033725,0.09088540053479235]","[1,1,1]","[-0.06674549357957908,-0.07511490852559646]","[-1,-1,-1]","[0.1429385435074895,-0.027091254601637173]","[-1,-1,-1]","[-0.1502769878138588,0.07569131554611808]","[-1,-1,-1]","[0.02599980736474657,0.16239180384266733]","[-1,-1,-1]","[-0.09287000323234643,-0.1261050684405983]","[-1,-1,-1]","[0.12239740588779106,-0.12186811178311494]","[-1,-1,-1]","[-0.13611314478774314,0.12604657584746917]","[1,1,1]","[0.13596102643336114,0.09860112921738279]","[1,1,1]","[0.1711177898167671,-0.0930208389279919]","[-1,-1,-1]","[-0.11369834681848671,0.020294004656650905]","[1,1,1]","[-0.07491411693321283,-0.01792399712445687]","[1,1,1]","[0.06104294886951066,0.018948404204001054]","[-1,-1,-1]","[-0.00758247262261857,-0.16250263218005348]","[1,1,1]","[0.04861183151920905,-0.13828596548196956]","[-1,-1,-1]","[-0.13693987634179913,-0.09488081419061328]","[-1,-1,-1]","[-0.011910387237131528,0.14072521812712505]","[1,1,1]","[-0.02483970200134657,0.19177687161439202]","[1,1,1]","[0.013029147035009543,-0.11152825289186215]","[1,1,1]","[-0.10683490927166737,-0.06539710352137798]","[1,1,1]","[-0.043242372651635747,-0.12404584207025991]","[-1,-1,-1]","[0.0990055981697315,-0.016439873382099904]","[1,1,1]","[0.0680663288318559,0.18320166761651477]","[1,1,1]","[-0.045418439762870154,-0.193375234196738]","[1,1,1]","[-0.017839870568871468,0.03266130243942235]","[1,1,1]","[0.08853849043860916,-0.1450109032909533]","[1,1,1]","[0.17276043631294397,0.06646926955820986]","[-1,-1,-1]","[0.03787820737876902,-0.04645392769814252]","[1,1,1]","[0.04268402361336494,0.10565154973730309]","[1,1,1]","[0.02,0.02]",103.0363,0,7,7,152,1,,,,,,,
,,,,,,,5a732956f660ae0001a9b011,682f0fbb33061f80d581d4c0,2025-05-22_13h52.17.848,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,103.0368,103.5355,,,103.7881,104.1181,right,0.3033,,,,,,,,,0.1,,,,,,103.5355,103.788,104.1181,"[-0.018143616676103286,0.14344042611861543]","[-1,-1,-1]","[-0.13258110325650402,0.0009681139882992697]","[-1,-1,-1]","[-0.014749445624023538,0.08472129662645331]","[-1,-1,-1]","[-0.06143336660469351,0.10246469493077887]","[-1,-1,-1]","[0.03551289768827372,0.07101780064991185]","[-1,-1,-1]","[0.09594107005582196,-0.13756186239099907]","[-1,-1,-1]","[0.05375866062501912,0.15370247124697695]","[-1,-1,-1]","[0.05164921876539758,-0.1151928420675388]","[1,1,1]","[0.10354098595169792,-0.08833493685439882]","[1,1,1]","[-0.1325086417880196,-0.13934437700126767]","[-1,-1,-1]","[0.06727914684482632,-0.18166096958264338]","[-1,-1,-1]","[0.11655874533041166,-0.009874017571371843]","[-1,-1,-1]","[-0.05803244724965283,-0.14632482493829613]","[-1,-1,-1]","[0.02818942722096495,-0.039841452268763795]","[-1,-1,-1]","[-0.10723698016124471,0.056370500072682656]","[-1,-1,-1]","[0.14900266383988237,-0.11712143486961181]","[-1,-1,-1]","[0.07176430962627874,0.09521335502764389]","[-1,-1,-1]","[-0.01536877312052814,0.018804950020294645]","[-1,-1,-1]","[-0.06977390821755847,-0.030647029446344964]","[-1,-1,-1]","[0.0775030897843721,0.029707308563868228]","[-1,-1,-1]","[-0.16216263272633819,0.08114853679583878]","[-1,-1,-1]","[0.13396376820725692,0.12967102376974832]","[-1,-1,-1]","[-0.02079598661048359,-0.09564179272656478]","[-1,-1,-1]","[-0.10831711435143478,-0.05045440862193999]","[-1,-1,-1]","[0.16463744275130796,0.06404973716388229]","[1,1,1]","[-0.15330003694121333,-0.04389588756832724]","[-1,-1,-1]","[-0.07758269791051192,0.16752427125216607]","[-1,-1,-1]","[-0.10514104502927088,0.13244191847847617]","[-1,-1,-1]","[-0.03615870336936091,0.1854712476347027]","[-1,-1,-1]","[0.1973778857687469,0.020073618534095616]","[-1,-1,-1]","[0.07414545359499335,-0.026793610555214002]","[-1,-1,-1]","[-0.013163480056155632,-0.16207856278053542]","[-1,-1,-1]","[0.02,0.02]",105.2155,0,8,8,14,1,,,,,,,
