right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,135.6777,space,120.6536,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,135.6785,238.1145,space,72.4141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,238.1153,249.5959,space,8.4581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,249.6691,250.1112,250.1123,250.3514,250.3519,251.8438,,251.8444,252.9445,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,252.9461,253.4431,253.4431,253.6947,253.695,254.361,left,254.3613,255.4603,0,1,1,0,1,0.8,0.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.4621,266.4929,space,8.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,266.5392,267.0083,,,267.2613,267.5253,right,,,,,,,,0.1,0.2355,,,,,,,267.0098,267.2612,267.527,"[0.02543640783292013,-0.10438561575837947]","[-1,-1,-1]","[0.14885316513659158,0.07892697499168641]","[-1,-1,-1]","[0.04721721461387203,0.12392939937233109]","[-1,-1,-1]","[0.10941797881610935,-0.08399596155501203]","[-1,-1,-1]","[-0.0070728919764585525,-0.0744979450107942]","[-1,-1,-1]","[-0.11579003040362118,-0.14364902669286653]","[1,1,1]","[0.08267528211702456,-0.17225575344855779]","[-1,-1,-1]","[-0.021277693939941583,0.13580869951394423]","[-1,-1,-1]","[-0.15813539895870687,-0.10672872155045461]","[-1,-1,-1]","[-0.11954527221727687,-0.05604139597953172]","[-1,-1,-1]","[-0.033837230662898274,0.17550987797440762]","[-1,-1,-1]","[0.017151338846351984,0.0629124564328904]","[-1,-1,-1]","[-0.09921844715414001,0.17082299641841475]","[-1,-1,-1]","[0.06329750035464231,-0.06562161903710993]","[-1,-1,-1]","[-0.06152129785478639,0.08030857684090592]","[-1,-1,-1]","[0.16049653608476444,-0.06769689806022311]","[-1,-1,-1]","[-0.008605300575514233,0.010223520978705207]","[-1,-1,-1]","[-0.08849902313797985,-0.0008179802093182342]","[1,1,1]","[-0.11118350583487817,0.04195521022838306]","[-1,-1,-1]","[0.06266079314789953,0.037805016610888566]","[-1,-1,-1]","[0.051986649195652754,-0.02025153339307738]","[-1,-1,-1]","[0.17918239181086454,-0.01582828820191046]","[-1,-1,-1]","[0.190699398543415,0.05250794722345464]","[-1,-1,-1]","[-0.05439545117298706,-0.18795762486633735]","[-1,-1,-1]","[0.006455524504430031,-0.17342528012418731]","[-1,-1,-1]","[-0.12771608410135235,0.08410257111619102]","[-1,-1,-1]","[-0.19872574536936663,0.0180740218498064]","[1,1,1]","[-0.052122675331305296,-0.11367754311696997]","[-1,-1,-1]","[0.12948825253717572,0.13822465332411907]","[-1,-1,-1]","[-0.0698865175743941,-0.0476287413227824]","[-1,-1,-1]","[0.13529260123494352,0.022069311482192825]","[-1,-1,-1]","[0.11290140736329743,0.057346948270296266]","[-1,-1,-1]","[0.02,0.02]",268.6255,0,0,0,20,1,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,268.6272,269.125,,,269.3664,269.6586,left,,,,,,,,0.55,0.2764,,,,,,,269.1252,269.3663,269.6587,"[-0.04059825083675477,-0.12229635328913391]","[1,1,1]","[-0.1481324535811539,-0.06825619586171391]","[1,1,1]","[-0.17628353816893988,-0.03308049432070024]","[1,1,1]","[0.1368847256125945,0.11109062836937202]","[1,1,1]","[0.06703441934317064,-0.12452535801110186]","[1,1,1]","[-0.1204227545138242,0.1125560608428978]","[-1,-1,-1]","[0.1002116788152517,0.018864309263800925]","[-1,-1,-1]","[-0.16047788552191877,0.08806991753297905]","[-1,-1,-1]","[0.007945789188748617,-0.019882192798856262]","[1,1,1]","[-0.031583742884368556,-0.17152210547284666]","[1,1,1]","[0.07147616643521273,-0.06846056157735822]","[1,1,1]","[-0.0681791755140061,0.12458764684940048]","[1,1,1]","[0.18386133181060668,-0.055153352274181]","[-1,-1,-1]","[0.14035574398790304,-0.12741109812319087]","[-1,-1,-1]","[-0.08375944811405836,-0.07850317079040779]","[-1,-1,-1]","[-0.06396446990426073,0.06931842250166494]","[1,1,1]","[0.008341310061465611,0.17736894518368185]","[1,1,1]","[-0.18755156651313667,0.011977726236809063]","[1,1,1]","[0.04459065194902792,-0.19196131563972121]","[-1,-1,-1]","[0.06227758379196125,0.14780244751263708]","[-1,-1,-1]","[0.009312705177100226,0.08468831936076722]","[1,1,1]","[-0.006130048674752114,-0.09679723861657474]","[-1,-1,-1]","[0.10971703107115455,0.06660885158567907]","[1,1,1]","[-0.1198133987502015,-0.10929863171663699]","[-1,-1,-1]","[0.0071858965877255685,0.0411537476749035]","[1,1,1]","[-0.01921650257821421,0.11994889465909263]","[1,1,1]","[-0.08169438191474644,-0.008399805524728535]","[1,1,1]","[0.006039646314693925,-0.15362954648115718]","[-1,-1,-1]","[0.062270624869871095,0.08791101302798882]","[-1,-1,-1]","[0.09928098394781291,-0.038614259311195324]","[1,1,1]","[-0.12259011060334413,-0.002308862151623446]","[-1,-1,-1]","[0.17958554017369857,0.08439142874101996]","[-1,-1,-1]","[0.02,0.02]",270.7582,0,1,1,120,1,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,270.7599,271.2581,,,271.5094,271.6587,right,,,,,,,,0.4,0.1188,,,,,,,271.2583,271.5093,271.6588,"[-0.02710157413092704,-0.12361719486194109]","[-1,-1,-1]","[-0.1797227574297126,0.08582744660033981]","[-1,-1,-1]","[0.11698898540492919,0.1086249508302348]","[1,1,1]","[-0.18794559699282365,0.036064140921683176]","[-1,-1,-1]","[0.10541402012478658,-0.09334074008327713]","[-1,-1,-1]","[0.022865705139931514,0.050371268157467286]","[1,1,1]","[0.056884847027228735,0.08755693028404268]","[-1,-1,-1]","[0.08644667908640097,-0.14722982868182866]","[1,1,1]","[0.08787796997708583,0.16216299168640033]","[1,1,1]","[-0.011516723277391144,0.13961941084738402]","[-1,-1,-1]","[0.16067224183700676,0.06836424764605151]","[1,1,1]","[-0.047428533359531226,0.0007491338765929769]","[-1,-1,-1]","[-0.05179556376679467,-0.05557583217694863]","[-1,-1,-1]","[0.11444958040202334,0.02894007892894414]","[-1,-1,-1]","[-0.025601738733494063,0.18735324986049487]","[1,1,1]","[-0.10190161086990951,0.15747556830550818]","[-1,-1,-1]","[-0.0718693822207814,-0.17030902510187923]","[-1,-1,-1]","[-0.11078093692606926,-0.07954309226190905]","[-1,-1,-1]","[-0.14161448340694321,0.1314929477613274]","[1,1,1]","[-0.15527192749484356,-0.12426698897061395]","[1,1,1]","[-0.1017591476020882,0.005933836029933221]","[1,1,1]","[0.03936523809917936,-0.033164320066698366]","[-1,-1,-1]","[-0.08937670592942187,0.1002870843275707]","[1,1,1]","[-0.12258338723032867,-0.030985025487194142]","[1,1,1]","[0.05298230358480622,-0.18864199502525703]","[-1,-1,-1]","[0.011848187190857638,-0.16874857039602026]","[-1,-1,-1]","[0.1773228866613904,-0.08049469796261317]","[-1,-1,-1]","[-0.12654114185299392,0.06751865471014523]","[-1,-1,-1]","[0.11401156601430286,-0.02829598591512313]","[-1,-1,-1]","[0.03827865055157962,0.13749421544090232]","[1,1,1]","[-0.18832518663557896,-0.007639819932979955]","[1,1,1]","[-0.056297392587569856,0.12581491425013575]","[-1,-1,-1]","[0.02,0.02]",272.7578,0,2,2,37,1,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,272.7593,273.2578,,,273.5156,273.6746,right,,,,,,,,0.4,0.1493,,,,,,,273.2579,273.5155,273.6747,"[0.05525572263243849,-0.09832351808280805]","[1,1,1]","[0.012599700059440546,0.10822559783505102]","[1,1,1]","[-0.16564539042679624,-0.04644939389416327]","[1,1,1]","[-0.09305015903005062,0.13812412935541427]","[-1,-1,-1]","[0.07974578408925163,0.034945050138880024]","[-1,-1,-1]","[-0.015187730775848968,-0.1736248318934479]","[-1,-1,-1]","[-0.03919730561169521,0.16948431791298776]","[1,1,1]","[-0.02550108156196649,0.07826881180585649]","[-1,-1,-1]","[0.12812971098832715,-0.0036381943215609137]","[-1,-1,-1]","[-0.06026722924486584,-0.09145720578893826]","[1,1,1]","[-0.1505316805766574,-0.0963759348166156]","[1,1,1]","[0.06624010088028487,0.09774421588525065]","[1,1,1]","[0.16020020289578768,0.03322164010789807]","[-1,-1,-1]","[0.026581302942991904,0.18460326118904155]","[-1,-1,-1]","[-0.12409175466764438,0.021235544526936122]","[1,1,1]","[0.0736379763327806,-0.015033231522162077]","[-1,-1,-1]","[0.1741260468525309,-0.03675768519039273]","[-1,-1,-1]","[0.14736595887294962,0.1342937153612246]","[1,1,1]","[-0.011879715093675948,-0.0140089202786671]","[1,1,1]","[-0.06928656078616993,-0.1369862812309731]","[-1,-1,-1]","[-0.024681604621957544,-0.0717690199965679]","[-1,-1,-1]","[-0.055696948731370696,0.11852145950042066]","[-1,-1,-1]","[0.15457319601659847,-0.10794259110427022]","[1,1,1]","[0.03802835805822836,-0.15306274393431735]","[-1,-1,-1]","[0.1573236328555068,0.09502450474664999]","[-1,-1,-1]","[-0.059735322001331824,-0.03262671259311906]","[-1,-1,-1]","[-0.18789172378566973,0.03094553757652385]","[-1,-1,-1]","[0.08436782345157985,0.17446860070890266]","[-1,-1,-1]","[-0.0974614491557039,-0.059016225094022934]","[1,1,1]","[0.09478601800277121,-0.14456242275088005]","[-1,-1,-1]","[-0.041225457435886265,0.028563029788075497]","[1,1,1]","[0.04866598758438543,-0.05497575404540595]","[-1,-1,-1]","[0.02,0.02]",274.7741,0,3,3,45,1,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,274.7754,275.2744,,,275.525,275.6083,right,,,,,,,,0.6,0.0529,,,,,,,275.2746,275.5249,275.6084,"[-0.0843991119798866,-0.030414038284335834]","[1,1,1]","[0.17789763700271183,0.04278041033407078]","[1,1,1]","[-0.014406317087040503,0.005748980946411983]","[1,1,1]","[0.06900575287929722,-0.10277575704641936]","[1,1,1]","[-0.09561403168819142,-0.13692629763788422]","[1,1,1]","[0.14668526601187043,-0.031140432557356115]","[-1,-1,-1]","[0.08235692402921616,0.00618820577995498]","[1,1,1]","[0.11947472218678916,0.050602271364319634]","[1,1,1]","[-0.04240671958831353,0.06271357340564436]","[-1,-1,-1]","[-0.021239175297836078,-0.0673037325255028]","[-1,-1,-1]","[0.07045327821413315,-0.17490752961483397]","[-1,-1,-1]","[-0.05859152641058065,0.18461842899002226]","[-1,-1,-1]","[-0.12797533769951835,-0.017786701978908716]","[-1,-1,-1]","[0.1500874844541516,0.01277870977562052]","[1,1,1]","[-0.17281485920208045,0.058724611312024284]","[1,1,1]","[-0.07177542223847846,0.1296005298794464]","[1,1,1]","[-0.034660522464579784,-0.16869954886157643]","[1,1,1]","[0.1435295847280748,0.1093406664381476]","[-1,-1,-1]","[0.053930997757434235,0.04026589727526706]","[1,1,1]","[-0.16680981112478555,-0.0034233109791893947]","[-1,-1,-1]","[-0.09421505838012356,-0.09510558710097107]","[1,1,1]","[-0.1436370758884456,-0.06215592770522674]","[1,1,1]","[-0.14263555437149922,-0.12011706372127262]","[1,1,1]","[0.11052010211338095,-0.16566440613029979]","[1,1,1]","[0.034911370069611154,-0.06823945590949063]","[-1,-1,-1]","[0.07971848400001104,0.10569662884942758]","[-1,-1,-1]","[-0.08698199663796621,0.02980725973205441]","[1,1,1]","[-0.013529607434704456,-0.12744297156399073]","[-1,-1,-1]","[-0.15665594152486337,0.12205259689949152]","[-1,-1,-1]","[0.028340413568849736,-0.02327174428000743]","[-1,-1,-1]","[0.011677801434872393,0.1667673020495915]","[1,1,1]","[-0.025181124196904693,0.11349802035956662]","[1,1,1]","[0.02,0.02]",276.7076,0,4,4,152,1,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,276.7088,277.2074,,,277.4588,277.6413,right,,,,,,,,0.45,0.155,,,,,,,277.2075,277.4585,277.6414,"[-0.01284559774753627,0.15972395319399754]","[1,1,1]","[0.009253717850712054,-0.07291579577721252]","[-1,-1,-1]","[0.04732152992764464,-0.10630073998957917]","[-1,-1,-1]","[-0.12654466739623846,0.061501791783491064]","[1,1,1]","[-0.014739516183608647,0.09721741870288414]","[1,1,1]","[0.13903767576052972,0.037515051881907305]","[1,1,1]","[0.17689709117360122,0.021061219759344343]","[-1,-1,-1]","[0.19135054771404444,-0.05417666586863912]","[-1,-1,-1]","[0.025326548342316887,0.049896641057828865]","[-1,-1,-1]","[0.15585063844970395,-0.0739124486624984]","[-1,-1,-1]","[0.08177209632484136,0.02592791667329354]","[-1,-1,-1]","[0.016748993116843063,-0.006571875691095702]","[1,1,1]","[0.04778379554328905,0.08601542199357023]","[-1,-1,-1]","[-0.10153426917498538,-0.10333654358339366]","[-1,-1,-1]","[-0.15759310916217317,0.0018774518974572837]","[-1,-1,-1]","[-0.08218799148380102,-0.14530264318176364]","[1,1,1]","[0.12759017571657474,-0.153548858594168]","[-1,-1,-1]","[-0.022327376461945787,-0.14113514478692107]","[1,1,1]","[-0.056043882969471846,0.038495122741859]","[-1,-1,-1]","[-0.14632159571180137,-0.04198005170240328]","[1,1,1]","[0.05611493155155507,-0.01866617112364373]","[1,1,1]","[-0.18463310439032596,0.05973984442953627]","[-1,-1,-1]","[-0.07836511849405917,0.13421313581067826]","[1,1,1]","[-0.0616328942061823,-0.06191236783918956]","[1,1,1]","[0.10439246293833931,0.0916985552746903]","[1,1,1]","[0.1110714982637159,0.13241100115259916]","[-1,-1,-1]","[-0.12761905359953357,0.12211117304259159]","[-1,-1,-1]","[0.09300674859731489,-0.10499946166479608]","[1,1,1]","[-0.07253358380063767,-0.021689168563349234]","[1,1,1]","[-0.15550514894369605,-0.12116353739268257]","[-1,-1,-1]","[0.03077029705434569,0.12231481835000393]","[-1,-1,-1]","[0.12480953496040763,-0.010461486520054339]","[-1,-1,-1]","[0.02,0.02]",278.74,0,5,5,68,1,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,278.741,279.2405,,,279.4803,280.0239,right,,,,,,,,0.5,0.5108,,,,,,,279.2406,279.4802,280.0241,"[-0.020261147650366008,0.00583539818796942]","[-1,-1,-1]","[-0.03657434681326401,-0.08061840893337138]","[-1,-1,-1]","[0.17917391561200566,0.016602570201263715]","[1,1,1]","[0.04341886211247101,-0.13619810037087413]","[1,1,1]","[-0.040659970196969764,0.1633969984306807]","[1,1,1]","[0.10180788854720584,0.021267430236588197]","[1,1,1]","[0.08301768094032337,-0.05039894408787121]","[-1,-1,-1]","[0.11918674832779394,0.06929687407678302]","[1,1,1]","[0.17666415879934008,-0.05727695619841378]","[-1,-1,-1]","[0.02357345808398647,-0.051833801118027704]","[1,1,1]","[0.06802037062712518,0.07406800560456095]","[-1,-1,-1]","[-0.055066284668666636,-0.020243479234872224]","[1,1,1]","[0.005861394512783324,0.13470873455937027]","[-1,-1,-1]","[-0.08952911358184089,0.0012699433118382425]","[-1,-1,-1]","[0.1651242754464465,0.10280152826957648]","[1,1,1]","[-0.06652312507313192,0.04910418287090641]","[-1,-1,-1]","[-0.12000742353326664,0.09558816059330666]","[1,1,1]","[0.06204727907787193,0.15690843593879922]","[-1,-1,-1]","[-0.15164674482860785,0.12552802548978573]","[-1,-1,-1]","[-0.19016251511593657,0.054308949144088715]","[1,1,1]","[-0.10436436168492948,-0.051042263522115966]","[-1,-1,-1]","[0.09059528906704319,-0.15878639314963583]","[1,1,1]","[-0.15847187777588406,-0.08772930692155366]","[-1,-1,-1]","[0.057354687733345906,-0.1847379862493064]","[1,1,1]","[0.047462839177272904,-0.09073890943446035]","[1,1,1]","[0.04384746309742184,0.03406268337271969]","[-1,-1,-1]","[-0.12252633005200388,-0.12415087958368132]","[1,1,1]","[-0.0439630852249631,-0.14142421023076335]","[-1,-1,-1]","[0.11945920906022368,-0.08187585525094816]","[1,1,1]","[-0.13904341084806898,0.03462354795542425]","[-1,-1,-1]","[0.09502727783491256,0.11936284665703432]","[-1,-1,-1]","[0.09669815051670645,-0.11841943096345298]","[1,1,1]","[0.02,0.02]",281.1236,0,6,6,112,1,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,281.1251,281.6234,,,281.8635,282.1477,right,,,,,,,,0.4,0.268,,,,,,,281.6235,281.8635,282.1479,"[0.11321921420150935,-0.1347813878281204]","[1,1,1]","[0.16070874272999872,0.02735624238526065]","[1,1,1]","[0.18014089977367026,-0.019977360763446493]","[1,1,1]","[-0.06372446431079412,0.18286786436290411]","[-1,-1,-1]","[0.04993490161608613,-0.18196375424512595]","[1,1,1]","[0.1199046381292229,-0.029350798108229992]","[-1,-1,-1]","[0.029543011884069523,-0.1349880462688702]","[-1,-1,-1]","[-0.08724433510525975,-0.061786902483779715]","[-1,-1,-1]","[-0.13384467669823297,0.1288134176526181]","[1,1,1]","[0.03775896643703975,-0.006069418011740894]","[-1,-1,-1]","[0.09349548080914546,0.03976128004950483]","[1,1,1]","[-0.14337255748134614,-0.05594663762588682]","[1,1,1]","[-0.10696261992858193,0.07598482429705831]","[1,1,1]","[0.03731959843903305,0.1570799995997017]","[1,1,1]","[-0.03830863023663171,-0.10923629659429947]","[-1,-1,-1]","[0.08305881891547126,-0.09961337601507192]","[1,1,1]","[-0.0066229420930828745,-0.03065861601412391]","[-1,-1,-1]","[0.05920408824272768,0.09534714270812115]","[-1,-1,-1]","[-0.1298409755578052,0.013101345348823132]","[-1,-1,-1]","[-0.178478273047406,-0.08440871410761316]","[1,1,1]","[-0.015605954336920923,0.015419961467162738]","[-1,-1,-1]","[0.12316568176127331,0.12640171175805412]","[-1,-1,-1]","[0.07750798440014307,0.1520456610938762]","[-1,-1,-1]","[-0.06895929206858323,0.0016657796819076758]","[-1,-1,-1]","[0.022309536051620404,-0.06641562032597381]","[1,1,1]","[-0.04038513879017573,0.05537134409008674]","[1,1,1]","[-0.020997209294266517,0.15854393035845613]","[-1,-1,-1]","[-0.1007856182721751,-0.14606116487213544]","[-1,-1,-1]","[0.1657891865626604,-0.09237293127358502]","[-1,-1,-1]","[-0.17614057313377987,0.056349699590818786]","[-1,-1,-1]","[0.010752634210368513,0.11412251393950466]","[-1,-1,-1]","[-0.19514700447717834,0.018385236913771537]","[-1,-1,-1]","[0.02,0.02]",283.2461,0,7,7,32,1,,,,,,,
,,,,,,,675b473fc50c2d9d8f0afbff,682f0fd8a2d1caaba58ae65b,2025-05-22_12h57.05.203,cuing_paradigm_dot,2024.1.5,Win32,61.34969325,682d573fa47f1360d1451895,,,,,,,,,,,283.247,283.746,,,283.9905,284.3067,right,,,,,,,,0.55,0.2863,,,,,,,283.7461,283.9904,284.3069,"[0.049027917969440345,0.06439562843614272]","[-1,-1,-1]","[0.14280921756302323,-0.13453675359787765]","[-1,-1,-1]","[0.056820133007182076,0.12058953644673141]","[1,1,1]","[0.07619973948274213,-0.07888402873641273]","[1,1,1]","[-0.1352722605480215,0.11392243143912253]","[1,1,1]","[-0.04194748636509888,-0.15821221059265178]","[-1,-1,-1]","[0.02329923863143938,-0.11704743064721877]","[1,1,1]","[-0.14069858985970685,-0.0713599753768941]","[1,1,1]","[0.11615258733406084,-0.09650856297002597]","[1,1,1]","[-0.015483802312768911,0.15057901922114988]","[-1,-1,-1]","[0.12663640967846673,0.07761785404531708]","[-1,-1,-1]","[-0.06685501165685662,-0.09571257367019258]","[1,1,1]","[0.026602812797839073,-0.16965351289732705]","[-1,-1,-1]","[0.03801499459583345,0.005628451841482966]","[1,1,1]","[-0.11644764975777011,-0.009760175380148556]","[1,1,1]","[0.029032185179781695,0.1907163022513268]","[1,1,1]","[0.18789400729518682,0.028898053577269524]","[1,1,1]","[0.152652914639053,-0.0685340053885188]","[-1,-1,-1]","[0.13070008794136223,0.010187320960266356]","[-1,-1,-1]","[-0.11604336683544929,0.07456333731167568]","[1,1,1]","[-0.0033623076026280813,0.06770231069118975]","[-1,-1,-1]","[-0.07768213525671151,0.00040574835809039647]","[1,1,1]","[-0.06869200801845858,0.12927135128351344]","[-1,-1,-1]","[-0.0513745595950423,0.04098668754743324]","[-1,-1,-1]","[-0.17875125415472132,0.030373014108749728]","[-1,-1,-1]","[0.06257500459134945,-0.039696223742489475]","[1,1,1]","[-0.1577333238031131,-0.031678420730414936]","[1,1,1]","[0.10250399104352324,-0.14799307946197904]","[1,1,1]","[0.08942714000576453,0.16142819351065163]","[-1,-1,-1]","[-0.09192944046612193,-0.17650924522762462]","[1,1,1]","[-0.10357423135049855,-0.05180162767889399]","[1,1,1]","[-0.03127778421387617,-0.0729284491448154]","[-1,-1,-1]","[0.02,0.02]",285.4064,0,8,8,149,1,,,,,,,
