right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0022,44.7202,space,29.6871,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,44.7209,78.4507,space,3.7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,78.4509,82.7279,space,1.2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,82.7941,83.2288,83.2298,83.5793,83.5796,84.4323,left,0.7553,,84.433,85.5335,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,85.5346,86.0301,86.0303,86.2845,86.2846,86.6353,right,0.3347,,86.6356,87.7322,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7334,92.3185,space,1.5794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,92.3402,92.8188,,,93.0441,93.5105,left,0.4503,,,,,,,,,0.5,,,,,,92.8198,93.0441,93.5119,"[0.018294981500561892,0.08710865811272639]","[1,1,1]","[0.15015927340605958,0.02926785914987873]","[-1,-1,-1]","[0.1048543395520179,-0.016753133478106797]","[-1,-1,-1]","[-0.055907290147657,-0.07121589753205765]","[-1,-1,-1]","[0.024916175052728508,-0.007229556278300624]","[1,1,1]","[0.10141961132470959,0.050783227049490426]","[-1,-1,-1]","[-0.11618487771039687,-0.11259750755193036]","[-1,-1,-1]","[-0.04340816257119904,-0.14894415669432515]","[1,1,1]","[0.1637333917013877,-0.08424714702346034]","[1,1,1]","[-0.16210535100324963,0.07390783922368456]","[-1,-1,-1]","[-0.14997379155459645,-0.0785145264309311]","[-1,-1,-1]","[-0.01232471968351062,-0.11913231938565888]","[1,1,1]","[0.17529461044321934,-0.017151736062449383]","[1,1,1]","[0.10392683759576223,-0.07695484617608199]","[-1,-1,-1]","[-0.13033453007947363,-0.03560337518268474]","[-1,-1,-1]","[-0.04146660677228398,0.09625079308990417]","[-1,-1,-1]","[-0.08674997824734904,0.09066740402351503]","[1,1,1]","[0.10366053305020498,0.14153632062152122]","[1,1,1]","[0.05911731419156427,-0.03239645821612085]","[1,1,1]","[-0.15123606297086192,0.029651238245815687]","[-1,-1,-1]","[-0.04939901657430262,0.02141454141547261]","[-1,-1,-1]","[0.04549343339089755,0.047395687715705015]","[1,1,1]","[0.15973894017819387,0.10278965733934876]","[-1,-1,-1]","[0.04571671931262116,-0.15908346971231893]","[1,1,1]","[0.016547945454157064,-0.19527138829228516]","[1,1,1]","[-0.01944002454293719,0.166388228399896]","[1,1,1]","[-0.08629024145109891,-0.1499911695546503]","[1,1,1]","[0.025000616491153448,-0.09022023164733728]","[1,1,1]","[0.12641338586440282,-0.13507084598453545]","[1,1,1]","[-0.14777357815404327,0.1277706621744106]","[-1,-1,-1]","[-0.028033104175140662,-0.036716828703696046]","[-1,-1,-1]","[0.08390553441390575,-0.18082110911119445]","[-1,-1,-1]","[0.02,0.02]",94.6074,0,0,0,102,1,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,94.6091,95.1074,,,95.3593,95.5031,right,0.1273,,,,,,,,,0.9,,,,,,95.1074,95.3591,95.5034,"[0.05637925109238825,-0.02344958076288276]","[1,1,1]","[-0.15226582302451946,0.03763786843437559]","[1,1,1]","[0.0594865413649117,0.10301316399276474]","[1,1,1]","[-0.03358196386767321,0.1775950619182561]","[1,1,1]","[0.18407753121649356,0.04706448138175339]","[1,1,1]","[-0.08673938279801108,0.16389656957248536]","[1,1,1]","[0.012187518038018859,-0.12168800763366824]","[-1,-1,-1]","[0.12715549274752744,0.00756779858135497]","[1,1,1]","[0.09668867429694726,0.14155608468008807]","[1,1,1]","[0.019535280163721577,0.037060228228471014]","[1,1,1]","[-0.12876071294765304,-0.039953740577423104]","[1,1,1]","[0.15817143935087863,0.11346866943152854]","[1,1,1]","[0.16791520098993412,0.008400527378267185]","[1,1,1]","[-0.054119374690014654,-0.003899764882312308]","[1,1,1]","[-0.05275369783115337,-0.05649320130272978]","[1,1,1]","[0.06288786710968525,-0.10216672547873702]","[1,1,1]","[0.12575229216960895,-0.11365284507143467]","[1,1,1]","[0.012943174659289325,0.1276842778233973]","[1,1,1]","[-0.09464479224381542,0.021021789673556293]","[1,1,1]","[-0.1564408665985625,-0.09647395073008952]","[1,1,1]","[0.184574509796651,-0.0464130130417116]","[1,1,1]","[-0.0781223625278059,0.09261995772421583]","[1,1,1]","[-0.002173506784652773,-0.006882958538076131]","[1,1,1]","[-0.03890630485357754,0.07878405591733337]","[1,1,1]","[0.024305014730751258,-0.07342296072424949]","[1,1,1]","[0.061449880962940406,0.1624376945166026]","[1,1,1]","[-0.19061212551858747,0.023082707894625302]","[-1,-1,-1]","[-0.032680595089286606,0.12407519072202636]","[1,1,1]","[-0.12040274555438152,-0.14861566962028752]","[1,1,1]","[-0.14201746164621726,0.1372492014247084]","[1,1,1]","[0.07547455280414773,0.05963788255298163]","[1,1,1]","[-0.10248763964264862,-0.09637842985044948]","[-1,-1,-1]","[0.02,0.02]",96.5987,0,1,1,201,1,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,96.5997,97.0983,,,97.3472,97.7467,right,0.3862,,,,,,,,,0.55,,,,,,97.0984,97.3471,97.7468,"[-0.07000635437731323,-0.01557649169467463]","[-1,-1,-1]","[-0.17485317551883872,-0.08367444825599728]","[-1,-1,-1]","[-0.04066564107825088,0.14730667830727728]","[1,1,1]","[0.14258803405336928,0.09935693258207316]","[-1,-1,-1]","[-0.11316195781126298,0.05663750020383993]","[-1,-1,-1]","[0.04834018034924455,-0.12880053485493193]","[-1,-1,-1]","[0.04710957490395629,0.17628493287257532]","[1,1,1]","[0.12103427175345594,0.04685316147500512]","[1,1,1]","[0.04434599444817424,-0.04060272097005401]","[1,1,1]","[0.0800366522857784,0.053254380397953306]","[1,1,1]","[-0.030640798109527724,-0.08852734808256242]","[-1,-1,-1]","[-0.018750836029830437,0.06764547689004731]","[1,1,1]","[-0.04291348195705564,0.10183960952299419]","[1,1,1]","[-0.1799925596155623,0.036602861843221285]","[1,1,1]","[0.07248156757105809,-0.16358478811634883]","[1,1,1]","[0.15856806717076777,0.0012506043004069669]","[1,1,1]","[0.12683087822608805,-0.11592352960647737]","[1,1,1]","[-0.047198018292371365,-0.15604334769144224]","[1,1,1]","[-0.13843280160601706,-0.126253549232802]","[-1,-1,-1]","[-0.00480803730330542,0.19411257654767272]","[1,1,1]","[0.006887885494877008,-0.18367702328392824]","[1,1,1]","[-0.07191463657693618,0.04987770446010749]","[1,1,1]","[-0.029281870481432583,0.011992502975297796]","[-1,-1,-1]","[-0.1349876136976895,0.11404223311628997]","[-1,-1,-1]","[-0.016475570301509663,-0.04452969975243569]","[-1,-1,-1]","[0.08845834135871086,0.10226823275685848]","[-1,-1,-1]","[0.04069404782251512,0.009051956948566982]","[1,1,1]","[-0.19513149047816744,-0.04107263402311199]","[1,1,1]","[0.14229889806392282,-0.04951815914022023]","[1,1,1]","[0.17691471578396611,0.054673814400312486]","[-1,-1,-1]","[-0.1003728823255098,-0.1595242069808498]","[-1,-1,-1]","[-0.15625484700074438,-0.012788558036316542]","[-1,-1,-1]","[0.02,0.02]",98.8383,0,2,2,143,1,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,98.8388,99.337,,,99.5869,100.0031,right,0.4,,,,,,,,,0.55,,,,,,99.3371,99.5868,100.0032,"[-0.01948271231428436,0.18298150833708546]","[-1,-1,-1]","[-0.10408428576780301,-0.11338128964485247]","[-1,-1,-1]","[0.16692351340004238,0.10566326975825024]","[1,1,1]","[0.11861020347714893,0.0817062834954601]","[-1,-1,-1]","[0.058279991302076534,0.06958999546564497]","[1,1,1]","[0.002094829780791379,-0.12124588773465494]","[1,1,1]","[-0.19365726373250444,-0.026895282111612434]","[-1,-1,-1]","[-0.03739609479708168,-0.02199787100092257]","[1,1,1]","[0.15503143289592097,-0.04663256444344869]","[1,1,1]","[0.09678615323851174,0.12666782350392486]","[-1,-1,-1]","[-0.09991723039579856,0.11657430796327255]","[-1,-1,-1]","[0.05741568147374508,-0.030036003102374226]","[1,1,1]","[0.10459287583296853,-0.10384931743459117]","[1,1,1]","[-0.0974553329265459,-0.037115817188390646]","[1,1,1]","[0.05962719242320686,-0.1619346112072619]","[1,1,1]","[0.01733314289757965,-0.004576921588073808]","[1,1,1]","[0.012357749441095887,-0.16620373412138842]","[1,1,1]","[-0.043381564541091586,-0.06785573078476619]","[1,1,1]","[0.037031416735077684,0.1711175827315741]","[-1,-1,-1]","[0.12372261684223498,-0.007100196829982775]","[-1,-1,-1]","[-0.15151179743164003,-0.053768738775220565]","[1,1,1]","[-0.03605114389831809,-0.16231104649708283]","[-1,-1,-1]","[-0.11960979851752472,0.02951419629849984]","[-1,-1,-1]","[-0.0278483416396717,0.06864928295847282]","[1,1,1]","[0.007975233293570362,0.09072898009331452]","[-1,-1,-1]","[-0.050891702736738244,0.02225255655116219]","[1,1,1]","[-0.1526406628536075,-0.0979285306340973]","[-1,-1,-1]","[0.18915543773903903,0.02808920393164667]","[1,1,1]","[0.0961193674029712,0.17288339890280757]","[1,1,1]","[-0.10729733662057955,-0.16349524529207166]","[1,1,1]","[0.1680275918587754,-0.006189310116344782]","[-1,-1,-1]","[0.007271235187981288,-0.06002373663800117]","[-1,-1,-1]","[0.02,0.02]",101.1018,0,3,3,136,1,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,101.1026,101.5921,,,101.8423,102.0441,left,0.1865,,,,,,,,,0.45,,,,,,101.5922,101.8422,102.0443,"[0.14759636217547137,-0.090435225478192]","[-1,-1,-1]","[-0.05669429609390308,-0.15222938881501347]","[-1,-1,-1]","[0.06652692193612184,-0.1774091541914446]","[1,1,1]","[0.060301530452269166,-0.012330653521690188]","[1,1,1]","[-0.017347580250980266,-0.11584296088287566]","[-1,-1,-1]","[-0.09335737701565605,-0.06145546172684138]","[1,1,1]","[-0.07653855845908189,0.011699344771860213]","[-1,-1,-1]","[0.04524785870167491,-0.10349659215035996]","[1,1,1]","[-0.07752526369882554,0.13666830561107557]","[-1,-1,-1]","[-0.18771898132263914,-0.06499405938600003]","[-1,-1,-1]","[-0.17139699134622988,0.039639732230507846]","[1,1,1]","[-0.16035900998335256,-0.11735503363052079]","[1,1,1]","[-0.13108242491178465,0.07744799080253476]","[1,1,1]","[-0.16036208962967657,-0.03311614690485496]","[-1,-1,-1]","[-0.09239500446868054,-0.11413718490424506]","[-1,-1,-1]","[0.002264710205714541,-0.167744985060306]","[-1,-1,-1]","[-0.028971222576399412,0.14027857763348606]","[-1,-1,-1]","[0.09494483084197605,0.0750341189843817]","[-1,-1,-1]","[0.13718227325808807,-0.026028340040577462]","[-1,-1,-1]","[0.0907134454841361,0.13199158196071406]","[1,1,1]","[-0.018686091230258293,-0.007993648177420041]","[-1,-1,-1]","[0.15556054220631296,0.05183691624812496]","[1,1,1]","[0.08857650282593935,-0.12803022910195677]","[-1,-1,-1]","[-0.03578987007862939,-0.054990599044835345]","[-1,-1,-1]","[0.000289855318371451,0.040930849908788126]","[1,1,1]","[0.024024920959374103,0.17700545332527856]","[1,1,1]","[-0.04492830782569387,0.0786808089683236]","[-1,-1,-1]","[-0.1115198090018881,0.03376993092899275]","[1,1,1]","[-0.19802790190459713,-0.01768120291545868]","[-1,-1,-1]","[-0.04189649036284831,-0.19197210974970982]","[1,1,1]","[0.04960803666607579,0.10538538879348434]","[1,1,1]","[0.19033256238498794,-0.017422725814877058]","[-1,-1,-1]","[0.02,0.02]",103.1407,0,4,4,66,1,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,103.1412,103.6405,,,103.8906,104.1735,right,0.2666,,,,,,,,,0.6,,,,,,103.6405,103.8905,104.1735,"[-0.023500815974268813,0.11232009761386443]","[1,1,1]","[-0.1169168519890202,-0.11113549969807908]","[1,1,1]","[-0.07450442193882083,0.13814096488173613]","[-1,-1,-1]","[0.09723496525678191,0.0017827532826660214]","[1,1,1]","[0.043537446969928666,-0.1268282739387014]","[1,1,1]","[0.17081784775647846,0.028265017102156887]","[1,1,1]","[0.018265559372736804,0.05595854105398921]","[-1,-1,-1]","[-0.011863535493299254,-0.12376801436441905]","[-1,-1,-1]","[-0.12228336130606696,0.12163762689808477]","[1,1,1]","[-0.048667239456351666,-0.04125739111974231]","[-1,-1,-1]","[0.11270476177161624,0.05904647748131269]","[1,1,1]","[-0.17692729433114618,0.007854421358813639]","[1,1,1]","[0.034050028824449845,0.11027875777389809]","[1,1,1]","[-0.050477139624005234,0.019528609015787853]","[-1,-1,-1]","[-0.06473657711394407,0.07041113868593664]","[-1,-1,-1]","[0.16123041164550175,-0.03437532233745817]","[-1,-1,-1]","[-0.10287614169338838,-0.0026220650685261832]","[-1,-1,-1]","[0.1367987417209197,-0.09162672919043675]","[-1,-1,-1]","[0.025232506593872085,0.1979387886439838]","[1,1,1]","[-0.16640118880119023,-0.03325322798220075]","[1,1,1]","[0.10128474119417082,0.13984119769784412]","[-1,-1,-1]","[-0.06944820323622329,-0.17391137790258168]","[-1,-1,-1]","[0.0702582744897088,-0.03166264018302044]","[1,1,1]","[-0.11586739262113457,0.07460898531915461]","[1,1,1]","[0.03743588415981848,-0.056226355887456746]","[1,1,1]","[0.021405616715741187,-0.17402669087211667]","[1,1,1]","[-0.1723480739697061,0.0549430834594125]","[-1,-1,-1]","[-0.03552698326626467,0.16542620260131552]","[-1,-1,-1]","[0.10840780473620515,-0.12050188564143204]","[1,1,1]","[-0.044162731440920325,-0.08391587370928946]","[1,1,1]","[-0.08438403175547134,-0.07592111652902309]","[1,1,1]","[-0.16099276448581906,-0.11720080095921587]","[1,1,1]","[0.02,0.02]",105.2734,0,5,5,170,1,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,105.2743,105.7716,,,106.0142,106.3645,left,0.3322,,,,,,,,,0.1,,,,,,105.7717,106.0141,106.3646,"[0.16164877259808663,0.0913938729876694]","[-1,-1,-1]","[-0.12329052960769069,-0.014434687269502007]","[1,1,1]","[-0.13554644345051814,-0.0717588389827867]","[-1,-1,-1]","[-0.010916545154896706,0.08364533440897119]","[-1,-1,-1]","[0.13261369036509735,0.13561364680345933]","[-1,-1,-1]","[0.07584096727423596,0.09012843298080224]","[-1,-1,-1]","[-0.079064647186734,-0.06686853404244325]","[1,1,1]","[0.08796496962151074,-0.10542406738686544]","[-1,-1,-1]","[-0.16776594581560017,0.03804179587348406]","[-1,-1,-1]","[0.04236867284512613,-0.03227750795495016]","[-1,-1,-1]","[-0.1702767663672399,0.10292987819519721]","[-1,-1,-1]","[-0.024076278266573752,-0.09969437687401306]","[-1,-1,-1]","[0.14284416277716683,-0.09946026446303156]","[-1,-1,-1]","[-0.09904927981347257,-0.15354879997317994]","[-1,-1,-1]","[-0.02113342524639976,-0.1977345974292091]","[-1,-1,-1]","[0.014627338280813185,-0.16440209856563792]","[1,1,1]","[-0.13110701295587052,0.06893372919779735]","[-1,-1,-1]","[-0.04937057402669417,-0.13927264504322193]","[-1,-1,-1]","[0.03484691482629178,0.1486709355698231]","[-1,-1,-1]","[0.10943311917337865,-0.14495032517256795]","[-1,-1,-1]","[-0.07619960109828602,0.1548153087793479]","[-1,-1,-1]","[0.01555335154413083,0.043707219663220484]","[-1,-1,-1]","[-0.06327683524948433,-0.0027462530877514113]","[-1,-1,-1]","[0.11366123205764453,-0.008418880439474198]","[-1,-1,-1]","[0.09652597972857849,0.1529690544265774]","[-1,-1,-1]","[-0.017263206466433978,-0.03452314611632474]","[-1,-1,-1]","[0.009549177449256447,-0.12412307484731859]","[-1,-1,-1]","[0.07337016967526601,0.03707172083609163]","[-1,-1,-1]","[0.1818363743791397,-0.08304783785768158]","[-1,-1,-1]","[0.11993150497386845,0.07271359239805043]","[-1,-1,-1]","[0.1926453188992638,0.0324195238481266]","[-1,-1,-1]","[0.00391691314808039,0.17932763986755895]","[-1,-1,-1]","[0.02,0.02]",107.4544,0,6,6,12,1,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,107.4553,107.9539,,,108.1959,108.5993,left,0.3856,,,,,,,,,0.5,,,,,,107.954,108.1959,108.5995,"[-0.086604993399711,0.02794973791390751]","[-1,-1,-1]","[0.1667630379796034,0.10368437464834473]","[-1,-1,-1]","[0.15399961635605164,-0.010641298560509367]","[1,1,1]","[-0.01910304572049877,-0.02740435963624169]","[1,1,1]","[-0.018405793898198776,0.018066627875060224]","[1,1,1]","[0.08905705182196445,0.11243115369389543]","[1,1,1]","[-0.002566741516505222,-0.1346691879493899]","[1,1,1]","[-0.03495004578065694,-0.07318163406661382]","[-1,-1,-1]","[-0.040768840949253024,-0.16577617932539768]","[-1,-1,-1]","[-0.07610789270197653,-0.056166205394494136]","[-1,-1,-1]","[-0.1569348964380283,0.026612774111462057]","[1,1,1]","[0.05667410972840873,0.1907212614642398]","[-1,-1,-1]","[-0.14514717762697393,0.08203197330211877]","[1,1,1]","[0.0909763104479456,-0.1732702969686033]","[1,1,1]","[-0.07260605311005625,0.15814148777018888]","[-1,-1,-1]","[0.01003972105977875,0.19254493087171884]","[1,1,1]","[0.08837509120551132,0.04609150111288345]","[1,1,1]","[-0.1430313590435641,-0.11308599591738801]","[-1,-1,-1]","[0.1199953324356865,-0.08356525601295187]","[1,1,1]","[-0.17676665741272485,-0.046863417675064495]","[-1,-1,-1]","[-0.01804071438656991,0.09531305576164244]","[-1,-1,-1]","[-0.0902889879098305,0.07830562261697448]","[1,1,1]","[0.04094350071239499,-0.16371082889567806]","[1,1,1]","[0.14229003577813565,-0.12146187070639203]","[-1,-1,-1]","[-0.04860303563276349,0.06394040129558103]","[-1,-1,-1]","[0.13107402896332748,0.14727773367578087]","[-1,-1,-1]","[-0.08130839417312721,-0.13559372077284051]","[-1,-1,-1]","[-0.024672529889204008,0.16202968923255054]","[1,1,1]","[0.12990804279707716,0.05799839233187868]","[-1,-1,-1]","[-0.07119634923597973,-0.009485770342451981]","[1,1,1]","[0.09647371255434688,-0.13359611288332782]","[1,1,1]","[0.020402641189297323,0.13168209980812454]","[-1,-1,-1]","[0.02,0.02]",109.7023,0,7,7,94,1,,,,,,,
,,,,,,,67f8ecba61f42b2394e82833,682db3a63e5d10d94756c12d,2025-05-21_13h20.15.348,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,109.7033,110.2007,,,110.4509,110.6189,right,0.1563,,,,,,,,,0.9,,,,,,110.2008,110.4509,110.619,"[-0.1516681870278043,-0.05726758269591582]","[1,1,1]","[0.13639862423557483,-0.03479312418515813]","[1,1,1]","[-0.12393327500705317,0.030642468185426604]","[1,1,1]","[-0.08227751214526646,0.1507457778077284]","[1,1,1]","[0.11228860688946991,0.015610365571331114]","[1,1,1]","[-0.029680779923395493,0.16813432341903164]","[-1,-1,-1]","[-0.078859285713596,-0.10209965473799316]","[1,1,1]","[0.18427732271701233,-0.03178884869416374]","[1,1,1]","[0.05260453862806108,-0.03749935249795002]","[1,1,1]","[0.1250620278253663,0.14223794985037427]","[1,1,1]","[-0.0611684069875567,0.039695671154280694]","[1,1,1]","[-0.07727739782970451,0.08395602899028388]","[1,1,1]","[-0.012762402582767077,-0.07923930920157643]","[1,1,1]","[-0.18442848524097602,0.018911120787782076]","[1,1,1]","[0.056528647685937995,-0.16870888518656285]","[1,1,1]","[-0.01403783131532731,-0.13805735462115787]","[1,1,1]","[-0.1528114753917896,-0.11953318034721362]","[1,1,1]","[0.0953811407529912,0.09500302478643871]","[1,1,1]","[0.031454523846309236,0.17050631190398116]","[1,1,1]","[0.0126490880750147,-0.18425302335930524]","[1,1,1]","[0.08165148185985113,-0.11861898489676184]","[1,1,1]","[-0.10869716809374703,-0.14657049641673028]","[-1,-1,-1]","[0.02514804803365577,0.05200959036190916]","[1,1,1]","[0.17291772660147373,0.025936676938978182]","[1,1,1]","[0.09856816555488199,-0.07428482002073647]","[1,1,1]","[-0.10944801673334188,0.11803254386758014]","[1,1,1]","[0.08412214479504397,0.1637529135902517]","[1,1,1]","[-0.0006204327255144531,0.0064442807231700466]","[1,1,1]","[-0.17405631542909156,0.08801804515078258]","[-1,-1,-1]","[-0.051027329669014236,-0.011907822847280931]","[1,1,1]","[0.029470085637289107,0.11680376176825757]","[1,1,1]","[0.11873048014941606,-0.15969132222945168]","[1,1,1]","[0.02,0.02]",111.7162,0,8,8,206,1,,,,,,,
