right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,41.7528,space,26.7264,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,41.7548,101.03,space,29.2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,101.031,111.3434,space,7.2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,111.4272,111.8593,111.8609,112.1106,112.1113,113.6087,,113.6095,114.7078,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,114.7102,115.2075,115.2077,115.4459,115.446,116.4756,left,116.4761,117.5734,0,1,1,0,1,0.8,1.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.5751,122.1802,space,1.5859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,122.2349,122.6893,,,122.9464,123.3728,right,,,,,,,,0.55,0.4096,,,,,,,122.6912,122.9462,123.3755,"[0.011765964704629431,-0.16754670491717472]","[1,1,1]","[-0.1748794833838651,-0.06923547447853456]","[-1,-1,-1]","[-0.11071999390902966,-0.16387714415167443]","[-1,-1,-1]","[-0.12526325365437457,-0.04919788943134735]","[-1,-1,-1]","[-0.04336003113937798,0.060613187434468856]","[1,1,1]","[0.03600156813226258,-0.08200156147826743]","[1,1,1]","[-0.12782227623262515,0.028062244457166464]","[1,1,1]","[0.12918643125521584,-0.11621117915405106]","[1,1,1]","[0.03419864341261856,0.06228670672283838]","[1,1,1]","[0.18109593982808891,-0.018028684220073272]","[1,1,1]","[0.04950546067917613,0.01690584958177831]","[-1,-1,-1]","[0.11070141678859952,0.05299410152060366]","[1,1,1]","[-0.14850862102173898,0.07144206726698955]","[1,1,1]","[-0.09811571575484095,0.06078701875007516]","[1,1,1]","[-0.029848139917810625,0.14720358918385124]","[1,1,1]","[0.020829601939208468,0.1661228800878678]","[1,1,1]","[-0.05688201771050027,0.018966513641832376]","[1,1,1]","[-0.09922536106087201,0.10441905088513372]","[1,1,1]","[0.00571548481792054,0.11772144709622422]","[-1,-1,-1]","[0.058187459998469145,0.14698948247681842]","[-1,-1,-1]","[-0.09415372613970797,-0.08856933667180845]","[-1,-1,-1]","[-0.15717385415368065,-0.009267211498907265]","[-1,-1,-1]","[0.1404162764373179,0.1060707986667834]","[-1,-1,-1]","[0.08004229828741731,-0.13308392573003855]","[-1,-1,-1]","[0.09791844039028968,0.16929218057802378]","[-1,-1,-1]","[-0.0593223254095017,-0.029003082649622033]","[-1,-1,-1]","[-0.0492094844110592,-0.08155343855290478]","[1,1,1]","[0.1484693839415921,0.02777738653899068]","[-1,-1,-1]","[-0.19858238437976422,0.01265867162477701]","[1,1,1]","[-0.005640306408698747,-0.08088567708358459]","[1,1,1]","[-0.11895474674515766,0.15131024997884107]","[1,1,1]","[-0.07134563134206172,-0.12460021180557447]","[-1,-1,-1]","[0.02,0.02]",124.4732,0,0,0,123,1,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,124.4749,124.972,,,125.2267,125.9281,left,,,,,,,,0.5,0.6855,,,,,,,124.9721,125.2265,125.9283,"[0.0015090184971983372,-0.02986840387150612]","[1,1,1]","[-0.12769044277719982,0.11071240301550736]","[-1,-1,-1]","[-0.059174471749405294,0.065752771797055]","[-1,-1,-1]","[-0.11981277430856267,-0.08453808447847351]","[1,1,1]","[-0.005116524901983742,0.015781529457638038]","[1,1,1]","[-0.051393656943950386,-0.0005815954492479021]","[-1,-1,-1]","[0.06094512063093687,-0.10196946998122837]","[1,1,1]","[0.03330909587162621,0.06945668068876429]","[-1,-1,-1]","[-0.05372297476937075,-0.12747476291330948]","[1,1,1]","[-0.011678600884198496,0.0766414647618667]","[-1,-1,-1]","[0.1301772884097679,-0.06699334843922417]","[1,1,1]","[-0.1555808858842924,-0.11443707146741167]","[1,1,1]","[-0.004274808545795472,0.1336397091800797]","[1,1,1]","[0.1931664528562796,-0.033175523511860684]","[-1,-1,-1]","[0.15477094343282918,-0.12456784150416754]","[-1,-1,-1]","[0.01613000115562004,-0.08045429416457558]","[-1,-1,-1]","[0.06586083282709604,0.18557034312875284]","[1,1,1]","[-0.1514130972560946,0.02638239244126538]","[1,1,1]","[0.18480004297931105,0.04398622881262961]","[1,1,1]","[-0.05887132291686461,0.17023743927586718]","[1,1,1]","[-0.11093458221405939,-0.14231973612924562]","[-1,-1,-1]","[0.044054556965251714,0.1371768595785938]","[-1,-1,-1]","[0.1445940855349347,0.05459308503958799]","[1,1,1]","[-0.06996365649647268,-0.03745045798159869]","[-1,-1,-1]","[-0.11483646016224272,0.05801189754680479]","[-1,-1,-1]","[0.0010317093721337214,-0.12906887472981546]","[1,1,1]","[-0.09616045581329889,0.15045258094240893]","[-1,-1,-1]","[-0.16092079177312874,-0.01939545763068255]","[-1,-1,-1]","[0.10796320662193536,-0.11629180951188473]","[1,1,1]","[0.07275136388033508,0.04509170400623387]","[1,1,1]","[0.049931374004146066,-0.007912024997318396]","[-1,-1,-1]","[-0.022184257435061774,-0.09213610605526286]","[-1,-1,-1]","[0.02,0.02]",127.0217,0,1,1,103,1,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,127.023,127.5218,,,127.7745,128.5733,left,,,,,,,,0.5,0.7808,,,,,,,127.522,127.7744,128.5744,"[-0.06651928125841064,0.007512961188551086]","[1,1,1]","[0.010128765133353925,0.0812032888611616]","[1,1,1]","[-0.042148860004497905,-0.04495845167067568]","[1,1,1]","[-0.07677109057471582,0.06279999206198804]","[-1,-1,-1]","[0.1316710078464598,0.11622492588986154]","[1,1,1]","[-0.03382856267329361,-0.08629781760747988]","[-1,-1,-1]","[0.05315380129162624,0.18352226657361093]","[1,1,1]","[0.06258854831704543,0.00032301237631235727]","[1,1,1]","[-0.11831510775198388,-0.13456343042633037]","[-1,-1,-1]","[0.13022106399948843,-0.11035921011934982]","[-1,-1,-1]","[0.11915860323732194,-0.011384086113490564]","[1,1,1]","[0.11456966394661394,0.03376412771134099]","[-1,-1,-1]","[-0.037349394138938875,0.036214255957194026]","[1,1,1]","[0.03339455918677342,-0.19102148916251113]","[1,1,1]","[-0.1418349605758444,0.06574171876364752]","[1,1,1]","[-0.12533891003194736,-0.026252012593660164]","[-1,-1,-1]","[-0.05432218698410462,-0.15369539031939639]","[1,1,1]","[0.059387880402160885,0.06821910724793055]","[-1,-1,-1]","[-0.1480962561962366,-0.06083937501092255]","[-1,-1,-1]","[0.18731340687192882,-0.06369166091454757]","[-1,-1,-1]","[0.07570995348721637,-0.16981846152732982]","[-1,-1,-1]","[-0.07499087332712112,0.16343258448953366]","[-1,-1,-1]","[0.07326090000045654,-0.07981631495573568]","[-1,-1,-1]","[-0.11905750873637445,-0.09002591667117116]","[-1,-1,-1]","[-0.09126753054740326,-0.05102622512431346]","[1,1,1]","[-0.12056707313157045,0.10392766238122708]","[-1,-1,-1]","[0.13390823167969632,-0.06292745786184031]","[-1,-1,-1]","[-0.0643078853370987,0.10242679344073799]","[1,1,1]","[-0.01667210051297589,-0.18881247193618306]","[1,1,1]","[0.07195958282163681,0.11681230401653936]","[-1,-1,-1]","[0.003387823695463581,0.18853546014776948]","[1,1,1]","[0.17801489496478015,0.0735914688995672]","[1,1,1]","[0.02,0.02]",129.6712,0,2,2,112,1,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,129.6726,130.1712,,,130.4223,131.1712,left,,,,,,,,0.6,0.7362,,,,,,,130.1712,130.4222,131.1717,"[0.09663936589657593,0.06302086906669825]","[1,1,1]","[-0.1501777343979044,0.057077434002347494]","[1,1,1]","[0.08944837603732426,-0.15116269959876522]","[1,1,1]","[-0.1486386394490841,-0.0303834356421855]","[1,1,1]","[-0.13797182916148118,-0.0919815563740564]","[-1,-1,-1]","[0.18679185201552867,-0.04645547378069519]","[-1,-1,-1]","[-0.03937966181303685,0.1245708152295302]","[-1,-1,-1]","[-0.10636361504724176,-0.12265297977443103]","[1,1,1]","[0.046064426967360454,0.1571140329686606]","[1,1,1]","[0.14048519615925792,0.09751166081070406]","[1,1,1]","[0.15042711065050826,-0.09974618451305278]","[1,1,1]","[0.13310244489868323,-0.007852103797038526]","[1,1,1]","[-0.17134757046615576,0.10138784303703567]","[1,1,1]","[-0.06282034436773333,0.18964239364478636]","[-1,-1,-1]","[0.06015575974210179,0.014397597467174221]","[1,1,1]","[-0.0008864701800738965,-0.16019033877419853]","[-1,-1,-1]","[0.026663875104890974,0.05989074839074505]","[-1,-1,-1]","[-0.008688391066025678,-0.039434884921727455]","[-1,-1,-1]","[0.0984143427542554,-0.07488963775903588]","[1,1,1]","[0.09401659012483783,0.1286802416778962]","[-1,-1,-1]","[-0.1251006200248862,0.13833375514041615]","[1,1,1]","[-0.08655844862814052,0.0015204984485132325]","[1,1,1]","[-0.11462067946550354,-0.05292152725753699]","[-1,-1,-1]","[0.04546342398256023,0.11384037156719459]","[1,1,1]","[-0.034071022364976576,0.06400817013500344]","[-1,-1,-1]","[0.02884176441595471,-0.06397212619209637]","[1,1,1]","[-0.04001340845254721,-0.17691759966356757]","[1,1,1]","[-0.01837786502372214,0.0009098898376682595]","[-1,-1,-1]","[-0.06150168971115036,-0.1411664054940106]","[1,1,1]","[-0.104496303137419,0.04095081126540849]","[-1,-1,-1]","[-0.1798294868583718,0.02605814540741061]","[1,1,1]","[0.17826239029731245,0.051862920220979214]","[-1,-1,-1]","[0.02,0.02]",132.2708,0,3,3,162,1,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,132.2722,132.7708,,,133.0217,133.571,left,,,,,,,,0.55,0.5353,,,,,,,132.7709,133.0215,133.5715,"[-0.0705667992257689,0.04779443619578601]","[1,1,1]","[0.13215609587452587,0.10898448376654506]","[-1,-1,-1]","[-0.12247885032656135,0.004296676137875156]","[-1,-1,-1]","[0.028455281439811145,-0.1862587080051384]","[1,1,1]","[-0.10329822406566574,-0.11772386694963552]","[-1,-1,-1]","[0.018851169284797454,0.0004053657626432807]","[1,1,1]","[0.07784734669867231,-0.17569495100726826]","[1,1,1]","[-0.18797847011319332,0.03069028463240208]","[1,1,1]","[-0.10367238162823758,-0.06932599230068809]","[-1,-1,-1]","[0.19441686825643664,-0.03626861195301726]","[-1,-1,-1]","[0.06222399227383443,0.16324797159284943]","[-1,-1,-1]","[-0.043922910027873616,-0.0689456812597322]","[-1,-1,-1]","[0.07797584240277172,0.049631034949790924]","[1,1,1]","[0.043384228394005894,-0.03349907977616277]","[-1,-1,-1]","[-0.16055703270777383,-0.023232962797225223]","[-1,-1,-1]","[-0.1639094353718645,-0.10966128839225922]","[1,1,1]","[0.057981170157399856,0.10396992176944142]","[-1,-1,-1]","[0.13143265575661794,0.043618770871525075]","[1,1,1]","[0.0754919795786484,-0.11916733609784312]","[-1,-1,-1]","[-0.052609597022594594,-0.11615969391565055]","[1,1,1]","[-0.11720365015943511,0.1559848118279542]","[1,1,1]","[0.11173892270931297,-0.03472319346285444]","[1,1,1]","[-0.02622474150336308,0.1928221564634315]","[1,1,1]","[-0.10469408275745713,0.08892142287478956]","[1,1,1]","[-0.09570982542564449,-0.1743385117844475]","[-1,-1,-1]","[0.19817404795920626,0.021375390209725627]","[1,1,1]","[-0.07002212875406502,-0.022606479040729315]","[1,1,1]","[-0.03418535173301846,0.09804265484916894]","[1,1,1]","[0.022208944178430754,-0.0684283849890274]","[1,1,1]","[0.02833726782066252,-0.11963071045815148]","[-1,-1,-1]","[0.17311683682380602,-0.09998410447787665]","[-1,-1,-1]","[-0.004196861744172236,0.03346148507581758]","[1,1,1]","[0.02,0.02]",134.6703,0,4,4,136,1,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,134.6721,135.17,,,135.4253,136.2207,left,,,,,,,,0.45,0.7721,,,,,,,135.1701,135.4253,136.2213,"[-0.015054292846653895,-0.07529097756349372]","[1,1,1]","[0.1159099671261869,0.018525214594762546]","[-1,-1,-1]","[-0.06038504616582349,-0.1355138382168568]","[1,1,1]","[-0.09057358369746085,0.1217066845991938]","[1,1,1]","[0.0003967146422836271,0.1360888941486339]","[-1,-1,-1]","[0.17135895571762086,0.030462889470193797]","[1,1,1]","[0.1097459786732961,0.08691916872674706]","[-1,-1,-1]","[-0.07813123269701575,-0.04616151548858399]","[-1,-1,-1]","[0.056599965769878885,0.06179955482035183]","[-1,-1,-1]","[0.1214785991824337,-0.024231936549936498]","[1,1,1]","[0.027931372185969146,0.17683366341115545]","[1,1,1]","[0.06539153111613398,0.004640861734263095]","[1,1,1]","[-0.16913624040343037,0.02769641148798188]","[1,1,1]","[-0.11352354150219235,0.018177727682649147]","[-1,-1,-1]","[0.07091939823393435,-0.10391450882143059]","[1,1,1]","[0.04232135390418703,0.10637956837548998]","[-1,-1,-1]","[-0.08545533995486945,0.16763424398198612]","[-1,-1,-1]","[0.0651052043680027,0.15025541299660972]","[-1,-1,-1]","[0.18938039428202716,-0.04143904067205813]","[1,1,1]","[0.12684460458020083,0.13230804635139365]","[1,1,1]","[-0.1434831712352434,-0.04222232216486526]","[1,1,1]","[0.002999515159434519,-0.17579403976944583]","[-1,-1,-1]","[-0.12706204250930375,-0.10379483170713638]","[-1,-1,-1]","[-0.06739827583512557,0.0027922564395000743]","[-1,-1,-1]","[0.006143961622719299,0.08370894253797075]","[1,1,1]","[-0.017177778647573534,-0.006719484267127466]","[-1,-1,-1]","[0.052407154573864974,-0.15241619726047423]","[-1,-1,-1]","[-0.15565158590619665,0.09600532233901173]","[-1,-1,-1]","[0.12002002710241728,-0.13683052998457115]","[-1,-1,-1]","[-0.10779291813793285,0.06750298995228625]","[-1,-1,-1]","[0.1576061300697178,-0.10318223369958782]","[1,1,1]","[-0.03680429919239352,0.08215242787334064]","[-1,-1,-1]","[0.02,0.02]",137.3198,0,5,5,83,1,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,137.3211,137.8199,,,138.0731,138.6202,left,,,,,,,,0.6,0.5217,,,,,,,137.8199,138.073,138.6204,"[0.08312333568183704,0.1258498817383922]","[1,1,1]","[0.08018123471583116,0.07112491609826244]","[-1,-1,-1]","[0.024594890258736662,0.14373567469865062]","[-1,-1,-1]","[0.15960398398735498,0.11008901357530225]","[-1,-1,-1]","[0.001970647784113355,0.05154999338565185]","[1,1,1]","[0.13011061005542296,-0.07622588547781639]","[-1,-1,-1]","[-0.0639429450987026,0.05263100330051182]","[-1,-1,-1]","[-0.11979127343571956,0.1385330606701076]","[1,1,1]","[0.16612568390853868,-0.042051479003650374]","[1,1,1]","[0.011340184334612698,-0.030819242047207814]","[-1,-1,-1]","[-0.05542776859874077,0.11623677920441108]","[1,1,1]","[-0.0998767443519797,0.08878735846174149]","[1,1,1]","[0.06354615122333282,-0.06414798987075801]","[-1,-1,-1]","[-0.09563536460946168,-0.06525230646655841]","[-1,-1,-1]","[0.1565906676506771,0.06682681907136512]","[1,1,1]","[0.10811039373453254,0.020905118941376196]","[1,1,1]","[-0.17074080174098644,0.08664039374390674]","[1,1,1]","[0.04583133643215963,0.18325926974523496]","[1,1,1]","[0.019538044931134944,-0.08016196085419468]","[1,1,1]","[-0.050067441711774394,0.1597722901298985]","[1,1,1]","[-0.15399151477075076,-0.020593637579738068]","[-1,-1,-1]","[0.058737100007839785,-0.15333225741555126]","[1,1,1]","[-0.033250167443881436,-0.1768493218648376]","[1,1,1]","[0.12087648661970661,0.09750596152139479]","[1,1,1]","[-0.04028092853923336,0.0038765197779383324]","[1,1,1]","[-0.13935635716551217,0.04391263568162038]","[-1,-1,-1]","[0.0890226302617665,0.1679790605304825]","[1,1,1]","[-0.011743646129701966,0.09508910580109511]","[-1,-1,-1]","[-0.0752466315275063,-0.1638479900077911]","[-1,-1,-1]","[-0.19539714142244896,-0.032362492671812286]","[1,1,1]","[-0.0711851098535169,-0.12329922462830906]","[-1,-1,-1]","[0.14985758626224263,-0.0014743066438983195]","[1,1,1]","[0.02,0.02]",139.7196,0,6,6,161,1,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,139.721,140.2191,,,140.4701,140.8525,right,,,,,,,,0.1,0.3698,,,,,,,140.2192,140.4701,140.853,"[-0.1573081366903443,0.04066853572558253]","[-1,-1,-1]","[0.1078626852544962,-0.09274129441714088]","[-1,-1,-1]","[0.06771552217715693,0.029781783525797717]","[1,1,1]","[-0.02953132126280177,0.013480203017482475]","[-1,-1,-1]","[0.0988990640710958,-0.14416416185629397]","[-1,-1,-1]","[0.14592409127835404,0.08786370441340055]","[-1,-1,-1]","[-0.017870167938675248,0.1075882019366355]","[-1,-1,-1]","[0.010729724196715204,-0.193501283322612]","[1,1,1]","[0.03475062569330479,0.15909879015057504]","[1,1,1]","[-0.06939264789726485,-0.054920851820804244]","[-1,-1,-1]","[0.09451196192028963,0.10315141071482128]","[-1,-1,-1]","[-0.09502273640274572,-0.09897039478812494]","[-1,-1,-1]","[-0.17345268634924596,-0.01194350755095352]","[-1,-1,-1]","[-0.05259412066089055,-0.18514149905165278]","[-1,-1,-1]","[0.14378132112784098,-0.07382894744132297]","[-1,-1,-1]","[0.03250586094108789,-0.034081030304442005]","[-1,-1,-1]","[0.0027265936453851787,-0.07385117473430555]","[-1,-1,-1]","[-0.1463315566668264,-0.07870041355912401]","[-1,-1,-1]","[-0.07654834607110066,0.0700248038871987]","[-1,-1,-1]","[0.05501704492614669,-0.10200039623705334]","[-1,-1,-1]","[0.17820456188951217,0.02926888087922094]","[-1,-1,-1]","[0.053940574236405615,-0.1698818368198876]","[-1,-1,-1]","[-0.05656311246693508,0.15028362204132872]","[-1,-1,-1]","[0.11547632756273359,0.008013945980336307]","[-1,-1,-1]","[0.14903657768200798,-0.11925274849599003]","[-1,-1,-1]","[0.002112028040627637,0.06432611171383792]","[-1,-1,-1]","[-0.10712878735141693,0.1555613788009618]","[-1,-1,-1]","[-0.06773803098600305,0.03044423237036533]","[-1,-1,-1]","[0.09007943715526848,0.14981435480311678]","[-1,-1,-1]","[-0.008613342570205223,0.16607101304343852]","[-1,-1,-1]","[0.08353697724745564,-0.03887729066109298]","[-1,-1,-1]","[0.0019950747431519496,-0.14757822830546885]","[-1,-1,-1]","[0.02,0.02]",141.9518,0,7,7,14,1,,,,,,,
,,,,,,,6650e473608d3961fbf2ddf0,682f0fda2faed57870420ea1,2025-05-22_04h55.18.716,cuing_paradigm_dot,2024.1.5,Win32,29.85074627,682d573fa47f1360d1451895,,,,,,,,,,,141.9532,142.4518,,,142.7031,143.5693,left,,,,,,,,0.4,0.8543,,,,,,,142.4519,142.703,143.5696,"[0.0833461509855867,-0.13287910439007522]","[-1,-1,-1]","[0.01320048361589354,0.028539932587370427]","[1,1,1]","[0.048738557923466215,0.061529200167852925]","[-1,-1,-1]","[-0.12898480046807462,0.11988708735720348]","[1,1,1]","[0.06740168281890078,0.018671434205119148]","[1,1,1]","[0.00686623568926636,-0.1283869494318612]","[-1,-1,-1]","[0.17893609327742963,0.02543142867621123]","[-1,-1,-1]","[0.008793588113455724,-0.049744769049505956]","[-1,-1,-1]","[0.1359437699838581,-0.00400993352332701]","[-1,-1,-1]","[-0.028355545519951952,-0.032532046771191175]","[-1,-1,-1]","[-0.18735678563284383,0.037991092076976644]","[1,1,1]","[-0.06766817652663391,-0.1592408604044486]","[1,1,1]","[0.01757909224472736,0.1629029644080217]","[1,1,1]","[0.10121427241621422,0.06083905489273749]","[-1,-1,-1]","[0.08451474251558463,0.1528050414816253]","[1,1,1]","[-0.04044118916377361,0.0596479852573549]","[-1,-1,-1]","[-0.043101235438564464,-0.0938616580717121]","[-1,-1,-1]","[0.12176252754750858,-0.04976052547725215]","[1,1,1]","[0.04964392426456072,-0.01846793299824895]","[-1,-1,-1]","[0.03024669976519164,-0.086222040666966]","[1,1,1]","[-0.09500378949947347,-0.11305599091498197]","[1,1,1]","[0.12935826131164463,-0.1221776376171688]","[1,1,1]","[0.03938378417818827,0.12627952579716342]","[1,1,1]","[0.15796015775196026,0.08376660268378479]","[-1,-1,-1]","[-0.16964698735498263,0.10170517509007622]","[-1,-1,-1]","[-0.07641308338159923,0.15554716817369446]","[-1,-1,-1]","[-0.019688132713019595,0.11895820475681075]","[-1,-1,-1]","[-0.10347398248075937,0.07971646893022703]","[-1,-1,-1]","[0.07641071951722968,-0.05251063243274074]","[-1,-1,-1]","[0.19687809164329395,-0.028515094742002686]","[1,1,1]","[-0.03260281235982804,-0.1363135929214689]","[-1,-1,-1]","[-0.110937297572063,-0.16342820858656593]","[-1,-1,-1]","[0.02,0.02]",144.6687,0,8,8,46,1,,,,,,,
