right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,154.58,space,139.5585,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,154.5817,195.654,space,11.0557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,195.6548,201.6521,space,2.9748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,201.7536,202.1671,202.1688,202.4176,202.418,203.9178,,203.9185,205.0175,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,205.0195,205.5163,205.5166,205.7544,205.7545,207.2496,,207.25,208.3493,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,208.3508,228.2644,space,16.8901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,228.3141,228.7773,,,229.0205,230.3784,right,,,,,,,,0.1,,,,,,228.7781,229.0202,1.3431,,230.3803,"[0.10134675982643886,0.14874285091341855]","[-1,-1,-1]","[-0.06887139956129239,-0.06204101325173575]","[-1,-1,-1]","[0.1744900170962679,0.029727527673607042]","[-1,-1,-1]","[0.07713587394408446,-0.09796494440497593]","[-1,-1,-1]","[0.049570096856490935,-0.047128151940576436]","[1,1,1]","[-0.03693238326641136,0.08304589123346004]","[-1,-1,-1]","[0.04762707193074608,0.03104561531992161]","[1,1,1]","[0.029130003974895582,0.17862341892267827]","[-1,-1,-1]","[-0.15655111800526877,0.021484605827600225]","[-1,-1,-1]","[-0.14377667382779152,-0.05811150376471359]","[-1,-1,-1]","[0.10310937150614817,0.03846065279844979]","[1,1,1]","[0.18590354284978872,-0.019274861624546745]","[-1,-1,-1]","[-0.11157737723019195,-0.09030424991278405]","[-1,-1,-1]","[0.14561188869393954,-0.12757799351739033]","[-1,-1,-1]","[-0.06652131109190901,0.024472540961611892]","[-1,-1,-1]","[0.14196396123673974,0.08177945245974236]","[-1,-1,-1]","[-0.07561375119420122,0.15368087578612669]","[-1,-1,-1]","[-0.17598953640427048,0.08620243903854731]","[-1,-1,-1]","[-0.047973406364904804,-0.16835231410826018]","[-1,-1,-1]","[0.0957347140037447,-0.13759339599327852]","[-1,-1,-1]","[0.007998538963136037,-0.07355863963581577]","[-1,-1,-1]","[0.05474318028557044,0.12485875248662252]","[-1,-1,-1]","[0.14535946109832285,-0.03627420415587154]","[-1,-1,-1]","[0.011431121132411974,0.10069695083892179]","[-1,-1,-1]","[0.07543582458068891,-0.014971182431644596]","[-1,-1,-1]","[-0.13681748715063016,0.09800108190236635]","[-1,-1,-1]","[0.023660154817567034,-0.13747822306763383]","[-1,-1,-1]","[-0.10425876647861468,0.05704733088649334]","[-1,-1,-1]","[-0.02436320893185394,0.18592407950194445]","[-1,-1,-1]","[-0.022339045486957834,-0.024509761089498816]","[-1,-1,-1]","[-0.18699525236228465,-0.06028008819712572]","[-1,-1,-1]","[0.133611069651828,0.007812956459675929]","[-1,-1,-1]","[0.02,0.02]",231.4791,0,0,0,21,1,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,231.4806,231.9781,,,232.229,233.7273,,,,,,,,,0.55,,,,,,231.9789,232.2289,,,233.7274,"[-0.14578125803348616,0.10498743104563618]","[-1,-1,-1]","[0.056026883125807406,0.03696442276586786]","[-1,-1,-1]","[-0.14367290584859496,-0.13436211790475489]","[-1,-1,-1]","[0.1526096417307016,-0.12565944113363597]","[1,1,1]","[-0.08105633614178692,-0.16286439007785417]","[1,1,1]","[0.005527778651461065,-0.11352641012662]","[1,1,1]","[-0.006322769411769053,-0.16349625514329488]","[-1,-1,-1]","[0.04813326084439564,0.16008000403310582]","[-1,-1,-1]","[0.13800876933076717,-0.01937779944560102]","[1,1,1]","[-0.19420184460754164,-0.016151211838794664]","[1,1,1]","[0.14066787743585982,-0.0714978993351273]","[1,1,1]","[-0.03170125529815109,0.026392501274349098]","[1,1,1]","[0.03858826405555446,0.12023875893411215]","[1,1,1]","[0.06197178570500485,-0.07393938159343004]","[-1,-1,-1]","[-0.10850994615036282,-0.049665923919133076]","[1,1,1]","[-0.07164902031020963,0.15000067650740545]","[1,1,1]","[-0.07275338880393714,-0.07266108737211444]","[-1,-1,-1]","[-0.08469388114437033,0.07765144469106879]","[1,1,1]","[0.15610357451739762,0.08858170126270531]","[-1,-1,-1]","[-0.03278001183952356,-0.1007561115466418]","[1,1,1]","[0.09791895470193922,-0.16245651464677338]","[1,1,1]","[0.1297588610077989,0.12351033332264141]","[-1,-1,-1]","[0.029954875048210435,-0.03746645465778827]","[1,1,1]","[-0.022999211530537533,0.13687987414119943]","[1,1,1]","[0.007521427259619264,0.05679494642508175]","[-1,-1,-1]","[-0.16035933433502816,0.039986853100262704]","[-1,-1,-1]","[0.14032307461054933,0.024840004164532973]","[1,1,1]","[0.05367741554563904,-0.17198747537947753]","[-1,-1,-1]","[0.0858671700439152,0.11433312338388096]","[-1,-1,-1]","[0.10306211483794572,-0.11280419874201543]","[1,1,1]","[-0.06023896810502428,-0.017081896980228932]","[1,1,1]","[0.18338373177063097,0.019306292351421468]","[-1,-1,-1]","[0.02,0.02]",234.827,0,1,1,136,1,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,234.8283,235.326,,,235.579,236.7266,left,,,,,,,,0.9,,,,,,235.326,235.5789,1.1314,,236.727,"[-0.031210976465943084,-0.055915897527016034]","[1,1,1]","[-0.10248893940562545,-0.09009131625373334]","[1,1,1]","[0.009883256251943202,0.19081335668826926]","[1,1,1]","[-0.014813153241280592,0.07732091237304796]","[1,1,1]","[-0.06895433435644376,0.017748381036274172]","[1,1,1]","[-0.18612930448496462,-0.051995996987265224]","[-1,-1,-1]","[-0.02439113065760208,-0.1144623093559858]","[1,1,1]","[0.03077811580178814,-0.1639778093941535]","[1,1,1]","[0.03199826483416054,-0.04023184575947857]","[1,1,1]","[0.09464909299469837,0.0035101712469819777]","[-1,-1,-1]","[-0.1046527273272135,0.16393438185598008]","[1,1,1]","[0.08465227377539376,0.09779645985807452]","[1,1,1]","[0.06491613456134762,0.16910683882935684]","[1,1,1]","[-0.13944737345096564,-0.05212058171731253]","[1,1,1]","[-0.07197571954646664,0.10191166862239208]","[1,1,1]","[-0.11437982458185945,-0.13283873997945855]","[1,1,1]","[0.02849373874894725,-0.10215037749699497]","[1,1,1]","[-0.1442876753682869,0.127008387664602]","[1,1,1]","[0.09259091360745789,-0.14203598693404365]","[1,1,1]","[0.0983568705590299,-0.04575467887715276]","[1,1,1]","[-0.0568819205960615,-0.1682213847135659]","[1,1,1]","[-0.11226579409765589,0.06961050509371215]","[1,1,1]","[-0.19236828808584164,0.03334034333554358]","[-1,-1,-1]","[0.020599746197956226,0.011126321076727144]","[1,1,1]","[0.18544970144772768,0.03821903961955564]","[1,1,1]","[0.1088554422032339,0.0536909649471483]","[1,1,1]","[-0.12736711840879847,0.024614046801626027]","[1,1,1]","[0.1215592937140695,-0.0885140355242168]","[1,1,1]","[-0.06243200609219465,-0.0902123905793165]","[1,1,1]","[0.18146118539382639,-0.06836538209607247]","[1,1,1]","[0.12671764383928122,0.13376906346631445]","[1,1,1]","[0.1611015930171044,0.10356740685490635]","[1,1,1]","[0.02,0.02]",237.8265,0,2,2,206,1,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,237.8282,238.3266,,,238.5812,239.6436,left,,,,,,,,0.4,,,,,,238.3267,238.5811,1.0401,,239.6438,"[-0.1502914116642722,-0.11992887742393185]","[-1,-1,-1]","[-0.16651353870091865,0.016281240172767907]","[-1,-1,-1]","[-0.17759578613133947,-0.046099826178142636]","[-1,-1,-1]","[-0.07905186808595928,0.11057019512431887]","[-1,-1,-1]","[-0.15106516373579384,0.10660520213627342]","[1,1,1]","[0.01786898997989428,0.10785306541714888]","[-1,-1,-1]","[-0.007320597856933043,0.05844473676476463]","[1,1,1]","[0.0890780577032337,-0.15799908007668845]","[1,1,1]","[0.1432763712068531,-0.11706757328794064]","[1,1,1]","[0.11816550192721025,0.021924647702374647]","[-1,-1,-1]","[0.05821144068991544,0.03544659260751045]","[1,1,1]","[-0.06283684372798065,-0.07541036431648444]","[1,1,1]","[-0.10029549787647679,0.044603217078126055]","[1,1,1]","[0.07023344047371502,0.17333228189216834]","[1,1,1]","[0.15753739462160704,-0.07176605646102524]","[1,1,1]","[0.009867784344415143,0.15992224145687725]","[-1,-1,-1]","[-0.016361449982416443,-0.09408600906519597]","[1,1,1]","[-0.10819006587581802,-0.15402713319233685]","[1,1,1]","[-0.0716398321667496,-0.18114391916839412]","[-1,-1,-1]","[-0.018108954399835293,-0.03143153358645949]","[-1,-1,-1]","[-0.10898604834207538,-0.028287362666000408]","[-1,-1,-1]","[0.1480322062989613,0.0940993332960357]","[-1,-1,-1]","[-0.05390311783416014,0.06230594212478182]","[-1,-1,-1]","[0.10115526700176822,0.09291625554999441]","[-1,-1,-1]","[0.039350796595060245,-0.022885215073310348]","[-1,-1,-1]","[-0.06359170713895831,-0.025526234490636738]","[1,1,1]","[0.15745725032908284,0.012532011565488745]","[1,1,1]","[0.06535193232276854,0.12417737273481547]","[-1,-1,-1]","[0.1000562162602492,-0.06583140086306392]","[-1,-1,-1]","[-0.12170709063051642,0.13396223102674676]","[-1,-1,-1]","[-0.04113104509088061,0.18517162329609105]","[-1,-1,-1]","[0.03206274240048639,-0.06576100443120904]","[-1,-1,-1]","[0.02,0.02]",240.7416,0,3,3,37,1,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,240.7433,241.2424,,,241.4959,242.176,right,,,,,,,,0.1,,,,,,241.243,241.4959,0.6532,,242.1765,"[0.010807381736950249,-0.005923417216648716]","[-1,-1,-1]","[-0.07235070920882469,0.058482413958033455]","[-1,-1,-1]","[-0.024876838984907505,-0.18134694336788104]","[-1,-1,-1]","[-0.1756700101258777,-0.06088773565040349]","[-1,-1,-1]","[-0.15461017760651632,0.012712627942647572]","[-1,-1,-1]","[0.0361914497049384,0.11838320529640455]","[-1,-1,-1]","[0.0651345884977882,-0.08767541778473995]","[-1,-1,-1]","[0.14837943795043593,-0.09627932011706493]","[-1,-1,-1]","[-0.052248259934628845,-0.024444291929538495]","[-1,-1,-1]","[-0.08765225081729676,0.10563532341854615]","[1,1,1]","[0.055532286796286974,0.045791518768716725]","[-1,-1,-1]","[0.09885575427637142,0.008875597526669088]","[-1,-1,-1]","[-0.07470138111892854,-0.183892832739685]","[-1,-1,-1]","[0.15540985936271165,-0.04422590282445065]","[-1,-1,-1]","[-0.11608856955681264,-0.1479080888229372]","[-1,-1,-1]","[-0.11216504716578056,-0.04384218357524166]","[-1,-1,-1]","[0.07967823608330876,0.17559642676242218]","[-1,-1,-1]","[0.02129295123473442,0.08075446242075986]","[-1,-1,-1]","[-0.1465806878151359,0.11718759291365484]","[-1,-1,-1]","[0.11362089823086194,0.11139155486585167]","[-1,-1,-1]","[0.14530230593378668,0.0011482820192734362]","[-1,-1,-1]","[0.12900792042427828,0.0739223250254656]","[-1,-1,-1]","[-0.11207529029292237,0.05156659027638642]","[-1,-1,-1]","[-0.07889129785381596,0.15767406419605048]","[1,1,1]","[0.19590196211528513,-0.030362208442846938]","[-1,-1,-1]","[0.03227258785195257,-0.17988862146834453]","[-1,-1,-1]","[-0.1514532379991762,0.058969208895673614]","[1,1,1]","[0.03981730051627674,0.16455110987097343]","[-1,-1,-1]","[-0.028149038023280976,0.044640491058196285]","[-1,-1,-1]","[0.16303968815534464,0.10421006393930862]","[-1,-1,-1]","[-0.03874432072361585,-0.06702271199968919]","[-1,-1,-1]","[0.0185652098356988,-0.08703983328860537]","[-1,-1,-1]","[0.02,0.02]",243.2759,0,4,4,29,1,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,243.2775,243.7756,,,244.0268,244.8256,left,,,,,,,,0.9,,,,,,243.7758,244.0267,0.7903,,244.8258,"[0.03988184868543695,0.03575368912584408]","[1,1,1]","[-0.08746411811946342,0.00644895339160774]","[1,1,1]","[0.07161845584259549,-0.05382275377437538]","[-1,-1,-1]","[-0.15568714870114211,0.1237355124817293]","[1,1,1]","[-0.07580365404707648,-0.14109219443118592]","[1,1,1]","[-0.038549328649890975,-0.057862446391238505]","[1,1,1]","[0.09433661472514285,-0.17509598824445963]","[1,1,1]","[-0.16215960193385964,0.010939431373068697]","[1,1,1]","[0.1824058724274906,0.012855688152096197]","[1,1,1]","[-0.06908769043743114,0.09118076627905765]","[1,1,1]","[-0.003246754143962564,-0.16953475990559916]","[1,1,1]","[-0.1209317011770771,0.09461733200246292]","[1,1,1]","[0.03702890586781192,-0.01142663896092314]","[1,1,1]","[0.05812630007078486,-0.10646860112916533]","[1,1,1]","[-0.12022738938076137,0.04756938440967268]","[1,1,1]","[-0.13937894818989927,-0.0815800127011267]","[1,1,1]","[0.12384490889938268,-0.0504888235909924]","[1,1,1]","[-0.17059596889631387,0.08423399725511119]","[1,1,1]","[0.02068168941130924,0.1117638771530083]","[1,1,1]","[-0.00284876243229565,-0.1138654766290363]","[1,1,1]","[0.08089216172466498,0.1610693614092001]","[1,1,1]","[0.10305078738375903,-0.09420871015060531]","[1,1,1]","[0.12281220169423676,0.03171878358884803]","[-1,-1,-1]","[-0.1821354665955778,-0.07744569314622474]","[1,1,1]","[-0.058578497037422364,0.17834350826433754]","[1,1,1]","[0.16945803062894815,-0.061050530844211824]","[1,1,1]","[-0.024504505905988416,0.07778838997298382]","[1,1,1]","[0.1362233702500207,0.14055737502261173]","[1,1,1]","[0.18089343014007317,0.07601828245721093]","[1,1,1]","[-0.08054295745148608,0.13569100610388504]","[1,1,1]","[0.03320660319675541,-0.14700072232851782]","[-1,-1,-1]","[-0.007955689542988222,0.036697022283993914]","[1,1,1]","[0.02,0.02]",245.9248,0,5,5,192,1,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,245.9261,246.4251,,,246.6775,247.307,left,,,,,,,,0.9,,,,,,246.4252,246.6774,0.6013,,247.3073,"[-0.06880445062509001,0.107269738549327]","[1,1,1]","[-0.029800233005849615,-0.03586530252143283]","[1,1,1]","[-0.15718085490764552,0.06355373454536055]","[1,1,1]","[0.14658774516393364,-0.050719570070801495]","[1,1,1]","[-0.10682112767430432,0.029998414612313368]","[1,1,1]","[-0.1532347466716329,0.11525855854447996]","[-1,-1,-1]","[-0.08247529415301466,0.1779046094299794]","[1,1,1]","[-0.002329097401068826,0.07257366420167319]","[1,1,1]","[0.017105310273707538,0.03694863299822113]","[1,1,1]","[-0.03106577383222492,-0.1631807615045116]","[1,1,1]","[0.01658719659283533,-0.13097697230203315]","[1,1,1]","[-0.0022701765633126843,0.12036003366114735]","[1,1,1]","[0.055811281706428906,-0.07445768049541256]","[1,1,1]","[0.07461206496839687,-0.14947674713843964]","[1,1,1]","[0.09320539109922521,-0.10314758055068356]","[1,1,1]","[0.0026942963618599336,-0.011214807204944981]","[1,1,1]","[0.13007956181653357,0.14829684654216133]","[1,1,1]","[0.04648966225019901,0.0871333338485776]","[1,1,1]","[-0.12777626159487668,-0.06976065412049501]","[1,1,1]","[-0.0301458619183025,0.027623394716807338]","[-1,-1,-1]","[-0.029998075287125878,0.17138837701377235]","[1,1,1]","[0.05462803205510381,-0.015238920818015507]","[1,1,1]","[-0.08129855660157939,-0.1303156560366108]","[-1,-1,-1]","[0.1347057422032425,0.0722365788360538]","[1,1,1]","[0.08245084988432282,0.022865211468450736]","[1,1,1]","[0.012310877827239173,-0.0814417492018035]","[1,1,1]","[-0.19136228104333006,0.0013162100023421327]","[1,1,1]","[-0.07245106414227345,-0.004261297134638259]","[1,1,1]","[-0.049269113734515195,-0.10312007216456655]","[1,1,1]","[0.004988507570306384,-0.18089385981161227]","[1,1,1]","[0.1855877908303817,0.021335187082078055]","[1,1,1]","[0.09565841022657352,0.11697485907682756]","[1,1,1]","[0.02,0.02]",248.4083,0,6,6,209,1,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,248.4095,248.9083,,,249.1639,250.0912,left,,,,,,,,0.55,,,,,,248.9086,249.1638,0.9096,,250.0913,"[0.13236292233198754,-0.07595548175504241]","[1,1,1]","[-0.18078489608702641,-0.016370655288369784]","[1,1,1]","[0.0903890267243288,0.07832323227725702]","[1,1,1]","[-0.035088775435411286,0.1638430765628107]","[1,1,1]","[-0.1312310793004376,0.10935513499437952]","[1,1,1]","[-0.11308091314213226,-0.08671879548067606]","[1,1,1]","[-0.14838751006639422,-0.10804980292201402]","[1,1,1]","[-0.040009290861278336,-0.12034560794651634]","[-1,-1,-1]","[-0.056950784382661476,0.03837034614617734]","[-1,-1,-1]","[0.03429891661146476,-0.014482733089387155]","[1,1,1]","[0.019301809221189993,-0.13056536669393382]","[-1,-1,-1]","[-0.0965106061003582,-0.03982551053043921]","[-1,-1,-1]","[-0.03411741110516834,-0.008487329668759203]","[-1,-1,-1]","[0.07587112891596144,-0.12215765524919402]","[-1,-1,-1]","[-0.01631300631491689,-0.06744582434156147]","[-1,-1,-1]","[0.011210485241557048,0.17058938465697032]","[1,1,1]","[-0.13640745318195852,-0.050278306926342636]","[1,1,1]","[-0.05775717717260609,0.07976573198682978]","[1,1,1]","[0.09427207247087237,-0.15805960260677487]","[1,1,1]","[0.13012862723958243,0.054156476920247484]","[1,1,1]","[0.14850328736039983,0.1297455964148042]","[1,1,1]","[0.05459787937755118,0.022500675449857142]","[-1,-1,-1]","[-0.019603861463691436,0.0943347929114031]","[-1,-1,-1]","[0.08922255044154442,0.17647816221207993]","[-1,-1,-1]","[0.1386430100552822,-0.030670130049221672]","[-1,-1,-1]","[-0.09878466015889392,-0.13020297835178782]","[1,1,1]","[-0.0039963607570387,-0.1659036947690311]","[1,1,1]","[-0.0779876374234102,-0.16919274275977114]","[-1,-1,-1]","[0.16627515624315903,0.02976371188296338]","[1,1,1]","[-0.11156255065873506,0.037630681272843365]","[-1,-1,-1]","[0.15166482834572273,0.08844382977798182]","[-1,-1,-1]","[0.10298758148522993,0.009156930324322759]","[1,1,1]","[0.02,0.02]",251.1915,0,7,7,123,1,,,,,,,
,,,,,,,67f8cb31eeea81a0e4c8a853,682f10192dfdaca3b062d32f,2025-05-22_13h56.19.362,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,251.1936,251.6921,,,251.941,252.7301,left,,,,,,,,0.6,,,,,,251.6923,251.941,0.7814,,252.7304,"[-0.08073105555385933,0.12423022748128379]","[1,1,1]","[-0.0628085831353358,-0.04903309810418547]","[1,1,1]","[-0.12973962672912756,0.0680804589136656]","[1,1,1]","[-0.055531660078018456,-0.12099851993181944]","[1,1,1]","[-0.010515744753534749,-0.09650528764892231]","[1,1,1]","[-0.16655722527984906,0.027229809943909743]","[1,1,1]","[0.11501870977423949,-0.09109119934042452]","[1,1,1]","[-0.13437780700092966,-0.06719586631610874]","[1,1,1]","[0.0277615006238242,0.0895749932389451]","[-1,-1,-1]","[0.10928759185450035,-0.015419723852455004]","[-1,-1,-1]","[0.005654738070244915,-0.01037683242448214]","[-1,-1,-1]","[0.08373914637881354,0.017570621749627507]","[-1,-1,-1]","[0.0022678891812968425,-0.13647620236565483]","[-1,-1,-1]","[0.1670374507318324,0.08925526373070714]","[-1,-1,-1]","[0.06237608738988164,0.1654821860503613]","[1,1,1]","[-0.031683097887155585,0.1539269349774688]","[1,1,1]","[0.03390892986990101,0.03388737111439151]","[1,1,1]","[-0.1254041246518019,-0.11868094957162405]","[-1,-1,-1]","[0.10950745187771822,0.0567430557789299]","[-1,-1,-1]","[0.08223509676792705,-0.11421475452780959]","[-1,-1,-1]","[-0.06904812378237239,-0.18159441092052406]","[1,1,1]","[-0.0952344162368122,0.04221390037134343]","[-1,-1,-1]","[0.06295789618437653,-0.04588412922919292]","[1,1,1]","[-0.043936790301076625,0.025331530307016438]","[1,1,1]","[0.15791943428624905,-0.023904856133220374]","[1,1,1]","[-0.11170958758431744,0.15733073365598843]","[1,1,1]","[-0.18566884051621882,-0.039927576500187176]","[-1,-1,-1]","[0.12023565884529089,-0.15175456281076455]","[-1,-1,-1]","[0.0667291512270368,0.07728148721397932]","[1,1,1]","[0.11261712971916295,0.1184503901696742]","[1,1,1]","[0.16892046212724768,0.03498576562739874]","[-1,-1,-1]","[0.07582507069376793,-0.15889134115466355]","[1,1,1]","[0.02,0.02]",253.8246,0,8,8,160,1,,,,,,,
