right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,26.4522,space,11.4148,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,26.4527,58.3407,space,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,58.3409,63.1824,space,1.8152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,63.2634,63.6994,63.6998,63.9634,63.9638,64.9654,left,0.9689,,64.9656,66.0656,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,66.0671,66.5616,66.5617,66.7981,66.7982,67.2835,right,0.4053,,67.2837,68.3636,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3641,76.0287,space,4.6594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,76.1456,76.5433,,,76.7838,77.4099,left,0.6173,,,,,,,,,0.6,,,,,,76.5438,76.7836,77.4105,"[0.025663561768355242,-0.13795260057951486]","[1,1,1]","[-0.10138419970180143,-0.005800325466583704]","[-1,-1,-1]","[-0.13641856432814345,0.06230595976072695]","[-1,-1,-1]","[-0.049503966479467754,-0.17923946366370658]","[-1,-1,-1]","[-0.07736481691393228,-0.09225168598641363]","[-1,-1,-1]","[0.0989878713479163,0.07889877194292137]","[1,1,1]","[-0.16062900006585226,-0.07566236256617077]","[-1,-1,-1]","[0.1139136507862558,0.039891060805944054]","[-1,-1,-1]","[0.06015302640745314,-0.18628435777796032]","[-1,-1,-1]","[-0.15472671167910493,0.006059500437969316]","[1,1,1]","[0.05334009435464614,0.06657306236469598]","[1,1,1]","[-0.0006025610933873079,-0.19856379054882597]","[1,1,1]","[-0.1337764772324504,-0.11717624315522791]","[1,1,1]","[-0.011285354893705031,-0.11179620927233598]","[-1,-1,-1]","[0.046184518850210105,0.10742704985885056]","[-1,-1,-1]","[-0.02582386058094731,0.05651467797256821]","[1,1,1]","[0.11264482246199578,-0.15993951528750963]","[-1,-1,-1]","[0.07699610528310677,-0.06763228675741835]","[1,1,1]","[-0.032133425345297784,0.1386193442496323]","[1,1,1]","[-0.06753221324890198,0.09497168252823245]","[-1,-1,-1]","[-0.1959014913678961,0.010009896480606824]","[1,1,1]","[-0.10440973572048759,0.036853751863545704]","[1,1,1]","[0.16709552633965574,-0.08977992156742565]","[1,1,1]","[0.0720324512472142,-0.024196134401797662]","[1,1,1]","[0.03194579144018428,0.17293784083394723]","[1,1,1]","[0.17581169891162204,0.0831304763050991]","[1,1,1]","[0.15497433832285323,0.015724181824663473]","[-1,-1,-1]","[-0.0015030738533810238,-0.0705722570952825]","[1,1,1]","[-0.11652973399051149,0.1570537814178339]","[1,1,1]","[0.13229867108877097,0.1311659686911527]","[1,1,1]","[0.1443205431611588,-0.13126835546066584]","[-1,-1,-1]","[-0.018921425489945586,0.19811082346159709]","[1,1,1]","[0.02,0.02]",78.5313,0,0,0,153,1,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,78.5325,79.0089,,,79.2453,79.6297,right,0.3534,,,,,,,,,0.1,,,,,,79.0089,79.2453,79.6298,"[0.10636012900537357,-0.12995851311615297]","[-1,-1,-1]","[-0.025296335175597557,0.17976046232700502]","[-1,-1,-1]","[0.13660797555963794,-0.09881663649615116]","[1,1,1]","[-0.06362574671980178,0.078468316857862]","[-1,-1,-1]","[0.12050870064992662,0.06732290053437896]","[-1,-1,-1]","[-0.013031379928120045,-0.05356947438978707]","[-1,-1,-1]","[0.08393116745081527,0.15217441740243182]","[-1,-1,-1]","[-0.015301373985014976,-0.18749749478825659]","[-1,-1,-1]","[-0.02346810364579186,0.06511897164108188]","[1,1,1]","[0.07789808844424795,0.014870567189213858]","[-1,-1,-1]","[0.16868231191851119,0.020485888131651957]","[-1,-1,-1]","[0.030754662984384108,0.04376682557793807]","[-1,-1,-1]","[-0.17279014163263962,0.03128124431751425]","[-1,-1,-1]","[-0.16355756984091352,-0.01750503684011987]","[-1,-1,-1]","[0.13542372887944615,-0.04324542290673752]","[-1,-1,-1]","[-0.07332807608252348,-0.0007118517522841605]","[-1,-1,-1]","[-0.030970332545856658,-0.1491715933151424]","[-1,-1,-1]","[-0.17716898507268838,-0.05950204122641464]","[-1,-1,-1]","[-0.05083758978410964,-0.10990705430337727]","[-1,-1,-1]","[-0.12144838415157705,0.13773181352717048]","[-1,-1,-1]","[-0.024985065006726245,-0.00598781537111843]","[-1,-1,-1]","[-0.11048862095178907,-0.13266580138800088]","[-1,-1,-1]","[-0.09543356444393504,0.16997997781227256]","[-1,-1,-1]","[0.15581897001447825,0.11006835558786007]","[1,1,1]","[0.1883383825769628,-0.03362808252434911]","[-1,-1,-1]","[0.07031114388181425,0.05529901077434994]","[-1,-1,-1]","[-0.1691946851870905,0.08825361686262373]","[-1,-1,-1]","[0.12460653937466602,0.022056836689325024]","[-1,-1,-1]","[-0.07595607782921404,-0.15740390922792616]","[-1,-1,-1]","[0.11245352547622818,0.11722706146731575]","[-1,-1,-1]","[-0.08523540805951982,-0.08231733825890918]","[-1,-1,-1]","[0.09632408403982061,-0.028503378437783403]","[-1,-1,-1]","[0.02,0.02]",80.731,0,1,1,7,1,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,80.732,81.2164,,,81.4888,82.0665,right,0.5546,,,,,,,,,0.5,,,,,,81.2164,81.4852,82.0665,"[0.013816293221461383,-0.12991192924670406]","[1,1,1]","[-0.03922204441445983,-0.04764170832220049]","[1,1,1]","[0.09548017186721655,0.009345605622647545]","[-1,-1,-1]","[0.02426235288357902,0.0529764613879236]","[-1,-1,-1]","[0.08076760886772066,-0.14467815544675208]","[-1,-1,-1]","[0.041830615698355715,-0.06498216755444786]","[1,1,1]","[0.10953138973415773,0.06827314139392901]","[1,1,1]","[-0.09594221645800345,0.03738108261902467]","[-1,-1,-1]","[-0.15003707132579747,0.05661561184741733]","[-1,-1,-1]","[-0.025064540631073422,0.05064891887605013]","[-1,-1,-1]","[0.13615628284401105,-0.11192989578589432]","[-1,-1,-1]","[-0.08188003681099393,-0.1323075630777316]","[-1,-1,-1]","[0.021414749130654942,0.14011738127570728]","[-1,-1,-1]","[-0.05633675684843646,0.13986353779917587]","[1,1,1]","[-0.1587376080005155,-0.017009606384808397]","[-1,-1,-1]","[-0.18030767001484269,-0.06354297784460018]","[1,1,1]","[-0.03619990380420596,-0.1444096760232593]","[-1,-1,-1]","[-0.0175847652318458,-0.09973723563111159]","[1,1,1]","[0.1525339737070016,-0.016728664023129714]","[-1,-1,-1]","[0.001760102336081911,-0.03970424470507699]","[-1,-1,-1]","[-0.07374064940463132,0.10001444244464404]","[1,1,1]","[0.1441506511277358,0.09095323155362303]","[1,1,1]","[-0.10748358238054251,-0.007585996867503917]","[-1,-1,-1]","[0.09258737965837663,-0.04011953738575784]","[1,1,1]","[0.19501543026731494,-0.027749052366530236]","[1,1,1]","[-0.11973131128382372,-0.09460852416283953]","[-1,-1,-1]","[-0.10020287530040113,0.14237424131976248]","[1,1,1]","[0.03888451000451702,-0.1728062100556027]","[1,1,1]","[0.07485575645513427,0.1268741549217577]","[1,1,1]","[-0.046660761932860555,-0.005649373166274084]","[1,1,1]","[-0.13650893212174572,-0.14227136415077374]","[-1,-1,-1]","[-0.00343028313984409,-0.19380886088283503]","[1,1,1]","[0.02,0.02]",83.1428,0,2,2,96,1,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,83.1439,83.6422,,,83.8724,84.2546,right,0.362,,,,,,,,,0.45,,,,,,83.6423,83.8721,84.2547,"[-0.008849488546097406,0.027963389785095414]","[-1,-1,-1]","[0.09078953237943832,0.1462214479051076]","[-1,-1,-1]","[-0.18482381704383036,-0.05068759768805323]","[-1,-1,-1]","[-0.047474841972614756,0.0694002600099281]","[1,1,1]","[-0.0584364469438815,-0.048045287598770116]","[-1,-1,-1]","[0.0007553326610609322,0.11784736962917966]","[-1,-1,-1]","[-0.1209371713678303,0.08412748635223315]","[-1,-1,-1]","[0.05442002610893554,0.1641243885539188]","[-1,-1,-1]","[-0.14043337274605308,0.0008758787867089289]","[1,1,1]","[-0.002523966768874027,-0.019384955528699982]","[-1,-1,-1]","[-0.1029735387447384,-0.12682307946630067]","[-1,-1,-1]","[0.11218516115768333,-0.04993499365159988]","[1,1,1]","[0.05920542511913772,0.07241833964641176]","[1,1,1]","[0.10040053673116077,0.10320626075914428]","[-1,-1,-1]","[0.045262805579798025,-0.03652195858701085]","[-1,-1,-1]","[-0.031309052048434566,0.14780018075080326]","[-1,-1,-1]","[-0.07432461023825641,-0.007063319059006388]","[1,1,1]","[0.06080685479351725,-0.15227045522514562]","[-1,-1,-1]","[-0.08478093376285603,0.1282862811710304]","[-1,-1,-1]","[-0.03483746500783007,-0.1681120515353432]","[1,1,1]","[-0.0002415024236723558,-0.06365842497083701]","[1,1,1]","[0.12482179499307937,0.009334776558069392]","[1,1,1]","[-0.16274114588434552,0.11546220762562763]","[1,1,1]","[0.10955187831648605,-0.11220726778104187]","[1,1,1]","[0.16497820147503903,-0.027567281300393886]","[1,1,1]","[-0.15732300876772676,0.045395123334449915]","[-1,-1,-1]","[0.0820344746400812,-0.011885613398069815]","[1,1,1]","[-0.14835468462699147,-0.07368082022755038]","[-1,-1,-1]","[0.028401769786189877,-0.10758801819882237]","[1,1,1]","[0.03289211056302511,-0.18893232141164668]","[1,1,1]","[0.14040797629381535,0.05861654131636049]","[-1,-1,-1]","[-0.08204429003980607,0.036156441663128404]","[-1,-1,-1]","[0.02,0.02]",85.3548,0,3,3,77,1,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,85.3559,85.8575,,,86.092,86.5055,left,0.3972,,,,,,,,,0.9,,,,,,85.8576,86.0919,86.5056,"[0.13219767048253395,0.13765201335024077]","[1,1,1]","[0.14242816055005167,0.06856789257324838]","[1,1,1]","[0.17122405886103093,-0.05072482831751464]","[1,1,1]","[0.0745443857366924,0.1250600975842107]","[1,1,1]","[-0.06732559787659743,-0.045603893405652754]","[1,1,1]","[-0.03818688435874015,0.03637261615348443]","[1,1,1]","[0.013463182644815554,0.0031651996929907165]","[1,1,1]","[-0.13722282907026243,-0.013024003674808693]","[1,1,1]","[-0.004754747239641923,0.18141793983426818]","[1,1,1]","[-0.06321879838002446,-0.09791335643038077]","[-1,-1,-1]","[-0.09786481946544875,-0.07678295533408347]","[1,1,1]","[-0.147206901706102,0.11213705253641745]","[-1,-1,-1]","[0.041821636201992,-0.02787923177679087]","[1,1,1]","[0.1493242119601273,-0.015150815466135626]","[1,1,1]","[-0.10631223256035578,-0.12618875962123088]","[1,1,1]","[-0.03887572797593286,-0.15980276980590866]","[1,1,1]","[0.17427252841081056,0.026641594376440307]","[1,1,1]","[0.06444691156444902,-0.11287004516608162]","[1,1,1]","[0.010201894857347732,0.10849197130479547]","[-1,-1,-1]","[-0.12734503225363888,0.06312098073604656]","[1,1,1]","[0.08308954758630047,-0.1738208701325762]","[1,1,1]","[-0.10730499028101319,0.1647536953230828]","[1,1,1]","[0.057242855027471395,0.07486676387112347]","[1,1,1]","[-0.08386230449232335,0.11030363010634921]","[1,1,1]","[0.09583248067053554,-0.04429899668639976]","[1,1,1]","[0.010429902526332958,-0.12790495892440162]","[1,1,1]","[0.03173656158150255,0.15724907077476577]","[1,1,1]","[-0.19324790933658165,-0.0019092534089199197]","[1,1,1]","[-0.07884010304133798,0.01895425760302537]","[1,1,1]","[-0.024199599227514794,-0.07139596717219554]","[1,1,1]","[-0.055841298443595346,0.17786192360778127]","[1,1,1]","[-0.0866693040492537,-0.1641377151699726]","[1,1,1]","[0.02,0.02]",87.5907,0,4,4,203,1,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,87.5919,88.0733,,,88.3028,88.5905,right,0.276,,,,,,,,,0.4,,,,,,88.0734,88.3027,88.5906,"[-0.002349805282269281,-0.13683925643775627]","[-1,-1,-1]","[-0.10837941070484441,0.10180647104909693]","[-1,-1,-1]","[0.15150163790185836,0.027313189530268258]","[-1,-1,-1]","[0.16277215502457187,0.10948786722068499]","[1,1,1]","[0.12651569710406774,0.08045513192636425]","[-1,-1,-1]","[-0.10609173356999106,0.056099014128941596]","[-1,-1,-1]","[0.003980911352785514,-0.08478622884727342]","[-1,-1,-1]","[-0.11282493954140087,0.16122185306358858]","[1,1,1]","[0.11101048470669503,-0.13711101425044336]","[-1,-1,-1]","[-0.11741956489807533,-0.13028526144041533]","[-1,-1,-1]","[-0.05745256376901865,-0.16975238421586974]","[1,1,1]","[-0.1004777469397756,-0.07464781029707152]","[-1,-1,-1]","[-0.16664019412710285,0.10590200597154381]","[-1,-1,-1]","[-0.04892930015160006,0.05819007655119355]","[-1,-1,-1]","[0.014879553221940478,-0.004171474435490684]","[-1,-1,-1]","[-0.1382019637554062,-0.04799836254956207]","[1,1,1]","[-0.03650900392143501,0.12922405856992328]","[1,1,1]","[0.041854589785246366,-0.1101514858568791]","[1,1,1]","[0.1714390011111635,-0.08441634735369204]","[1,1,1]","[0.04790733582287686,-0.0673069141788348]","[1,1,1]","[0.07274159933966208,0.175711297953478]","[1,1,1]","[0.08515901074992016,0.09302615839740468]","[-1,-1,-1]","[0.052753375015036144,0.12173340444066419]","[-1,-1,-1]","[0.018823587965778238,0.1841478560885231]","[-1,-1,-1]","[-0.05033918170956427,-0.024406314481675403]","[-1,-1,-1]","[-0.08943487337784789,0.012751478816276763]","[1,1,1]","[0.09718340895434366,0.03367793026678813]","[-1,-1,-1]","[-0.15551858185304165,-0.10740733396329044]","[-1,-1,-1]","[-0.14270743366745192,0.023077903643244004]","[1,1,1]","[0.011385927100048335,0.12114991393960516]","[1,1,1]","[0.08245963158499184,-0.04655073044523581]","[1,1,1]","[0.11870475741454276,0.1584253504617875]","[-1,-1,-1]","[0.02,0.02]",89.6731,0,5,5,36,1,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,89.6738,90.1588,,,90.4021,90.7606,right,0.3307,,,,,,,,,0.55,,,,,,90.1589,90.4021,90.7607,"[0.058088822149006715,-0.09783400063858644]","[-1,-1,-1]","[0.10332854075511916,-0.12038509720365352]","[1,1,1]","[0.10166203688650804,0.106863645745001]","[1,1,1]","[-0.1432172602828203,0.010484112135042273]","[-1,-1,-1]","[0.11208977285730849,0.15544038812926103]","[1,1,1]","[-0.09687970288390066,-0.1615257414404822]","[1,1,1]","[-0.10370200624499123,0.11329150655867502]","[-1,-1,-1]","[0.12200308528137735,0.03732427244832113]","[1,1,1]","[0.1397471495974476,-0.09670064549907749]","[1,1,1]","[-0.14325588013745252,0.10467562058508253]","[1,1,1]","[-0.09789927291650401,0.021243806861224932]","[1,1,1]","[-0.07960117204420647,-0.017151010689270333]","[-1,-1,-1]","[0.11117745024772024,-0.1600061257423165]","[-1,-1,-1]","[0.038513305466524886,0.025006128445845394]","[-1,-1,-1]","[-0.16253689918443295,-0.11537739098293619]","[1,1,1]","[0.18921228356800446,0.006051353464236419]","[-1,-1,-1]","[-0.06387102527321231,-0.11504659694380265]","[1,1,1]","[-0.017687684847891107,0.14301696923497406]","[-1,-1,-1]","[0.14929584071948895,-0.05159545606697169]","[-1,-1,-1]","[-0.00008012480237395658,-0.18082984817599423]","[1,1,1]","[0.013909159802195986,-0.11138834610197147]","[1,1,1]","[0.028460505696187022,0.1192773166993481]","[-1,-1,-1]","[-0.03224313628270523,0.07400892349012525]","[1,1,1]","[0.0806227141204889,-0.03736827940907705]","[1,1,1]","[0.00008602723379969104,0.049953717782637325]","[-1,-1,-1]","[-0.11528856391374227,-0.08080827773882734]","[1,1,1]","[-0.19438156704578877,0.04222143347046332]","[1,1,1]","[-0.018378407090821773,-0.05260645147126055]","[-1,-1,-1]","[-0.060193385940805484,0.13991656288298499]","[1,1,1]","[-0.1558223346943343,-0.054358288027027316]","[-1,-1,-1]","[0.16410633795850643,0.05189563423042823]","[-1,-1,-1]","[0.0541991645933142,0.07093720721560622]","[1,1,1]","[0.02,0.02]",91.8589,0,6,6,137,1,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,91.8598,92.3537,,,92.5721,92.8683,right,0.2779,,,,,,,,,0.1,,,,,,92.3537,92.5721,92.8685,"[-0.12413167908690231,-0.1224909298795012]","[-1,-1,-1]","[-0.06616766708941332,0.0009226293481926867]","[-1,-1,-1]","[0.06405105878856096,0.13864691464591586]","[-1,-1,-1]","[-0.11749860115565156,0.0638732065735196]","[-1,-1,-1]","[0.012477062581274127,-0.08216696926324453]","[-1,-1,-1]","[0.008974485439236976,0.11069646931183603]","[-1,-1,-1]","[0.13852918679516799,0.0825578267778287]","[-1,-1,-1]","[0.12510510622318993,0.1505194945273974]","[-1,-1,-1]","[0.10521486583986307,0.030823692457676004]","[-1,-1,-1]","[0.06775782781103686,-0.13247901724760663]","[-1,-1,-1]","[-0.06348322254353271,0.17145915757389377]","[-1,-1,-1]","[-0.16645200267520996,-0.09781771100490691]","[-1,-1,-1]","[-0.11971639440762244,0.13362082586377835]","[1,1,1]","[0.13127404683732566,-0.008866732089698801]","[-1,-1,-1]","[-0.1674181190386831,-0.0002688302724820802]","[-1,-1,-1]","[0.02336600130678541,0.16244006020460522]","[-1,-1,-1]","[0.02605974144707026,-0.13880621120237932]","[-1,-1,-1]","[-0.07599447827861759,-0.08680973095472189]","[-1,-1,-1]","[0.17996118821424636,0.008029230179945735]","[-1,-1,-1]","[0.1538129388162101,-0.10332866029785143]","[-1,-1,-1]","[-0.04349072850798425,0.06327858548286515]","[-1,-1,-1]","[0.044524841878856865,0.07965111119582041]","[1,1,1]","[-0.01524013774261371,0.1793016698880763]","[-1,-1,-1]","[-0.07261908568182755,0.10023728220440604]","[-1,-1,-1]","[-0.1533165767630689,0.1088960916545374]","[-1,-1,-1]","[0.08654694889380478,-0.05224217650662365]","[-1,-1,-1]","[-0.03818216751544649,0.14013214739930846]","[-1,-1,-1]","[0.07795131434539387,-0.0032756065510578234]","[-1,-1,-1]","[0.09440909934108087,-0.0918462553709322]","[-1,-1,-1]","[0.09343494574149552,0.07363797964102886]","[-1,-1,-1]","[-0.10082493974838425,0.025716427240054174]","[-1,-1,-1]","[-0.048660928213869734,-0.13655974010330343]","[1,1,1]","[0.02,0.02]",93.9541,0,7,7,15,1,,,,,,,
,,,,,,,678faf96006731477a11673e,682f0fb8c7a887b5c4e2f757,2025-05-22_13h54.51.303,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,93.957,94.4553,,,94.7083,94.9894,left,0.2622,,,,,,,,,0.5,,,,,,94.4554,94.7082,94.9895,"[-0.04153767113634218,-0.14730626438364663]","[-1,-1,-1]","[0.057785196454726816,0.021927485331863433]","[-1,-1,-1]","[0.11263637716107018,-0.12072174500453939]","[-1,-1,-1]","[-0.016994196123458937,0.05463337315648816]","[-1,-1,-1]","[-0.05741698981627859,0.09205288462621049]","[-1,-1,-1]","[-0.020680018370363356,0.1467302808861029]","[-1,-1,-1]","[-0.13052912667151256,-0.06652217023486462]","[1,1,1]","[0.12789017460615837,-0.011308595686543505]","[1,1,1]","[0.13270078501191238,0.09982151982464658]","[1,1,1]","[-0.14610958654582176,0.014559411179336255]","[-1,-1,-1]","[0.03842810663038073,-0.07991659858010769]","[1,1,1]","[-0.10989071557237706,-0.1609840361876855]","[1,1,1]","[0.11720428628370058,-0.05832261831744495]","[-1,-1,-1]","[0.17366954844454782,-0.09691325926747317]","[-1,-1,-1]","[-0.047980690676787584,0.028262153330982073]","[-1,-1,-1]","[-0.09354758496427544,-0.01816681274178644]","[1,1,1]","[0.0014738672811883916,-0.19509689173356132]","[-1,-1,-1]","[-0.06361418279489696,-0.08512756028328328]","[1,1,1]","[0.0009542496166752445,-0.041457070418488715]","[1,1,1]","[0.10128355053920948,0.04236722788663716]","[1,1,1]","[0.031468296085709085,0.18690386390730743]","[1,1,1]","[0.09300145048091724,0.12462570032694828]","[-1,-1,-1]","[-0.16617243176660046,0.09908094176349108]","[-1,-1,-1]","[0.1812283137981155,0.06886251788444259]","[1,1,1]","[0.07070105106667773,0.0855859485665533]","[-1,-1,-1]","[-0.014745266718043767,0.004431012199463839]","[1,1,1]","[-0.05164148196419824,-0.19116840074955102]","[-1,-1,-1]","[0.05084486886594694,-0.01764176483047665]","[1,1,1]","[-0.18926124607425132,-0.041182643321466345]","[1,1,1]","[0.024692757028629657,-0.14166735945621586]","[1,1,1]","[-0.06397110171975798,0.17839242758816085]","[-1,-1,-1]","[-0.1320919409002692,-0.12313797385149865]","[1,1,1]","[0.02,0.02]",96.087,0,8,8,111,1,,,,,,,
