right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,35.5987,space,20.415,0.166,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,35.5991,143.5402,space,77.9299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,143.5406,154.077,space,7.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,154.1981,154.5842,154.5849,154.8428,154.8433,155.583,right,0.6935,,155.5834,156.6868,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,156.6879,157.1845,157.1891,157.4422,157.4423,157.6087,right,0.1507,,157.6088,158.7013,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.703,163.6197,space,1.9018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,163.7136,164.1363,,,164.3849,164.4841,left,0.0842,,,,,,,,,0.9,,,,,,164.1376,164.3848,164.4853,"[-0.1005076644617749,0.0627189385691574]","[1,1,1]","[-0.1410044601691278,-0.08497872857956802]","[1,1,1]","[0.030138156704660576,0.06760759159062071]","[1,1,1]","[-0.13861004051118953,0.006863677609644696]","[1,1,1]","[-0.12515113068418865,0.13752117807042832]","[1,1,1]","[0.015204645588773772,-0.03891686178359286]","[1,1,1]","[0.022124682649099486,0.15860243078425565]","[1,1,1]","[0.1904717277930405,-0.05728682332273777]","[1,1,1]","[-0.18113719870168726,0.07410410856463795]","[1,1,1]","[0.06616649153539853,-0.15500577423328382]","[1,1,1]","[-0.05259249442601175,-0.055154137154315636]","[1,1,1]","[0.015533705781660969,-0.18092307363765026]","[1,1,1]","[-0.09812662221982815,-0.0016433161029020752]","[1,1,1]","[-0.19067863221675752,0.006047053833776623]","[1,1,1]","[0.15398242232683756,-0.11005100472460694]","[1,1,1]","[0.10203950295494785,-0.05268086872236938]","[1,1,1]","[-0.1377812111711768,-0.03778853502887487]","[-1,-1,-1]","[-0.05293751618045794,0.07451997276496768]","[1,1,1]","[0.17778091362637566,0.06559130425422258]","[1,1,1]","[0.019178767757276574,0.01099572196792311]","[1,1,1]","[0.12273173634943407,0.03393114259372736]","[1,1,1]","[-0.08031853177960695,0.10460104649102642]","[1,1,1]","[-0.090979694748411,-0.13535000186131732]","[1,1,1]","[-0.02646831651590645,0.14810123123049201]","[1,1,1]","[-0.1870014987316506,-0.05881508659981196]","[1,1,1]","[0.05259743392575387,-0.09813430836172284]","[1,1,1]","[0.07420843811342062,-0.007834960766275587]","[1,1,1]","[0.1935423952497723,-0.016581595358434332]","[1,1,1]","[0.09881308298522325,0.09731315275699502]","[-1,-1,-1]","[-0.1589567869571366,0.1119933710231071]","[-1,-1,-1]","[-0.012083816885755319,-0.14094053825725714]","[1,1,1]","[0.1391837481111337,0.128452848231449]","[1,1,1]","[0.02,0.02]",165.5733,0,0,0,188,1,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,165.5745,166.0667,,,166.3204,166.4855,left,0.1573,,,,,,,,,0.1,,,,,,166.0668,166.3203,166.4859,"[0.06322664945191186,-0.03488623258096304]","[-1,-1,-1]","[-0.07417642263302768,0.022253755451989526]","[-1,-1,-1]","[-0.135027673965972,-0.10951925101452166]","[-1,-1,-1]","[-0.09412439410493453,0.17429958859379655]","[-1,-1,-1]","[0.004234507168134409,0.12408318059414097]","[-1,-1,-1]","[-0.01678968862487422,-0.09240466087654381]","[-1,-1,-1]","[0.10818753016645162,0.0654450847859343]","[-1,-1,-1]","[0.04155213856685662,-0.14590622840879722]","[-1,-1,-1]","[0.06340446870672034,0.0709161142272323]","[-1,-1,-1]","[-0.031364995763598004,0.09773500976761369]","[-1,-1,-1]","[-0.016387760497802068,-0.1878908290820285]","[-1,-1,-1]","[0.1330045865475329,0.1145533323333663]","[-1,-1,-1]","[-0.12150150004210393,0.0845043734189112]","[-1,-1,-1]","[-0.1805640929353704,-0.007240994143012093]","[-1,-1,-1]","[0.11364421928646054,-0.08013052546527695]","[-1,-1,-1]","[-0.11239344134809832,0.13757843932068842]","[-1,-1,-1]","[-0.19048154201831913,0.0562012415983535]","[1,1,1]","[0.0051832062382327826,-0.02656651324772686]","[-1,-1,-1]","[0.09833065434374977,-0.004634584902501887]","[-1,-1,-1]","[0.11623360243645686,-0.15553228845241704]","[-1,-1,-1]","[-0.04128298611535141,0.04761407533312502]","[-1,-1,-1]","[0.001340927612425466,0.01959882942221721]","[-1,-1,-1]","[-0.03814705655533929,-0.12975957463670815]","[1,1,1]","[0.06428072670785062,-0.08947476983805712]","[-1,-1,-1]","[0.05917564525894951,0.15736686261599586]","[-1,-1,-1]","[-0.17369401480079838,-0.09715235018811152]","[-1,-1,-1]","[0.15341062488556984,-0.014700184813603669]","[-1,-1,-1]","[0.1724267151807628,-0.05406952650753227]","[-1,-1,-1]","[-0.11727548459264804,-0.14556657044884744]","[-1,-1,-1]","[-0.0376687120030142,-0.04815865006514298]","[-1,-1,-1]","[0.17362444851056447,0.023478309234317155]","[1,1,1]","[-0.1415313432900109,0.03585814918312702]","[-1,-1,-1]","[0.02,0.02]",167.5827,0,1,1,13,1,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,167.584,168.0836,,,168.3251,168.3905,right,0.0502,,,,,,,,,0.5,,,,,,168.0837,168.325,168.3906,"[0.1113345066143029,0.12799124922373342]","[1,1,1]","[0.048721060692808085,-0.10083136833788615]","[-1,-1,-1]","[0.09735400949958505,-0.16896846979278768]","[-1,-1,-1]","[-0.12086659930263288,0.14423686006591646]","[-1,-1,-1]","[-0.03768945992120686,-0.003936797121548889]","[-1,-1,-1]","[0.17632189990603475,-0.015475655782336808]","[-1,-1,-1]","[-0.0780847647456351,0.10812940679714352]","[-1,-1,-1]","[-0.10906754080452907,-0.11608467551720043]","[1,1,1]","[-0.11851833820810267,0.053712874737470856]","[1,1,1]","[0.15690662012128914,0.09253910484484851]","[-1,-1,-1]","[0.16115245412327456,-0.08891810863642827]","[1,1,1]","[-0.15689816869660822,-0.031461312077710316]","[1,1,1]","[-0.15094625403426462,0.01874051055721679]","[-1,-1,-1]","[0.01118129442685655,-0.027859091329714796]","[-1,-1,-1]","[-0.06520303071346968,0.03728542263968031]","[1,1,1]","[-0.03127632097888885,-0.05326950142727213]","[1,1,1]","[-0.020632956929629232,0.12479620729297364]","[-1,-1,-1]","[-0.10214678173874024,0.016402083459505473]","[1,1,1]","[-0.05236151887055194,0.16938403767012056]","[-1,-1,-1]","[0.11554358947705685,0.06670285747363255]","[1,1,1]","[0.06823019185240889,0.026137959219102884]","[1,1,1]","[0.07417795821974871,-0.04777744561927765]","[-1,-1,-1]","[0.0276796678328146,0.17858641967964722]","[1,1,1]","[0.15615577417844087,0.03874084141648596]","[-1,-1,-1]","[-0.030339249483527408,-0.11687549957463506]","[-1,-1,-1]","[-0.0019382843098369464,0.0817551934587994]","[1,1,1]","[0.016655389353596655,-0.16396734436890545]","[1,1,1]","[0.058488718594000975,0.09983989377870547]","[1,1,1]","[0.11341283269025526,-0.013778333982301936]","[-1,-1,-1]","[-0.0986695515871368,-0.04985248045923416]","[1,1,1]","[0.02015976370525082,-0.067049392981829]","[1,1,1]","[-0.042086301899477256,-0.1761187665726689]","[-1,-1,-1]","[0.02,0.02]",169.4905,0,2,2,100,1,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,169.4914,169.9898,,,170.2357,170.2688,left,0.017,,,,,,,,,0.1,,,,,,169.9899,170.2357,170.2689,"[-0.03215778166783603,0.03419182382940657]","[-1,-1,-1]","[0.17835353824419986,0.02864011721171774]","[-1,-1,-1]","[-0.09604546595712343,0.08925437479029825]","[-1,-1,-1]","[-0.0009435239483311622,0.00784610774323558]","[-1,-1,-1]","[0.052139742404852696,0.12660891531721877]","[-1,-1,-1]","[0.10451390251107655,0.1520948018936805]","[-1,-1,-1]","[-0.09355129214735074,-0.10469068226680829]","[1,1,1]","[-0.0064294163420046966,-0.06979289798732159]","[-1,-1,-1]","[0.1240895954001571,-0.09892707326732772]","[-1,-1,-1]","[-0.022441001928548577,0.10681667907678832]","[-1,-1,-1]","[-0.11325033239862689,-0.01198584507231465]","[-1,-1,-1]","[0.12177190750819052,-0.04892247847107266]","[-1,-1,-1]","[-0.006001600496089572,0.16926198063841597]","[-1,-1,-1]","[-0.12606966425790364,-0.12990280089992207]","[-1,-1,-1]","[0.010518990268236744,-0.17886779393609284]","[1,1,1]","[-0.05851101444173107,0.07350362026852723]","[-1,-1,-1]","[0.04083772784727472,-0.033241534197031956]","[-1,-1,-1]","[0.11596083088231358,0.036403871686138206]","[-1,-1,-1]","[-0.18010910301329808,-0.0004179698850998836]","[-1,-1,-1]","[0.09955788595834573,0.09999485417847924]","[-1,-1,-1]","[-0.0903044477349985,-0.0512424608658542]","[-1,-1,-1]","[-0.08797145331519483,0.02186191852952763]","[-1,-1,-1]","[-0.17627551524544333,0.06750358835464251]","[-1,-1,-1]","[0.03310108123458946,0.19555294466856946]","[1,1,1]","[0.15373816159565723,-0.02089840472150685]","[-1,-1,-1]","[0.07187035852306659,-0.12867852226359808]","[-1,-1,-1]","[-0.05950714536276423,-0.019615852888218866]","[-1,-1,-1]","[-0.1370554394308675,0.12397710576893232]","[-1,-1,-1]","[0.06147410473290647,0.024228919502447526]","[-1,-1,-1]","[0.08939615980646186,-0.17785959798659165]","[-1,-1,-1]","[0.036540437041071766,-0.10465845655260293]","[-1,-1,-1]","[-0.08511339502584728,0.17847788798942937]","[-1,-1,-1]","[0.02,0.02]",171.3569,0,3,3,10,1,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,171.3578,171.856,,,172.1028,172.2188,left,0.1036,,,,,,,,,0.55,,,,,,171.856,172.1027,172.2189,"[-0.002268983322356658,-0.06933161723955435]","[-1,-1,-1]","[0.1735831189443076,0.09856239464413198]","[1,1,1]","[-0.03429095068621114,-0.0329194414266079]","[1,1,1]","[0.020154178344891253,0.12794553832250746]","[-1,-1,-1]","[-0.1942062002109943,-0.0009035069723168449]","[-1,-1,-1]","[0.10282391681483842,-0.14780485091837842]","[-1,-1,-1]","[-0.08394425451900644,0.020771435102675654]","[-1,-1,-1]","[0.07905274901657969,-0.0401576484826469]","[1,1,1]","[0.11548912293362182,0.0865185619315527]","[-1,-1,-1]","[-0.04595511064691223,0.1275161459531239]","[1,1,1]","[0.12300352435481293,-0.05634226845459412]","[1,1,1]","[-0.1597946217664163,0.0674154307422874]","[1,1,1]","[0.08214879373449185,0.0025932849943435415]","[-1,-1,-1]","[0.07322087063587074,0.0899202567070896]","[-1,-1,-1]","[-0.10281898511986569,-0.07699958405179938]","[1,1,1]","[-0.12349175066588812,0.12149010238138049]","[1,1,1]","[-0.020459868882891783,0.00842781038514073]","[1,1,1]","[0.03145738221164361,-0.19188377498857592]","[1,1,1]","[0.13243124721844515,0.01215530187859364]","[1,1,1]","[-0.063791961438401,0.17802856973196657]","[1,1,1]","[0.16868275527047888,-0.0198265086282878]","[1,1,1]","[-0.10100708391877805,-0.13201820640437628]","[-1,-1,-1]","[-0.03490527214940383,-0.17851411886293592]","[1,1,1]","[-0.16523510545931983,-0.067888618100963]","[-1,-1,-1]","[0.19025603462812535,0.04606209132000047]","[-1,-1,-1]","[0.02745322107211199,-0.12732511112512165]","[-1,-1,-1]","[0.14739658607841988,-0.12230577972713992]","[1,1,1]","[-0.13085998790166944,0.008538008957954793]","[-1,-1,-1]","[0.02668749661609749,0.1740845572278122]","[1,1,1]","[0.13384795110567962,0.14378047536456173]","[-1,-1,-1]","[0.07620498452218137,0.04272385550489794]","[1,1,1]","[-0.08068656142950299,0.07339454307546758]","[1,1,1]","[0.02,0.02]",173.3175,0,4,4,147,1,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,173.3187,173.8187,,,174.077,174.1747,left,0.084,,,,,,,,,0.45,,,,,,173.8187,174.0769,174.1748,"[0.056867362743206494,-0.014567337298213487]","[-1,-1,-1]","[-0.08560784576069916,0.17198575135586733]","[-1,-1,-1]","[-0.08043257322539785,-0.05598962681200371]","[1,1,1]","[0.11935469765757754,0.02507502744899108]","[1,1,1]","[-0.14505641427277682,0.040940340659186544]","[-1,-1,-1]","[-0.04422088302864811,-0.023639038102517516]","[1,1,1]","[-0.13910099786669264,-0.10652628915756944]","[1,1,1]","[-0.028680896833780698,-0.1442646499658488]","[-1,-1,-1]","[0.14440676849281422,-0.12337410661788532]","[1,1,1]","[0.1931755864102181,-0.020851932192073784]","[1,1,1]","[-0.17782087489778267,-0.012043011508093142]","[1,1,1]","[-0.048821648767519994,0.022638877785792922]","[-1,-1,-1]","[-0.10741821663004153,0.1260492378777351]","[-1,-1,-1]","[0.16251685473499927,0.028262546299256876]","[-1,-1,-1]","[-0.002919438439523345,0.13895669355860746]","[-1,-1,-1]","[0.02178685523688431,-0.16603384312084515]","[1,1,1]","[0.09734904703409476,0.10471503504802704]","[-1,-1,-1]","[0.15284954710781382,0.07115804976846965]","[-1,-1,-1]","[-0.052787932899280084,-0.08496318771646827]","[1,1,1]","[-0.12406554954589087,0.00044505613511528673]","[1,1,1]","[0.03946302345133853,0.08740602784566857]","[-1,-1,-1]","[0.08419133463433306,-0.14962442425872827]","[-1,-1,-1]","[-0.11531992604554106,-0.14089105283775225]","[-1,-1,-1]","[-0.032046679643050836,0.1885250207997702]","[1,1,1]","[0.08611844975435738,-0.09528194077046657]","[1,1,1]","[0.06480353249270304,0.13729028315816708]","[1,1,1]","[-0.16658979404501467,0.09641082927282547]","[-1,-1,-1]","[-0.05691830041131246,0.06780055933912435]","[-1,-1,-1]","[0.003870510664552489,-0.06577427160345266]","[-1,-1,-1]","[-0.020196763613727384,0.09582755012766256]","[1,1,1]","[0.03940576860911287,0.18869819113221967]","[-1,-1,-1]","[-0.00032664896533891966,-0.10723123239040477]","[-1,-1,-1]","[0.02,0.02]",175.2732,0,5,5,69,1,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,175.274,175.7726,,,176.0165,176.0662,right,0.0394,,,,,,,,,0.4,,,,,,175.7726,176.0164,176.0663,"[0.1081534255610078,-0.14287097548352884]","[1,1,1]","[-0.16406949113735825,-0.06128241850217328]","[-1,-1,-1]","[0.0605664762925536,0.11298351821313243]","[-1,-1,-1]","[-0.09952832955577243,-0.0921629236504509]","[1,1,1]","[-0.06461102092036489,0.011805145142605894]","[-1,-1,-1]","[0.10751558351602072,-0.02464134544650018]","[-1,-1,-1]","[-0.04418755982856718,-0.19151624221233987]","[-1,-1,-1]","[-0.02933083371986757,-0.027985780805916682]","[1,1,1]","[-0.1916496790397723,-0.030900302685105286]","[1,1,1]","[0.17513198467838992,-0.09534014609552267]","[-1,-1,-1]","[0.04714422723150715,-0.11299846983907565]","[1,1,1]","[0.019180377613668004,0.07924242260011809]","[-1,-1,-1]","[-0.0009923864875885484,-0.057753698197113235]","[-1,-1,-1]","[-0.025892770303982782,0.17066566621402848]","[1,1,1]","[-0.18511306941289354,0.043156392046486955]","[1,1,1]","[0.15486669152842428,0.044609017951471756]","[-1,-1,-1]","[0.031246546812702735,-0.173591760637507]","[-1,-1,-1]","[-0.028400109977597152,0.07039206994364777]","[1,1,1]","[0.10851484521812002,0.1468177908787621]","[-1,-1,-1]","[-0.03822512305530531,0.12841646594771133]","[-1,-1,-1]","[0.09125923649212854,0.03527180789371552]","[1,1,1]","[-0.00040148714040984224,-0.10764992013712184]","[-1,-1,-1]","[-0.12298467531262075,-0.015374627517165809]","[1,1,1]","[0.07571504344010808,0.1699957140723681]","[-1,-1,-1]","[0.012251730392615217,0.03980343929533744]","[1,1,1]","[0.037759909959575295,-0.0011138621632990954]","[1,1,1]","[-0.10768331660645969,0.15454004621381248]","[-1,-1,-1]","[-0.05950391998483659,-0.1318387399803045]","[1,1,1]","[-0.122845639903082,-0.14876141899369788]","[-1,-1,-1]","[-0.09307977291474764,0.09502664278626921]","[-1,-1,-1]","[0.017242054631889363,0.150757404190855]","[-1,-1,-1]","[-0.13536823966901892,0.04080652936085046]","[-1,-1,-1]","[0.02,0.02]",177.1566,0,6,6,51,1,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,177.1578,177.6501,,,177.9018,178.0194,right,0.1086,,,,,,,,,0.6,,,,,,177.6502,177.9017,178.0195,"[0.07919899990100246,0.15186340410509885]","[-1,-1,-1]","[-0.09097166246809862,0.16067452518925784]","[-1,-1,-1]","[-0.031868512894854546,0.16824169615940096]","[1,1,1]","[-0.06667326000184777,0.07748809040087963]","[1,1,1]","[-0.012515278394901673,-0.1524094669985217]","[1,1,1]","[-0.04154809893050727,-0.1847798971697304]","[1,1,1]","[0.16500809658658264,0.11181583076276232]","[1,1,1]","[-0.16634852296579664,0.036911529442174476]","[-1,-1,-1]","[0.08620921166121125,-0.14685919154585797]","[-1,-1,-1]","[0.1692649946622937,-0.0942543765457582]","[1,1,1]","[0.026065636929251547,0.004193514023055879]","[-1,-1,-1]","[0.18147252170635492,0.06941408982092918]","[1,1,1]","[-0.1233477053145327,0.05066683422867369]","[1,1,1]","[-0.12554780642592978,-0.08133555380310825]","[1,1,1]","[-0.0784813545482706,-0.1243920603028682]","[-1,-1,-1]","[-0.023166907942625815,0.06996747212249749]","[-1,-1,-1]","[-0.09751651330501865,-0.01615092865610485]","[-1,-1,-1]","[0.1321217067133355,-0.14981204429972186]","[1,1,1]","[-0.042679935186184195,-0.05700612487496784]","[1,1,1]","[0.11944016774872232,-0.07395540295330025]","[-1,-1,-1]","[0.1902390984590578,0.00026244617651403055]","[1,1,1]","[0.10529237820034343,-0.03434297446029224]","[-1,-1,-1]","[-0.19403541410122477,-0.02019452723664682]","[-1,-1,-1]","[-0.049380972909402944,-0.00885952798414688]","[1,1,1]","[0.09929510330538797,0.04387849063762608]","[1,1,1]","[0.043094054654974095,0.18061320132593742]","[1,1,1]","[0.025770310373698955,-0.10542784246753566]","[-1,-1,-1]","[-0.15079698119419505,-0.11650622871765506]","[1,1,1]","[0.1354302500448506,0.012176638930742709]","[1,1,1]","[0.0322718858714936,-0.18331921507183851]","[1,1,1]","[-0.16815132472281918,-0.06364498159936587]","[-1,-1,-1]","[-0.1403290048397107,0.10894122607947643]","[1,1,1]","[0.02,0.02]",179.117,0,7,7,178,1,,,,,,,
,,,,,,,67ab650c320eccf6141d4010,682f101bf0e4b38dc4acff71,2025-05-22_13h41.08.651,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,179.1187,179.6163,,,179.8684,180.0199,right,0.1191,,,,,,,,,0.4,,,,,,179.6165,179.8684,180.02,"[-0.03746360483087493,0.08027705386636785]","[1,1,1]","[0.1801891756514883,-0.06837295091052846]","[1,1,1]","[-0.1418111358321995,-0.010846973583281001]","[-1,-1,-1]","[0.05817982193231155,-0.07959681066895406]","[-1,-1,-1]","[0.06148050525060203,0.024856484903020663]","[1,1,1]","[-0.13316159732552593,-0.09641286752480291]","[-1,-1,-1]","[0.01931908114338242,-0.0473171889510532]","[-1,-1,-1]","[-0.07141290672970953,0.13316494688611594]","[-1,-1,-1]","[-0.17816488891898855,0.07858709557625998]","[1,1,1]","[-0.07778766769710012,-0.08651979003310586]","[-1,-1,-1]","[0.03421879938485043,-0.12057004899951589]","[-1,-1,-1]","[-0.11137472562807807,-0.040857448703915666]","[-1,-1,-1]","[-0.00438253257230902,-0.18687655919886428]","[-1,-1,-1]","[0.021693814719556597,0.06187728603917173]","[1,1,1]","[-0.015253993778867124,0.1202352577934789]","[1,1,1]","[-0.047220254191742736,0.01774970258064343]","[-1,-1,-1]","[0.16981433011706876,0.050877219157318895]","[-1,-1,-1]","[0.05684131420349713,0.149304816728817]","[-1,-1,-1]","[-0.032241308774455864,-0.09492153473022187]","[1,1,1]","[0.16299478040027857,0.007743048198329778]","[1,1,1]","[-0.06823791342843227,-0.180366278600999]","[-1,-1,-1]","[-0.056824626261316166,-0.13816356823488965]","[-1,-1,-1]","[0.12336344640784222,0.032308592804382356]","[-1,-1,-1]","[0.1208015931528767,0.14875916652862467]","[1,1,1]","[0.08854186412318225,-0.10796110923533085]","[1,1,1]","[-0.016826265899872312,0.17441005789260264]","[-1,-1,-1]","[0.12620741444784292,-0.0583874118308243]","[-1,-1,-1]","[-0.1133886243950039,0.16041050486958253]","[1,1,1]","[-0.18310146794274657,-0.04159606344690511]","[1,1,1]","[0.07231208309954482,-0.16886783485455117]","[-1,-1,-1]","[0.16394852053879283,0.11049532645091827]","[-1,-1,-1]","[0.02932507604471984,-0.16074700496063826]","[1,1,1]","[0.02,0.02]",181.1184,0,8,8,32,1,,,,,,,
