right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0005,68.0755,space,52.9917,0.0011,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,68.0758,101.1417,space,2.9525,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,101.1418,110.8745,space,6.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,110.9021,111.3423,111.3426,111.4982,111.4984,112.454,left,0.7933,0.0002,112.4543,113.4849,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,113.4857,113.926,113.926,114.078,114.078,115.014,right,0.7855,0.0002,115.0141,116.065,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0653,120.0296,space,0.9123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,120.0441,120.4891,,,120.6378,121.7445,left,0.9622,,,,,,,,,0.4,,,,,,120.4894,120.6378,121.7448,"[0.07614091609193603,-0.1145958064715438]","[-1,-1,-1]","[0.05535693751457572,-0.05146893269886005]","[1,1,1]","[0.12463998977828794,0.05184826889841416]","[1,1,1]","[-0.0480516530406823,-0.07447785921895957]","[-1,-1,-1]","[0.03680312714163171,0.14913337337695384]","[-1,-1,-1]","[-0.14673617228820401,0.02658461277827132]","[-1,-1,-1]","[-0.08107998112171176,-0.022158913518190517]","[1,1,1]","[-0.06482696787066541,0.14838642302332047]","[-1,-1,-1]","[0.10965780686402885,-0.00677713742348186]","[1,1,1]","[0.026213322118219334,-0.009893298963703986]","[1,1,1]","[0.020436832993470204,0.03518067800762136]","[-1,-1,-1]","[0.08608810490660497,0.10290927968217525]","[1,1,1]","[0.15409293429954807,-0.06556214668241556]","[-1,-1,-1]","[-0.1733544412779814,-0.06613120282682924]","[-1,-1,-1]","[0.1848476805394352,-0.02514132923386335]","[1,1,1]","[-0.0024943513576031165,0.12053706372240444]","[-1,-1,-1]","[0.09200864022584053,-0.16209453901137372]","[-1,-1,-1]","[0.044359813732420525,-0.19263769457772406]","[1,1,1]","[-0.03908334630819715,0.030270661946010257]","[-1,-1,-1]","[0.13815134842741011,0.09561785046926295]","[1,1,1]","[-0.002889603812624869,-0.17390637429264474]","[-1,-1,-1]","[-0.043187886219976816,-0.14764225778231052]","[-1,-1,-1]","[-0.12986287478936337,-0.11218728327604532]","[1,1,1]","[-0.03500917734785905,0.07591133832248256]","[-1,-1,-1]","[0.012113148764408811,-0.1230911109884274]","[-1,-1,-1]","[-0.13410904988251765,0.12154739362056433]","[1,1,1]","[0.10833745577658452,-0.06120358499954953]","[1,1,1]","[0.06552200537681346,0.05242915986119479]","[-1,-1,-1]","[-0.03819176689392308,0.18208440780288157]","[-1,-1,-1]","[0.1296445615312361,-0.12595096034512981]","[-1,-1,-1]","[-0.1435158442149494,0.07849325257335706]","[1,1,1]","[-0.1343967571751604,-0.04050024154898896]","[-1,-1,-1]","[0.02,0.02]",122.776,0,0,0,37,1,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,122.7765,123.2261,,,123.3716,124.4445,left,0.9343,,,,,,,,,0.4,,,,,,123.2261,123.3715,124.4446,"[0.005970126636951549,-0.18315749725082298]","[1,1,1]","[0.08348603066848159,0.06406111232184768]","[1,1,1]","[0.029933548769804873,0.09471135740686892]","[-1,-1,-1]","[0.06099374184305108,-0.0291683311979574]","[1,1,1]","[-0.009119178602582443,0.08344568194839393]","[-1,-1,-1]","[-0.06482109036504188,-0.1001148130689373]","[-1,-1,-1]","[-0.118296004906211,0.13513055130315513]","[-1,-1,-1]","[-0.020661112715200103,-0.018414747424299414]","[-1,-1,-1]","[-0.1290054448637893,0.06495435947981443]","[1,1,1]","[0.11016674320204672,0.15078628539799]","[-1,-1,-1]","[-0.04398356350530223,0.14869208784100138]","[-1,-1,-1]","[-0.12187921140050996,-0.03341174281033104]","[1,1,1]","[-0.07627991756262462,-0.14699440805299954]","[-1,-1,-1]","[0.09959705662951925,-0.0870178026503809]","[-1,-1,-1]","[-0.031860026478716906,0.04971508028610011]","[1,1,1]","[0.1396259272825223,-0.0555294511921825]","[-1,-1,-1]","[-0.15098476543282394,-0.07924584743333765]","[-1,-1,-1]","[0.0253114976456029,0.14746609348238884]","[-1,-1,-1]","[0.1513012547446848,-0.010142901191083041]","[1,1,1]","[-0.11987782745904105,-0.14121834671820233]","[1,1,1]","[-0.08035987776582305,0.16952445729959795]","[1,1,1]","[-0.1914477475084483,0.00018519843255125593]","[-1,-1,-1]","[-0.08578356102821325,0.06222495484904384]","[1,1,1]","[0.006018349904485138,-0.13570256323141994]","[1,1,1]","[0.18088487325307773,0.08416382269657871]","[-1,-1,-1]","[0.0464907577095112,-0.09411482591197899]","[1,1,1]","[0.09159943727442267,-0.13008611363319209]","[-1,-1,-1]","[0.15914517297525074,-0.11631275843108364]","[-1,-1,-1]","[-0.07243872829644589,-0.04496041016596524]","[-1,-1,-1]","[0.17807700513370311,0.03517727399243851]","[1,1,1]","[0.12277396417700437,0.09096633518949387]","[-1,-1,-1]","[-0.15000942160924588,0.0011905510779251771]","[-1,-1,-1]","[0.02,0.02]",125.4594,0,1,1,52,1,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,125.4598,125.9234,,,126.0932,126.8761,right,0.6512,,,,,,,,,0.9,,,,,,125.9234,126.0932,126.8762,"[-0.08629422997814835,0.1300561611169095]","[-1,-1,-1]","[-0.030573901071279257,-0.08378675470196274]","[1,1,1]","[-0.13307551504133563,0.10019274923201037]","[1,1,1]","[-0.010084561117548184,-0.025415132539429217]","[1,1,1]","[0.01681766082321395,-0.06040558696385235]","[1,1,1]","[0.18562350464269115,0.043249447748770174]","[1,1,1]","[0.1375517604922656,-0.14177939432119216]","[1,1,1]","[-0.13025398021906065,-0.14981802549134068]","[1,1,1]","[0.014206260121271857,-0.12012453528025617]","[1,1,1]","[-0.12054661487037716,-0.039299359912496244]","[1,1,1]","[0.09130009353490988,-0.14235127646898163]","[1,1,1]","[-0.16724824381867956,-0.016287726344326663]","[1,1,1]","[0.16548627498095644,-0.06934707456539861]","[1,1,1]","[0.1263832825376239,0.13348453537285554]","[1,1,1]","[0.05811367695282284,0.10109447032557643]","[1,1,1]","[0.10401715123780757,-0.09618563636296866]","[1,1,1]","[-0.10081262527628593,-0.08747437281069634]","[1,1,1]","[-0.02369839940334541,0.06794691899200528]","[1,1,1]","[-0.03691509739916908,-0.17413558809186533]","[1,1,1]","[-0.052567319278569405,0.1719392754482074]","[1,1,1]","[0.05121136678876469,0.1861643647127462]","[1,1,1]","[-0.06614734571849179,-0.06469142455059144]","[1,1,1]","[-0.17948262448872668,0.08195007209133551]","[-1,-1,-1]","[-0.13881545821161975,0.017210834784869993]","[1,1,1]","[-0.08016969862280761,0.07220203891984837]","[1,1,1]","[0.17211459990756564,-0.0017004643111597987]","[1,1,1]","[0.127318499046152,0.04914083257286935]","[1,1,1]","[0.01773873996431224,0.11474156791416597]","[1,1,1]","[-0.04466185689583603,0.02566322673050739]","[1,1,1]","[0.005043505890353769,0.17202640578501688]","[1,1,1]","[-0.06538763221522177,-0.014782803577248815]","[-1,-1,-1]","[0.1327932912228372,-0.017051704708149446]","[1,1,1]","[0.02,0.02]",127.8993,0,2,2,189,1,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,127.8998,128.3437,,,128.5057,129.5835,right,0.9335,,,,,,,,,0.5,,,,,,128.3437,128.5057,129.5836,"[-0.13953285618456673,0.07507074703305977]","[-1,-1,-1]","[0.052596641675088644,-0.04786523145699832]","[-1,-1,-1]","[-0.19782032677598013,0.017931178053374682]","[-1,-1,-1]","[0.11061114069298518,-0.09139042530430354]","[1,1,1]","[0.10646789760188483,-0.007160843475758783]","[-1,-1,-1]","[0.09336027457924888,-0.15761741685344144]","[1,1,1]","[-0.009275030977333709,0.030684894480336348]","[1,1,1]","[-0.09018198380698264,0.12628633467052297]","[1,1,1]","[-0.1631199000165686,-0.09745224675871975]","[1,1,1]","[0.024610855232854976,0.1682009391185229]","[1,1,1]","[0.1267925415415379,0.05656730654958597]","[-1,-1,-1]","[0.18480580347463546,0.0725226230623521]","[-1,-1,-1]","[0.0677657054236808,-0.09460870841168578]","[1,1,1]","[0.04175277903251926,-0.1879422759656241]","[1,1,1]","[0.14121161261158707,0.10251599250782219]","[-1,-1,-1]","[-0.10366734588077761,0.05121776470467823]","[1,1,1]","[0.0506145127457462,0.08189219152019103]","[-1,-1,-1]","[0.15196347628839457,-0.08777881748110593]","[1,1,1]","[0.04306532416999607,0.011747337412620545]","[-1,-1,-1]","[-0.01431243576572387,0.1513592535756679]","[1,1,1]","[-0.05087418209255951,0.05021866426114309]","[-1,-1,-1]","[-0.06883521415755983,-0.050097064437904314]","[1,1,1]","[-0.03066907599702521,-0.10300303951653972]","[-1,-1,-1]","[-0.04833658587750707,-0.18437322216427976]","[1,1,1]","[0.1376346068793473,-0.03664206916602283]","[-1,-1,-1]","[0.004539256535090315,0.0732986886428297]","[1,1,1]","[-0.10532115733198281,-0.14785573277924383]","[-1,-1,-1]","[0.10740755677486966,0.1555089101699144]","[-1,-1,-1]","[0.1650903208671337,0.004729739638859285]","[1,1,1]","[-0.01550812980801963,-0.011102088791392848]","[-1,-1,-1]","[-0.07125032982147206,0.01536251203592079]","[-1,-1,-1]","[-0.0033698484347882782,-0.1909191543954739]","[1,1,1]","[0.02,0.02]",130.6556,0,3,3,114,1,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,130.6559,131.116,,,131.2666,132.3426,right,0.9289,,,,,,,,,0.6,,,,,,131.1161,131.2666,132.3428,"[0.08242795482397898,-0.17571105035641726]","[1,1,1]","[0.041678988648153004,-0.12423185917106477]","[1,1,1]","[0.15789564724786104,-0.04926092283714954]","[1,1,1]","[-0.01859095437598535,-0.05820713004782481]","[-1,-1,-1]","[0.10607903131266769,-0.11477638859207649]","[1,1,1]","[0.10373322701800088,0.11202938726998132]","[1,1,1]","[-0.193486238251983,0.006112794042176551]","[1,1,1]","[-0.0417976886052418,0.15011336137101294]","[-1,-1,-1]","[0.1096184857051999,0.042942595928214956]","[1,1,1]","[-0.04710898528515809,-0.1666685084103347]","[-1,-1,-1]","[-0.16312587358626696,0.07012899466273642]","[-1,-1,-1]","[-0.14705487565169761,-0.05490478572913042]","[1,1,1]","[-0.0027011247595408903,-0.11650268195907648]","[-1,-1,-1]","[0.16897456923992765,0.10058062277545207]","[1,1,1]","[-0.007558208051002065,0.02953556729603171]","[-1,-1,-1]","[-0.13009558750918804,0.0158035587372299]","[-1,-1,-1]","[-0.09936418737064573,0.0561087653359012]","[-1,-1,-1]","[0.03717544444644866,0.16978174082627134]","[1,1,1]","[-0.01484132991018741,0.07453468582436236]","[-1,-1,-1]","[0.004226532091605081,-0.19420434221952318]","[1,1,1]","[-0.07346436739219078,-0.07359435960550109]","[1,1,1]","[0.08595998818469197,-0.056671259048099935]","[1,1,1]","[-0.1266943993065898,0.08863475680673838]","[1,1,1]","[0.004451131919689228,0.13406367185094334]","[1,1,1]","[-0.12372434623182949,-0.15114147191702168]","[1,1,1]","[-0.11140845301740679,-0.030878449698892]","[-1,-1,-1]","[-0.00042505014347622103,0.19390568178899956]","[-1,-1,-1]","[0.03656631224862408,0.019979820825334657]","[1,1,1]","[-0.07307510857045557,0.09760193217117422]","[-1,-1,-1]","[-0.03871989774824123,-0.019217404980039994]","[-1,-1,-1]","[0.10265307012164697,-0.018965814575769444]","[1,1,1]","[0.15759995197602789,0.03123395401326146]","[1,1,1]","[0.02,0.02]",133.4094,0,4,4,153,1,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,133.4097,133.8662,,,134.0246,135.1796,right,1.0102,0.0002,,,,,,,,0.45,,,,,,133.8662,134.0245,135.1796,"[-0.027152187623606668,-0.15437382275699318]","[1,1,1]","[-0.13675748945686766,-0.05453814772298171]","[1,1,1]","[-0.10394106356508995,0.0527113504645061]","[1,1,1]","[0.03235083530651826,-0.16658883263274096]","[1,1,1]","[-0.0477803260459652,0.09841562371281193]","[-1,-1,-1]","[0.17277095481629942,-0.04042900565087028]","[1,1,1]","[0.10892975737804168,-0.019706424431743887]","[1,1,1]","[-0.017172498776478872,0.14473093581405]","[1,1,1]","[-0.09164144189344366,0.09469726495281837]","[-1,-1,-1]","[-0.005195372269111545,-0.0684601366315658]","[-1,-1,-1]","[-0.1251179941890722,-0.0161730792693169]","[-1,-1,-1]","[-0.05396369340005703,-0.04667216485899922]","[1,1,1]","[0.1308252417581014,-0.08683569184029069]","[1,1,1]","[0.10179385803242863,-0.15749201003710683]","[-1,-1,-1]","[-0.18342095075657766,0.04988841173958078]","[-1,-1,-1]","[0.09402776089049467,0.09660147457483674]","[1,1,1]","[0.09339112642552476,0.1464217649236106]","[-1,-1,-1]","[-0.027115285532867437,0.018254562934426937]","[1,1,1]","[-0.06576159701009109,-0.09425402756023074]","[1,1,1]","[0.13221503173465524,-0.13125168471786225]","[-1,-1,-1]","[0.048579603099249205,0.11652336874529125]","[-1,-1,-1]","[0.03505563653245689,-0.016402239063792273]","[-1,-1,-1]","[0.024600135866082853,0.16405984824420858]","[-1,-1,-1]","[-0.10236214952081225,-0.12208846803072573]","[-1,-1,-1]","[0.12864092149064987,0.06971963254575966]","[-1,-1,-1]","[0.15874476334020501,0.11304790584344807]","[-1,-1,-1]","[0.061486224410704046,0.1873629517785956]","[-1,-1,-1]","[0.06683728809666462,-0.0752363952517922]","[1,1,1]","[-0.008943764972294835,0.06582165714869027]","[-1,-1,-1]","[0.16723857123345376,0.013383732316780535]","[-1,-1,-1]","[0.028822986048655904,0.0274050711801476]","[-1,-1,-1]","[-0.0663167498738206,0.1806513927548765]","[1,1,1]","[0.02,0.02]",136.2556,0,5,5,85,1,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,136.2559,136.697,,,136.8496,137.9577,right,0.9693,,,,,,,,,0.6,,,,,,136.6971,136.8496,137.9577,"[0.07726543465275218,-0.14221284884130211]","[1,1,1]","[0.02571608164358382,0.18426683110380856]","[1,1,1]","[-0.07171741026677564,-0.06738339391922502]","[-1,-1,-1]","[-0.1711482566809742,0.06676096985592542]","[1,1,1]","[0.1519899833747091,-0.04044247141423985]","[1,1,1]","[-0.02620295121347609,-0.13718339289918374]","[-1,-1,-1]","[-0.06667933375737395,-0.15969631782207025]","[1,1,1]","[0.018153870542497605,0.04254539664992664]","[-1,-1,-1]","[-0.018100267307868075,0.08931490989341904]","[-1,-1,-1]","[-0.1239697821855888,0.10221163187548817]","[-1,-1,-1]","[-0.16777525387134426,-0.07044943349756179]","[-1,-1,-1]","[-0.1204945364940018,0.04160414911841901]","[1,1,1]","[0.12660618321356276,-0.10181994051238757]","[-1,-1,-1]","[0.10383338265200186,-0.019422850360826936]","[1,1,1]","[-0.06401161717536108,0.06985559798634125]","[1,1,1]","[-0.0017319847880042547,-0.10491826636715262]","[1,1,1]","[0.048946642880906104,-0.07235028551112409]","[-1,-1,-1]","[-0.01117999650487255,-0.02102889985680945]","[-1,-1,-1]","[-0.154432228220548,-0.03142741766994995]","[1,1,1]","[-0.11334117716213764,0.16343983246862914]","[1,1,1]","[0.07592479959014518,0.057717460861601795]","[1,1,1]","[0.16676578439572487,-0.10350453608881535]","[1,1,1]","[0.030547210618652416,-0.1775191322185644]","[-1,-1,-1]","[-0.07891323334963292,0.11499147473068352]","[-1,-1,-1]","[-0.12324115661321958,-0.061907544945208455]","[1,1,1]","[-0.022868738761813848,0.028851221145448126]","[-1,-1,-1]","[0.08409049255380606,0.16265375382485456]","[1,1,1]","[0.12644849915345668,0.13394617751256313]","[1,1,1]","[0.1699153402516456,0.05699267972533567]","[1,1,1]","[-0.00369498209525164,-0.1991813677358385]","[1,1,1]","[0.04886828342385725,0.11982420717363541]","[1,1,1]","[-0.05361016278563168,-0.0072425373171379915]","[-1,-1,-1]","[0.02,0.02]",139.0194,0,6,6,158,1,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,139.0198,139.4872,,,139.6319,140.7665,left,0.9898,,,,,,,,,0.5,,,,,,139.4872,139.6319,140.7666,"[-0.08715578003639529,0.0433314452176186]","[1,1,1]","[-0.11700076337083318,-0.1156471881264759]","[1,1,1]","[-0.1222903708268185,-0.04618000981440725]","[1,1,1]","[0.009185428279381305,-0.1670076753154391]","[1,1,1]","[-0.13307450158906658,0.09768492061930482]","[-1,-1,-1]","[0.07699245574541128,-0.16199302183938388]","[1,1,1]","[0.11816831240200604,0.0005812135723993078]","[1,1,1]","[0.15438791460287332,-0.07970820334248724]","[-1,-1,-1]","[-0.03632353213982162,0.058197233362385074]","[-1,-1,-1]","[-0.07565725050525919,-0.15891583668120388]","[1,1,1]","[-0.18046280657650335,-0.0513957965941744]","[-1,-1,-1]","[0.018923563009133924,0.1812398246282088]","[-1,-1,-1]","[-0.017253255598704265,0.09996350924013697]","[1,1,1]","[0.05969451766951808,0.07031591167746026]","[1,1,1]","[-0.08196971447538419,-0.061176311964669994]","[-1,-1,-1]","[0.13333278273806662,0.10900040844917223]","[-1,-1,-1]","[0.15816822103092495,0.004521193195025737]","[-1,-1,-1]","[0.01104830254502861,0.017389822463220374]","[-1,-1,-1]","[-0.12728494625010425,0.007653207122196458]","[-1,-1,-1]","[0.13575485443146662,0.03945349863366068]","[-1,-1,-1]","[-0.026139767975564117,-0.07470923658041222]","[1,1,1]","[-0.16268341569167272,0.0621256914310797]","[-1,-1,-1]","[-0.07247048758335226,-0.108749013406133]","[-1,-1,-1]","[-0.04374972655939264,0.1759550461259219]","[1,1,1]","[0.15625146402059364,-0.12365074232592688]","[1,1,1]","[0.08710351289873186,0.03034152094461673]","[-1,-1,-1]","[0.10342846075905472,-0.11242040355728244]","[1,1,1]","[-0.07659051659879554,0.11062511087882462]","[1,1,1]","[0.06645653064315114,-0.03512773259773271]","[-1,-1,-1]","[0.05652927874237764,-0.1088276823752782]","[1,1,1]","[0.11911677937625406,-0.05106592392059368]","[-1,-1,-1]","[0.1064736252388108,0.1569016350897291]","[1,1,1]","[0.02,0.02]",141.8143,0,7,7,92,1,,,,,,,
,,,,,,,5f0a7dec44c42c19a6c9f6d9,68317a73fb675d778214e76b,2025-05-24_03h11.29.617,cuing_paradigm_dot,2024.1.5,Win32,8.576329331,682d573fa47f1360d1451895,,,,,,,,,,,141.8147,142.2587,,,142.5642,143.5017,right,0.7892,,,,,,,,,0.6,,,,,,142.2587,142.5642,143.5018,"[-0.050330159782112596,0.03768565560120696]","[-1,-1,-1]","[0.06596753039759574,0.09265163121796817]","[1,1,1]","[-0.06271214398223984,-0.051277561765423155]","[-1,-1,-1]","[0.08698946298167501,-0.00037593290680590374]","[1,1,1]","[-0.024719922000925317,-0.18647578639505166]","[1,1,1]","[0.10458341955889469,-0.03869590549814078]","[-1,-1,-1]","[-0.026875201844229705,0.10719406292581757]","[1,1,1]","[-0.17560758527737538,0.023536313876629453]","[1,1,1]","[0.14065964322719426,0.13512267052216895]","[-1,-1,-1]","[0.025458103093263313,-0.010406708294651276]","[1,1,1]","[-0.09360090062042323,0.12333316675753382]","[-1,-1,-1]","[0.12475036401470431,-0.1460393178757699]","[-1,-1,-1]","[0.018363788516489742,0.1926593783144369]","[1,1,1]","[-0.0576636306755192,0.16258203361644705]","[-1,-1,-1]","[0.07759521718905946,0.1356545403726454]","[-1,-1,-1]","[0.005151890605962109,0.05258994840739318]","[-1,-1,-1]","[0.04763381212278866,-0.16798822026878524]","[-1,-1,-1]","[0.008150993165466561,-0.09873977497763858]","[-1,-1,-1]","[-0.1320372011870761,-0.10111435191696272]","[1,1,1]","[-0.1458249075606341,-0.008288043204133675]","[-1,-1,-1]","[-0.020471808185312093,-0.023282617475980462]","[-1,-1,-1]","[-0.08173855734509271,-0.09294230151956545]","[1,1,1]","[0.05978525505002664,-0.06532903107550475]","[1,1,1]","[0.16232622402531993,-0.020584060184782683]","[1,1,1]","[-0.04331788768929605,-0.12335950826201025]","[1,1,1]","[0.03073425812427112,0.13911767107886752]","[1,1,1]","[-0.12820522026842765,0.0694902006955518]","[1,1,1]","[-0.10656957811779838,-0.02223655147960691]","[1,1,1]","[0.06356896585584214,-0.12618768100894232]","[1,1,1]","[0.053581878176378835,0.05433743528939981]","[1,1,1]","[-0.07774332325055468,0.06860305789839403]","[1,1,1]","[-0.07035475449834454,-0.18002163549677766]","[1,1,1]","[0.02,0.02]",144.5533,0,8,8,172,1,,,,,,,
