right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0002,58.4793,space,43.46,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,58.4794,101.1953,space,12.6914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,101.1955,107.2285,space,3.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,107.2529,107.7442,107.7444,107.987,107.9873,108.5114,left,0.5027,,108.5116,109.6118,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,109.6126,110.1112,110.1114,110.3621,110.3621,111.1614,right,0.7689,,111.1615,112.2608,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2614,115.8957,space,0.6065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,115.9177,116.411,,,116.6616,117.2448,right,0.5589,,,,,,,,,0.5,,,,,,116.412,116.6615,117.2456,"[0.008310490613142298,0.19340131357947524]","[-1,-1,-1]","[0.11696697998851582,-0.13660461761195652]","[1,1,1]","[0.15124589297604799,0.07151782945774818]","[-1,-1,-1]","[-0.0907016212659717,0.019483206554275143]","[1,1,1]","[-0.014169159677501026,0.057065596894008606]","[1,1,1]","[0.02557042436630417,-0.16556665151676267]","[1,1,1]","[-0.03380525112733584,0.17000553890358244]","[1,1,1]","[0.055988319259460406,-0.048736295827216516]","[1,1,1]","[0.1735678993090412,0.025860525531867795]","[-1,-1,-1]","[0.00854933282929234,0.022434537766569774]","[1,1,1]","[-0.11955537003551431,-0.015441435001096054]","[-1,-1,-1]","[-0.09114898477720533,0.14785466361101038]","[-1,-1,-1]","[0.1579008399016804,-0.07480205993238882]","[-1,-1,-1]","[0.014893672640933544,0.1064648773502138]","[1,1,1]","[0.030423567951980694,0.06539505454523252]","[1,1,1]","[-0.009862697168532986,-0.035977445678375686]","[-1,-1,-1]","[0.11187153874637622,0.0020198820863927968]","[-1,-1,-1]","[-0.10970896302838892,-0.13371811531162106]","[1,1,1]","[-0.0692290073375576,0.05457208589238409]","[-1,-1,-1]","[-0.13212023827872152,0.10128841670869734]","[-1,-1,-1]","[-0.03577773766797347,-0.10696006511745738]","[1,1,1]","[0.08076742056808242,-0.17411797748832664]","[1,1,1]","[0.014610542267806363,-0.08822406993527496]","[1,1,1]","[0.09726673138794013,0.05836299137621943]","[1,1,1]","[-0.17557328770451244,0.09077032532362515]","[1,1,1]","[-0.17395262738468775,0.024563187480204]","[-1,-1,-1]","[-0.06479902892869777,-0.04547164955177046]","[-1,-1,-1]","[0.10173006002113161,-0.06326022991223666]","[-1,-1,-1]","[-0.15190566080619342,-0.08932242068931569]","[-1,-1,-1]","[-0.024283128132430585,0.11726304952774362]","[1,1,1]","[0.12102626022124119,0.14687793195716764]","[-1,-1,-1]","[0.07669302598704948,0.1713720592108171]","[-1,-1,-1]","[0.02,0.02]",118.3448,0,0,0,113,1,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,118.3456,118.8447,,,119.0954,119.6176,right,0.501,,,,,,,,,0.55,,,,,,118.8449,119.0954,119.6177,"[-0.04189743204330492,-0.10054007037295129]","[1,1,1]","[-0.07428954809800072,0.013745578464770517]","[1,1,1]","[0.031385786421192656,-0.025391722757870487]","[1,1,1]","[0.0008110870831434466,-0.1279929166638147]","[1,1,1]","[-0.06771928872584115,0.07844738031384269]","[1,1,1]","[-0.12121862241585203,-0.03400456654990875]","[-1,-1,-1]","[-0.13107524196092205,0.07255424749540003]","[-1,-1,-1]","[0.07288812297704307,0.047271143173641963]","[1,1,1]","[0.03639351785027138,-0.06924505435190474]","[-1,-1,-1]","[0.1496537751827665,-0.03310761690104316]","[-1,-1,-1]","[-0.16847396944126522,-0.001709347024213617]","[-1,-1,-1]","[0.14453466472265653,-0.09815407674975839]","[1,1,1]","[0.11139364161531981,0.06567347630935269]","[1,1,1]","[0.14467679240068795,0.08825973512027137]","[-1,-1,-1]","[-0.16248750368001685,-0.08269216013107956]","[1,1,1]","[0.037867553547109786,0.12287020605651477]","[-1,-1,-1]","[-0.046678022122781396,-0.1499106542767065]","[1,1,1]","[0.03327967271864534,-0.1922879269583254]","[1,1,1]","[0.07839348997699132,0.10848069451686265]","[-1,-1,-1]","[-0.11063333879713076,0.12747614757176157]","[-1,-1,-1]","[-0.1957407241488828,0.03646984662900508]","[1,1,1]","[-0.04069057309848677,0.1397827737457213]","[-1,-1,-1]","[0.03366464978302616,0.18273501183489632]","[1,1,1]","[0.09253848457334905,-0.16031068466225767]","[1,1,1]","[-0.009932945015149023,-0.07300466405879308]","[-1,-1,-1]","[0.10200676883572492,-0.10911405645893152]","[-1,-1,-1]","[-0.18926231782681924,-0.0422162409076834]","[1,1,1]","[-0.09354391604724788,0.1736091463123935]","[1,1,1]","[0.1771409956771382,-0.0016392834217844065]","[1,1,1]","[-0.09816385583520931,-0.07959453496701917]","[-1,-1,-1]","[0.09274195542359893,-0.014321942338329187]","[-1,-1,-1]","[0.07393935678133225,0.16759698110785615]","[1,1,1]","[0.02,0.02]",120.711,0,1,1,125,1,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,120.7115,121.2119,,,121.4619,122.0783,right,0.5935,,,,,,,,,0.5,,,,,,121.2121,121.4617,122.0783,"[-0.004648477630076516,0.12658767067823107]","[-1,-1,-1]","[-0.08097559762545971,0.00652711514185558]","[1,1,1]","[0.015782013455354394,-0.025777194737041504]","[-1,-1,-1]","[-0.16001338448610228,0.044418460597444226]","[-1,-1,-1]","[0.1057303445974146,0.008377703809523102]","[-1,-1,-1]","[0.06313645930908142,-0.07370945092106289]","[-1,-1,-1]","[0.028095961497601418,0.01846902462647913]","[-1,-1,-1]","[0.15381288333512208,-0.0785019576272824]","[-1,-1,-1]","[0.13411769005253327,0.11108397751874324]","[1,1,1]","[0.07861381384321793,0.06244790991874955]","[1,1,1]","[0.11430975403312676,-0.1445629805158147]","[-1,-1,-1]","[0.02632652044260283,-0.09645799663245698]","[1,1,1]","[-0.12094254307134171,-0.10066742907147125]","[-1,-1,-1]","[-0.07045650140129461,0.17718623694626606]","[-1,-1,-1]","[0.17675324277210078,0.003533210760995838]","[1,1,1]","[0.07522795044815402,0.11822858650309445]","[1,1,1]","[0.07440213285128544,0.17096637323900826]","[1,1,1]","[0.06843771297330159,-0.011636596823865567]","[1,1,1]","[-0.02850114241366262,-0.1594034518190447]","[-1,-1,-1]","[-0.0644396673136185,-0.07148810750695833]","[-1,-1,-1]","[0.011437552407464826,0.17096249637456298]","[-1,-1,-1]","[-0.12289379833002999,-0.14431727053495982]","[-1,-1,-1]","[-0.001027546879112425,0.08242109008053092]","[1,1,1]","[-0.16296460918507424,0.08574846177169022]","[1,1,1]","[0.05374849103477207,-0.15638113027725303]","[-1,-1,-1]","[0.0030702281788081293,-0.19170759225789014]","[1,1,1]","[-0.14081781507233326,-0.0541286771011923]","[1,1,1]","[-0.02019528134642758,-0.1091904549898499]","[-1,-1,-1]","[-0.08109191653270799,-0.18202937406188052]","[1,1,1]","[-0.08478715866664087,0.07567245128332446]","[1,1,1]","[-0.12539527747706788,-0.0009151557284588657]","[1,1,1]","[-0.19555227873780504,0.006368933513006948]","[1,1,1]","[0.02,0.02]",123.1781,0,2,2,102,1,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,123.179,123.6784,,,123.9289,124.2665,left,0.3172,,,,,,,,,0.45,,,,,,123.6786,123.9288,124.2665,"[0.016421862607239296,0.1567116706225216]","[-1,-1,-1]","[-0.12098769502616245,0.1132531757626912]","[-1,-1,-1]","[-0.09723324044067594,0.05289821235607745]","[1,1,1]","[-0.12570385942315007,-0.10474273943800529]","[-1,-1,-1]","[-0.10363057679752705,-0.007545606458604894]","[-1,-1,-1]","[0.11480219813102693,0.10551527360624331]","[-1,-1,-1]","[-0.1525535050458591,0.001308367981107136]","[-1,-1,-1]","[-0.06495996361858691,-0.17440674454619437]","[1,1,1]","[0.13567215332896057,0.010507859397993756]","[-1,-1,-1]","[0.14955119470441275,-0.1282223345740233]","[1,1,1]","[0.18306095857127613,-0.04148088145020041]","[-1,-1,-1]","[0.09952624749749031,-0.034033299040085556]","[-1,-1,-1]","[0.041970692476292086,-0.19239390123687503]","[-1,-1,-1]","[0.07427002268161109,0.03756437896830037]","[1,1,1]","[-0.07418429440091844,0.1411789382057846]","[1,1,1]","[-0.02253154629726505,0.03101356574320227]","[1,1,1]","[0.16160291896592777,0.046269324559245775]","[-1,-1,-1]","[0.08143952235856192,-0.14413489685702352]","[1,1,1]","[0.14218845005653488,-0.03571658266333836]","[-1,-1,-1]","[0.08377030371574753,-0.07826849669318992]","[-1,-1,-1]","[0.044802193236389974,0.1160458268893077]","[-1,-1,-1]","[0.1467195186647145,0.1324284260448439]","[1,1,1]","[-0.014102550674623546,0.11853900380276294]","[-1,-1,-1]","[0.04169143947541044,-0.12615657064235788]","[-1,-1,-1]","[-0.06778689583593533,-0.11724636737024378]","[1,1,1]","[0.050606993856713196,-0.03941130577057278]","[1,1,1]","[0.009357948948409819,0.0036333190971202392]","[1,1,1]","[-0.020820630211123063,-0.080663117759647]","[1,1,1]","[-0.05415893107590021,0.18323695655464808]","[1,1,1]","[-0.11390378334624032,0.15521837974149544]","[-1,-1,-1]","[0.01545182272060644,0.045837693133583525]","[1,1,1]","[-0.09445677549123078,-0.05190161887016126]","[-1,-1,-1]","[0.02,0.02]",125.3619,0,3,3,79,1,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,125.3626,125.8618,,,126.1113,126.711,left,0.5841,,,,,,,,,0.4,,,,,,125.8619,126.1111,126.7112,"[0.07488942084892086,-0.16432714262608392]","[-1,-1,-1]","[0.0649701840432865,-0.045690140314677316]","[1,1,1]","[0.010641178769208342,0.004817817761170798]","[-1,-1,-1]","[-0.09863482677399005,-0.019547720923886947]","[1,1,1]","[-0.07966638542743289,-0.11047024870989254]","[1,1,1]","[-0.04848509425402314,-0.04091175587948463]","[-1,-1,-1]","[0.06746663654617065,0.03950126456290668]","[1,1,1]","[0.0023920123188109735,-0.16959285912682634]","[-1,-1,-1]","[-0.07846698629924619,0.17781283986189356]","[-1,-1,-1]","[-0.14462601154876475,0.0997293383090511]","[1,1,1]","[-0.18642021667406866,-0.042771068057945144]","[-1,-1,-1]","[-0.12249736062580478,0.15477305646898262]","[1,1,1]","[-0.007696951245923138,-0.046902838942444514]","[-1,-1,-1]","[-0.023515247863208275,-0.09103842755202562]","[-1,-1,-1]","[-0.1534395056999366,0.05317699749119513]","[-1,-1,-1]","[0.16876014639951606,0.10227766054666358]","[-1,-1,-1]","[-0.016708700451323298,0.043487549422830334]","[1,1,1]","[0.10607988637149905,-0.005986806732309461]","[-1,-1,-1]","[0.036804084090987,-0.13565804782578772]","[-1,-1,-1]","[-0.05818643495554146,-0.1639072415793672]","[-1,-1,-1]","[-0.022158820563510092,0.16437484517090703]","[1,1,1]","[0.14339650876580037,0.017965760527694098]","[-1,-1,-1]","[0.16625590459895373,0.060615590248004635]","[1,1,1]","[-0.10756430283267115,-0.15803813408418785]","[1,1,1]","[-0.16202398411943914,-0.0008298016236194326]","[-1,-1,-1]","[0.07495721388518484,0.09009071044453369]","[-1,-1,-1]","[0.07045586032113561,-0.10769045391934025]","[-1,-1,-1]","[0.09779409433637137,0.1597205851346438]","[1,1,1]","[0.14564425393759148,-0.09458569694015187]","[-1,-1,-1]","[-0.004361908808464989,0.10075651784373042]","[1,1,1]","[0.05505611608248633,0.16292023622193622]","[-1,-1,-1]","[-0.11102039040373458,0.027189009491314666]","[1,1,1]","[0.02,0.02]",127.8118,0,4,4,55,1,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,127.8127,128.3109,,,128.5519,129.1111,right,0.5342,,,,,,,,,0.9,,,,,,128.3109,128.5519,129.1113,"[-0.0583459604376434,-0.15594066803520096]","[1,1,1]","[0.07818398560921071,-0.12868426073616177]","[1,1,1]","[0.005579488773441111,0.10737813114306163]","[1,1,1]","[-0.1812966731566366,0.0057505429300108496]","[1,1,1]","[-0.025534760621168114,-0.19778827560381027]","[1,1,1]","[-0.17087918264570492,-0.038116700048489195]","[1,1,1]","[0.1021897888111932,-0.061902049582033256]","[1,1,1]","[0.022959103612652285,-0.07254056597943087]","[1,1,1]","[0.09448760421876101,-0.0031534161316846623]","[1,1,1]","[-0.07356164988630177,-0.07354965488846205]","[1,1,1]","[0.04360688760763659,0.12968706808627606]","[1,1,1]","[0.08902957805370272,-0.17656269527844973]","[1,1,1]","[0.14953123614441416,0.09807074841290365]","[1,1,1]","[-0.10802945941046956,-0.14866983116814192]","[1,1,1]","[-0.02838008256521536,-0.122750786703172]","[1,1,1]","[0.013930297549104508,0.002962868344820843]","[1,1,1]","[0.18458609501726075,0.0529380217401941]","[1,1,1]","[0.1747549872669131,-0.050040988361690436]","[1,1,1]","[-0.11875381398494371,-0.019645746359730393]","[1,1,1]","[0.025497285211933028,0.06514685534584716]","[1,1,1]","[-0.02614320133273256,0.04457560318668391]","[1,1,1]","[0.16707499382131308,0.009697182700980073]","[-1,-1,-1]","[-0.07936029756598986,0.02290403796036923]","[-1,-1,-1]","[-0.07027425153879019,-0.020664420548101647]","[1,1,1]","[0.022916977411927126,0.17180892865135683]","[1,1,1]","[0.09523745163568485,0.12181926619185117]","[1,1,1]","[-0.03062550090339101,0.1489083160232164]","[1,1,1]","[-0.1410058668945324,0.026885488146138375]","[1,1,1]","[0.13348195583830041,-0.1476991071939102]","[-1,-1,-1]","[-0.052655270044517664,0.09341324275196976]","[1,1,1]","[0.1441273218686777,-0.08840322906394744]","[1,1,1]","[-0.13889307843626145,0.12078495315878214]","[1,1,1]","[0.02,0.02]",130.2113,0,5,5,183,1,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,130.212,130.7111,,,130.9691,131.3781,right,0.3927,,,,,,,,,0.6,,,,,,130.7112,130.9691,131.3783,"[-0.15572253668486294,-0.08493384301897633]","[-1,-1,-1]","[-0.08929622038547647,-0.09493598969621093]","[1,1,1]","[-0.12767031270560164,-0.017059819499841034]","[1,1,1]","[0.0844008577459332,-0.11993714614704586]","[1,1,1]","[-0.01104239707082506,0.13662355368404355]","[-1,-1,-1]","[-0.18958377872337004,0.031963161021518166]","[-1,-1,-1]","[-0.10717036566109069,0.05639631620223389]","[1,1,1]","[-0.06197684702113692,0.0679671635895416]","[1,1,1]","[0.011048482888079612,0.1813132736193424]","[1,1,1]","[0.05230400531460391,0.01600389544012472]","[1,1,1]","[-0.0016719350120886246,0.05784638146946652]","[1,1,1]","[-0.15297596524000925,0.06210415871344106]","[-1,-1,-1]","[0.015297920655505858,-0.11410552280774795]","[-1,-1,-1]","[-0.005742547524665944,-0.17130128228933694]","[-1,-1,-1]","[-0.073503962136873,-0.04669828078371579]","[-1,-1,-1]","[-0.0020342566240659585,-0.07214740657616259]","[-1,-1,-1]","[0.15869743200744904,0.11538717879084212]","[-1,-1,-1]","[0.08909566467546004,-0.02700723228949059]","[1,1,1]","[-0.09231012355164864,0.17424871332948294]","[-1,-1,-1]","[0.08919599547250845,0.12170439058430511]","[1,1,1]","[0.04838779779712246,0.0971549444535731]","[1,1,1]","[0.0711349706268667,-0.172338505048211]","[-1,-1,-1]","[-0.0033167365567711377,-0.016789640224686334]","[1,1,1]","[0.10654501754170881,-0.07776576901068076]","[1,1,1]","[0.19466124178264724,-0.036788743047097665]","[1,1,1]","[-0.12430241316475517,0.09455380030263376]","[-1,-1,-1]","[-0.1885058826209827,-0.010059355736106083]","[-1,-1,-1]","[0.1052978081669533,0.05486834574151077]","[1,1,1]","[0.1287082123071023,-0.1266142509476454]","[1,1,1]","[0.16094410621965222,0.03360376571699153]","[1,1,1]","[-0.05418705965805764,-0.1241749207549027]","[1,1,1]","[-0.04399367193625695,0.10999651100116468]","[1,1,1]","[0.02,0.02]",132.4774,0,6,6,160,1,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,132.478,132.9775,,,133.2281,133.5116,right,0.2673,,,,,,,,,0.9,,,,,,132.9775,133.228,133.5117,"[-0.004899138122963634,-0.08992468334105412]","[1,1,1]","[-0.12546450996697875,-0.12872048240090475]","[1,1,1]","[0.13143861180542513,0.12476968816026168]","[1,1,1]","[-0.1697022053401914,-0.04385048641095858]","[-1,-1,-1]","[-0.09003912483677616,0.008912290870169556]","[1,1,1]","[-0.07919466542098935,-0.05049643682974834]","[-1,-1,-1]","[0.08668772729664458,-0.03013670730099521]","[1,1,1]","[0.01417546244562328,0.06763006933925163]","[1,1,1]","[0.09181593748510873,0.015971961331309285]","[1,1,1]","[-0.04440117544546746,-0.14698878978760152]","[1,1,1]","[0.001893416921163534,-0.014495674843144818]","[1,1,1]","[0.1515407351484004,-0.12568774283944287]","[1,1,1]","[-0.094924286629866,-0.09371500837868982]","[1,1,1]","[0.07775837797846258,0.1500317882480451]","[1,1,1]","[0.0587370121745863,-0.1754245939556936]","[1,1,1]","[0.09550152033749669,-0.11222818269891874]","[1,1,1]","[0.07259650014743912,0.05198590284817985]","[1,1,1]","[-0.08010719234755266,0.09821185405743067]","[-1,-1,-1]","[0.13347237356242594,-0.024940657385149608]","[1,1,1]","[0.18327921179330373,-0.07176662855798431]","[1,1,1]","[0.1822474910882383,0.06884218311367712]","[1,1,1]","[-0.14790319000478644,0.0070089297435623555]","[1,1,1]","[-0.0847888696407648,0.1545157609490741]","[1,1,1]","[0.027231579933371,0.10989098497332002]","[1,1,1]","[-0.08473371121087236,-0.16253559147106314]","[1,1,1]","[-0.03767362633245824,-0.026824381313859426]","[1,1,1]","[-0.12014716015261423,0.08837911398169743]","[1,1,1]","[-0.05926960051617996,0.04887957778414473]","[1,1,1]","[-0.15216686247679076,-0.09538640901076506]","[1,1,1]","[-0.12563265316130615,0.043063697358335096]","[1,1,1]","[-0.004464635206513625,0.14449440723572798]","[1,1,1]","[0.19343106896182846,-0.016991813050345996]","[1,1,1]","[0.02,0.02]",134.611,0,7,7,198,1,,,,,,,
,,,,,,,67ad9281b4a4d68f2f055a7b,682db3af839f1404b4bbb7e6,2025-05-21_13h13.58.411,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,134.6118,135.1118,,,135.3612,135.6112,left,0.234,,,,,,,,,0.1,,,,,,135.1119,135.3611,135.6113,"[-0.11557305676689764,0.13486473847462555]","[-1,-1,-1]","[0.06215281371727462,-0.14672790984675518]","[-1,-1,-1]","[0.15054009605701454,0.08452512924561785]","[-1,-1,-1]","[-0.1185896857037158,-0.03246635121678357]","[-1,-1,-1]","[0.013498374429037176,-0.07506785240770808]","[-1,-1,-1]","[0.18540117215621807,0.05730470082623735]","[-1,-1,-1]","[-0.06947851719356107,0.15169768606745632]","[-1,-1,-1]","[0.05932440960180054,0.05926138020557005]","[-1,-1,-1]","[0.043687896281855425,0.15777007787027708]","[-1,-1,-1]","[-0.1421733372368021,0.09617062686694841]","[-1,-1,-1]","[0.1121343498266516,0.12938269917830897]","[-1,-1,-1]","[-0.11063772738070499,0.030872896542379423]","[-1,-1,-1]","[0.12013604538229684,-0.04956264664539579]","[-1,-1,-1]","[-0.10380025518560805,-0.15831313877500072]","[1,1,1]","[0.17160760263116828,-0.030249995091668026]","[-1,-1,-1]","[0.10837693727901708,0.002035455782408332]","[-1,-1,-1]","[-0.03938464164703872,-0.16028182366015456]","[-1,-1,-1]","[-0.15103197220000014,-0.06156491480924692]","[1,1,1]","[0.16914498029781602,-0.09854778190739812]","[-1,-1,-1]","[-0.1577297345814038,-0.014916163248289285]","[-1,-1,-1]","[-0.14122147354203948,-0.13095991527399545]","[-1,-1,-1]","[0.10545418372197139,0.05761066626824026]","[-1,-1,-1]","[-0.008038252200261347,0.03188018606429505]","[-1,-1,-1]","[0.06672533562543903,-0.00513167862479786]","[1,1,1]","[-0.06907148383414154,0.0428179254135792]","[-1,-1,-1]","[-0.10492646033133125,-0.10486583551411664]","[-1,-1,-1]","[0.09131498274664329,-0.09119833325550789]","[-1,-1,-1]","[-0.026092725087989634,-0.10578589537883146]","[-1,-1,-1]","[-0.04108622611631066,0.0905903811199069]","[-1,-1,-1]","[0.14451879104793292,-0.1346937405952595]","[-1,-1,-1]","[0.00915229190621033,0.13157411463217653]","[-1,-1,-1]","[0.07499613810361812,-0.045071764328078294]","[-1,-1,-1]","[0.02,0.02]",136.7113,0,8,8,16,1,,,,,,,
