right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0004,31.3048,space,16.2761,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,31.305,62.0283,space,0.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,62.0286,65.4686,space,0.4251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,65.5261,65.9841,65.9848,66.226,66.2262,67.7182,,67.7185,68.8174,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,68.8185,69.3172,69.3174,69.568,69.5681,70.2011,left,70.2013,71.3007,0.0,1.0,1.0,0.0,1.0,0.2,0.6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3015,76.2346,space,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,76.2681,76.7423,,,76.9854,77.4342,right,,,,,,,,0.9,0.4325,,,,,,,76.7432,76.9854,77.4351,"[-0.05203105509759313,0.03896607504855048]",100.0,"[0.07105793682572753,0.009469637376942978]",100.0,"[-0.014131930239309242,0.16996759746190482]",100.0,"[0.05144439898005019,0.10643693204101001]",100.0,"[-0.14348271531153028,-0.029349028777202787]",100.0,"[0.11273858092674682,0.06590389120306583]",100.0,"[0.13459476371063017,-0.10827261121550301]",100.0,"[-0.00557705118479838,-0.08110172428392469]",100.0,"[-0.08965283382399913,-0.1357680030215167]",100.0,"[-0.16299818938719307,-0.08087881722679745]",100.0,"[-0.00024049715771423352,-0.1319650175135296]",100.0,"[0.11971485474328399,0.0062307000244333196]",100.0,"[-0.10100014530441231,-0.030458714624723614]",100.0,"[-0.1372022741361861,0.0811855997907165]",100.0,"[0.09307634129067817,0.10395029312191693]",100.0,"[-0.12523903719796678,0.1313730556603275]",4.0,"[0.0343961219155077,0.18193262913314567]",4.0,"[-0.05787798493224334,-0.000826371539325033]",100.0,"[0.1361775749493852,-0.06654393002883412]",100.0,"[-0.05443749835816261,0.16591150328064766]",100.0,"[0.19649765923284634,-0.009694727964003119]",100.0,"[-0.07669512150582161,0.07124226069114324]",100.0,"[-0.07215518057850069,-0.17434026917745699]",100.0,"[-0.13449271871369187,-0.1417799556325674]",100.0,"[0.049137368139021524,-0.09229463404844307]",100.0,"[0.16092164575433662,0.06034636497826725]",100.0,"[-0.08548609204587738,-0.090615303544052]",100.0,"[0.15103107523682027,-0.025568190784167395]",100.0,"[0.07886407796021719,-0.04701764267622674]",100.0,"[0.012893556337017918,-0.19134980730597762]",4.0,"[0.18602176705182985,-0.06375011475765346]",100.0,"[-0.020736998904872753,-0.025367572579816516]",100.0,"[0.02,0.02]",78.5342,0.0,0.0,0.0,4.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,78.5349,79.0339,,,79.2847,79.534,left,,,,,,,,0.1,0.2369,,,,,,,79.0339,79.2845,79.5341,"[0.1111935258163596,0.0693939026801803]",4.0,"[-0.009204557540750656,0.0001113048514787429]",4.0,"[-0.09695465417055424,-0.12373185784067553]",4.0,"[-0.1360326230119502,0.1260618019589281]",4.0,"[0.015255593798890962,0.15605098182511642]",100.0,"[-0.10908045426210956,0.012189845978683046]",4.0,"[0.08031391878287159,0.1290123951557649]",4.0,"[-0.090219278528086,-0.041937011326572446]",4.0,"[-0.1453551420800025,-0.04757277287305302]",4.0,"[0.12272627839827999,-0.057096166566343]",4.0,"[-0.10637786339482067,0.09315204151006322]",4.0,"[0.08882434890154708,-0.015322472019369255]",4.0,"[-0.08527575549331022,0.15002714654573268]",4.0,"[0.13144067807193846,0.02346739762485624]",4.0,"[0.009449527298633261,-0.042499574628883846]",4.0,"[-0.021216337113068567,-0.19749282891572362]",4.0,"[0.14278208290691752,-0.13700496651420155]",100.0,"[-0.14323340241787247,0.05023683694408422]",4.0,"[-0.00875572884309459,0.0772184944916173]",4.0,"[0.18225538422803392,0.0780631955926984]",100.0,"[0.07537001436275467,0.02948845059061014]",4.0,"[0.07117242207341784,-0.18029869181724076]",4.0,"[0.1750726234919361,0.03467893892501306]",4.0,"[0.040240756446202106,0.1927922388678337]",4.0,"[0.017296530658654243,-0.1646304646310751]",4.0,"[-0.1160771097298233,-0.0835241650276772]",4.0,"[-0.04208047199234563,0.02847744574877102]",4.0,"[-0.04420939254603439,0.16562665553584088]",4.0,"[-0.1583285002096688,-0.11378016229354464]",4.0,"[-0.06115665967472041,0.09541873089050643]",4.0,"[0.14824979318034132,0.10663480882208096]",4.0,"[0.16182248919329958,-0.04743914650815645]",4.0,"[0.02,0.02]",80.6338,0.0,1.0,1.0,204.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,80.6344,81.134,,,81.3769,81.7344,left,,,,,,,,0.5,0.3349,,,,,,,81.134,81.3768,81.7346,"[0.07134436666301196,0.0823891402840106]",4.0,"[0.10160370736597304,-0.12514157974387127]",4.0,"[-0.09499390984411651,-0.06990380498135604]",4.0,"[0.16358936594174905,0.046176600743230684]",100.0,"[-0.026018749407490983,0.19326325141571904]",4.0,"[-0.15406954901543354,0.09828948411658232]",100.0,"[0.07904957034547967,0.016437172873581162]",100.0,"[-0.00196975888639785,-0.1203459023035546]",4.0,"[0.022116278716783132,0.13690379927577326]",100.0,"[-0.033419374706909574,-0.1607712940590919]",4.0,"[-0.01760194056103001,0.09149180181708597]",100.0,"[0.12146470821613045,0.14331535697717399]",4.0,"[-0.18289717569695013,0.033830174225094205]",4.0,"[0.04852094728503389,-0.08335044834364631]",100.0,"[-0.09894658031373695,0.1408668173359085]",100.0,"[0.15665364083335917,-0.07974202265276957]",100.0,"[-0.1648928698962189,-0.05621969633577062]",100.0,"[0.0318499360087366,0.1954762470080694]",4.0,"[0.10329531133892869,-0.0610610854888864]",100.0,"[-0.10811529609605902,-0.015732608037443262]",100.0,"[0.029631921027557025,-0.15006119159528042]",4.0,"[-0.05925232848066831,0.0010009866847185667]",100.0,"[0.030710694039933543,0.08916426683116814]",4.0,"[-0.18708235202332868,-0.010271078858902646]",4.0,"[0.019049943034576182,-0.04537743708817878]",100.0,"[-0.07275021484302578,0.07112410202604276]",4.0,"[-0.016018042322842724,0.014976229583459608]",4.0,"[0.027768513474251293,0.0075745281943918686]",4.0,"[-0.11483821835578226,0.08227051602206199]",100.0,"[0.1478841109139257,0.09776272243554353]",100.0,"[0.12342208176698465,0.03323677906751857]",4.0,"[0.16738238931344931,-0.005264357600021878]",100.0,"[0.02,0.02]",82.8346,0.0,2.0,2.0,108.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,82.8356,83.3343,,,83.585,83.901,left,,,,,,,,0.55,0.3052,,,,,,,83.3343,83.5849,83.9011,"[0.03540330241310672,0.13219800067160467]",100.0,"[0.10713688580835495,-0.020758845083727193]",100.0,"[0.06257333422180295,-0.18815897246172153]",4.0,"[0.12136975996383866,-0.1410835467815377]",4.0,"[0.08026596101233639,0.15697605806612092]",4.0,"[0.061203707179270525,0.012688566550747815]",100.0,"[0.07330526663704119,-0.05283043006472835]",100.0,"[-0.004347373894453403,0.14139828785314565]",4.0,"[0.08129334514218207,-0.12848361351012133]",4.0,"[-0.06877175046324414,-0.13866402735409855]",100.0,"[0.17449984105599295,0.028702845781822504]",100.0,"[0.08251900783790567,0.09114885646866928]",4.0,"[-0.035705833900359016,-0.029425736110424466]",100.0,"[-0.10799013422956347,-0.1513581790985471]",4.0,"[-0.10335510052537589,0.09765339750513233]",100.0,"[-0.1768361710076955,0.06398234166710964]",100.0,"[-0.12074374841812513,0.04752318769633159]",4.0,"[-0.08396105429771054,0.007868108130998197]",4.0,"[0.09728356590949788,-0.09084714144399401]",100.0,"[0.12250696313598868,0.08109428756764413]",100.0,"[0.12277296475472235,0.14175517072184624]",100.0,"[-0.1611372669162865,-0.006566736673838444]",100.0,"[-0.04001242805278751,-0.08282070036654059]",100.0,"[-0.0381967502981022,0.18725686143664855]",4.0,"[0.16275691317859722,-0.09948696375910782]",100.0,"[-0.002775067428291317,-0.06541683003389699]",4.0,"[-0.09150958016891567,-0.06769590132402632]",100.0,"[-0.028795564500389042,0.052144883409373205]",4.0,"[-0.1955121301040903,0.02532923985419786]",100.0,"[-0.025811278761023022,-0.1479601732547644]",4.0,"[-0.14981811873166678,-0.06167661170476201]",100.0,"[-0.15752502298648127,-0.11826014576785664]",4.0,"[0.02,0.02]",85.0004,0.0,3.0,3.0,84.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,85.0006,85.5007,,,85.7513,86.0017,right,,,,,,,,0.9,0.2346,,,,,,,85.5007,85.7512,86.0018,"[0.1288854212009244,0.14824166992133567]",100.0,"[-0.061964951770178016,-0.0873430628368887]",100.0,"[-0.12107207863502102,0.005192473438365732]",100.0,"[-0.04846446129189523,-0.0023818198349381636]",100.0,"[-0.0072211594188166615,0.0609762588330635]",100.0,"[0.11411639161839313,-0.11909856382016774]",100.0,"[-0.06565892829564167,-0.18839715131058898]",100.0,"[0.09927094691259825,-0.16878753470956984]",4.0,"[-0.02871541180720824,-0.16307292116423858]",100.0,"[0.10433808606281898,0.08144256832153951]",100.0,"[0.15099625798762997,-0.012233310577053867]",4.0,"[-0.09141578383858127,-0.11765637509987821]",100.0,"[0.15677049134020166,0.057064478830187684]",100.0,"[0.18397643964648622,-0.07134741890553374]",100.0,"[0.01644418348063765,-0.16831819477962073]",100.0,"[-0.08453097032784682,0.040556361280218806]",100.0,"[0.035809442699304146,-0.02759490133466935]",100.0,"[-0.055168244988128154,-0.04786576960323849]",100.0,"[-0.09701739424511889,0.1162039965611302]",100.0,"[0.024193691523093638,0.13174313995212344]",100.0,"[0.06326683308672532,-0.14206786814824246]",100.0,"[-0.09517498097582572,-0.041798111943912475]",100.0,"[-0.05650746921360473,0.11671147231559044]",100.0,"[-0.18889907027893768,-0.05179896186008412]",100.0,"[0.1958135287788572,-0.00408152912217507]",100.0,"[-0.0524463274242905,0.07209566744730521]",100.0,"[-0.14892370817971773,0.08887843228894947]",4.0,"[0.0882655073832249,-0.06649087647212533]",100.0,"[0.10467635187922872,-0.009605304307056303]",100.0,"[-0.19013659030569197,0.028324786607641605]",100.0,"[-0.11362512530543899,0.06991819446904075]",100.0,"[0.07515188301359754,0.12418178896617235]",100.0,"[0.02,0.02]",87.101,0.0,4.0,4.0,16.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,87.1016,87.601,,,87.851,88.2005,right,,,,,,,,0.9,0.3347,,,,,,,87.6011,87.851,88.2006,"[0.004438556283637788,-0.014487222205278118]",100.0,"[0.010843428419920304,-0.15942476474424253]",4.0,"[0.12306588519943179,-0.14665051384720806]",100.0,"[0.06432794082135228,-0.18766175098065677]",100.0,"[-0.08528286352724603,-0.11705526510045773]",100.0,"[-0.1882285669855998,-0.02330105719399093]",100.0,"[-0.15362334330751717,0.0677279896204048]",100.0,"[-0.0004732292514582633,-0.10317741350991666]",100.0,"[0.025137331816558493,0.16456836366636116]",100.0,"[-0.07257025158135942,-0.05028348239083567]",100.0,"[0.1152566103883796,-0.05635285818580306]",100.0,"[-0.04186976393377313,0.16848961340447238]",100.0,"[0.16213052793434946,0.09741824198550088]",100.0,"[0.052905353717074555,-0.041385517245722425]",4.0,"[0.096276528218808,0.10016015335353264]",100.0,"[-0.12334824621565765,-0.03305637568249239]",100.0,"[-0.04753172992703634,0.05576504188408766]",100.0,"[0.06826448510047188,0.00044849001955264684]",100.0,"[-0.12139188881599124,0.028078104951491878]",100.0,"[-0.16585415158394723,-0.1096952960224201]",100.0,"[0.03929512573419008,-0.1107121396781366]",100.0,"[0.05630840322307999,0.12131835358254203]",100.0,"[-0.0291902288278972,-0.1358748949843891]",100.0,"[0.18343615695800355,-0.07251545127052941]",100.0,"[-0.00953246786102348,-0.19626857188218655]",4.0,"[0.16445813821872807,-0.10806317896710545]",100.0,"[0.016929721014880446,0.08854119985181666]",100.0,"[0.1396510555526143,0.024788235661634246]",100.0,"[-0.06568819234869987,-0.007304284860065924]",100.0,"[-0.08661333211925391,0.1133593654131914]",100.0,"[0.0019693617649566898,0.13056259952979915]",100.0,"[0.07260910180943299,0.1633804263027394]",100.0,"[0.02,0.02]",89.3004,0.0,5.0,5.0,8.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,89.3008,89.8003,,,90.0505,90.2838,left,,,,,,,,0.4,0.2218,,,,,,,89.8003,90.0505,90.2838,"[-0.1662506712486907,-0.06992986616481617]",100.0,"[0.05166147181865463,0.11107042154343735]",4.0,"[0.1480614862855057,-0.008860232163154954]",4.0,"[0.15535263546651817,-0.12581490827933414]",4.0,"[0.15758694838721557,0.08653144837194955]",100.0,"[-0.11875216676069937,0.14225402087477312]",4.0,"[0.06664558633564185,-0.14215065452121003]",4.0,"[0.008138050206886276,0.18579811496584725]",100.0,"[-0.13251952717895188,-0.00030262957403371277]",100.0,"[0.09001489753716252,-0.05560870449999879]",4.0,"[0.0041859368068636925,0.04433077424924072]",100.0,"[-0.08029796374233589,0.027104774264929677]",4.0,"[0.021328762014884022,-0.026152112885111472]",4.0,"[-0.10686661699391664,-0.04242919411637607]",4.0,"[-0.031162845893262528,-0.003051362871753868]",4.0,"[0.08808707269441854,-0.10382563418767389]",100.0,"[-0.029805837905449238,0.10608621302458539]",4.0,"[0.08499260259858533,0.17661545690580085]",4.0,"[-0.04823483613540049,-0.11090335076060752]",4.0,"[-0.18577591839758212,0.026243107331451198]",4.0,"[-0.1056188235733676,0.09470377189109408]",4.0,"[-0.012598423365867637,-0.05781332075025382]",100.0,"[0.19191553067951125,-0.03369693020706822]",100.0,"[-0.11900033343730178,0.046779728813278874]",100.0,"[-0.012025731832732884,-0.16861838461556644]",4.0,"[-0.038021988386676045,0.04827957594122334]",100.0,"[0.03080722604836511,-0.1964465023080494]",4.0,"[0.19583322418484245,0.024067108813524116]",100.0,"[0.11135178387983978,0.05582080989375056]",4.0,"[0.11047307642146142,0.09589219433173236]",4.0,"[-0.18717391546528925,-0.01526827345745043]",100.0,"[-0.05797558026920045,-0.1780188342333867]",100.0,"[0.02,0.02]",91.3837,0.0,6.0,6.0,163.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,91.3841,91.8837,,,92.1338,92.3338,right,,,,,,,,0.9,0.1843,,,,,,,91.8837,92.1338,92.3339,"[0.15658938293396504,-0.0878026541903115]",100.0,"[-0.08418174465844314,0.060499317713670286]",100.0,"[0.050770830858379926,0.16301202791497835]",100.0,"[-0.01720074360115095,0.19636584233687399]",100.0,"[-0.0001280236141678399,-0.16455728164279765]",100.0,"[0.06334171894649786,-0.06354293251769812]",100.0,"[0.16046885742966543,0.10911593473859975]",100.0,"[0.19279007009549803,-0.009923082614474105]",100.0,"[0.004217332241370075,0.06699169243920616]",100.0,"[-0.040282234966604706,0.12519087840785434]",100.0,"[0.08298023716175466,-0.13127994419676972]",4.0,"[-0.1697278127449272,-0.03247161716117819]",100.0,"[-0.03440862605672976,0.01502322292425396]",100.0,"[-0.07171053344919692,-0.07724256548571769]",4.0,"[0.020181074718877194,0.12742016429985553]",100.0,"[0.01144260891006605,-0.021885963244217037]",100.0,"[-0.14669941604565706,-0.10560667128757628]",100.0,"[-0.09707962322300452,-0.15346281988919666]",100.0,"[-0.18753414139686053,0.05037588429104752]",100.0,"[0.0881547750501887,0.06357604387180303]",100.0,"[-0.03525993118615733,-0.11194115641043458]",100.0,"[0.08475231731981014,0.004406885061326025]",100.0,"[0.08059356267442733,0.12019384267659748]",100.0,"[-0.13110226710114933,0.03398915913315233]",100.0,"[0.13326597733717374,-0.14839514679772794]",100.0,"[-0.14549571152833227,0.11354076691155723]",100.0,"[-0.03644234199190296,-0.19171565041165156]",100.0,"[-0.12951424699951214,-0.0066386422810211084]",4.0,"[0.18378146882213378,0.0546012263936961]",100.0,"[0.11569495178112665,-0.0219199425815827]",100.0,"[-0.06720545173927006,-0.010000364111064983]",100.0,"[0.13485990320423452,0.14219065384343227]",100.0,"[0.02,0.02]",93.4337,0.0,7.0,7.0,28.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,93.4341,93.9337,,,94.184,94.4504,left,,,,,,,,0.4,0.2513,,,,,,,93.9337,94.1839,94.4506,"[-0.16446542721601295,-0.02160319944059522]",100.0,"[0.04330522637888194,0.17547229028302216]",100.0,"[-0.11824093360552358,-0.07676361473527535]",4.0,"[-0.05905820217683933,-0.16583740095131794]",100.0,"[0.0028230791759737764,0.10343419179484144]",100.0,"[-0.11767565325920948,-0.023952717850610462]",4.0,"[-0.10765639779960491,0.01745595580500496]",4.0,"[0.13490689933664549,0.12385604401839037]",4.0,"[-0.083074276862944,0.15695873586780634]",4.0,"[0.030557007666370446,-0.055919353224150016]",4.0,"[0.15722397164713353,0.013725511766213566]",4.0,"[0.09753847186714813,-0.020114570801276422]",100.0,"[-0.09092714030825583,0.09434126703454974]",4.0,"[0.18790237822830366,-0.01769132174123033]",4.0,"[0.10546511699513388,0.04366894484913182]",4.0,"[-0.05824662809814449,-0.1095836032336286]",4.0,"[-0.017326771131939304,-0.02429862354483846]",100.0,"[0.11494797800734242,-0.12107823120083021]",4.0,"[-0.1684317676064242,0.08332780429863461]",4.0,"[-0.02152973461637145,0.15598850332211683]",100.0,"[-0.015543866561151616,-0.12191213055963751]",4.0,"[0.03324549792028228,-0.15155233404787852]",4.0,"[0.025748070854542726,0.043608553397017844]",100.0,"[-0.1368397595322686,0.12219023329907137]",100.0,"[0.17158193321526033,0.09510441357925302]",100.0,"[0.08395448408723946,0.16524570357433704]",100.0,"[-0.1012158822820067,-0.14353509447880647]",100.0,"[0.07752673766771596,0.07405544247651509]",4.0,"[-0.1631108190544882,-0.079588975772375]",4.0,"[-0.04657271910464876,0.06612371631594595]",100.0,"[0.10720102866463709,-0.16317986280778773]",4.0,"[0.1630851388465604,-0.05145641438405517]",4.0,"[0.02,0.02]",95.5504,0.0,8.0,8.0,174.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,95.5507,96.0503,,,96.3005,96.5838,right,,,,,,,,0.6,0.2673,,,,,,,96.0504,96.3005,96.5838,"[-0.003904984769213948,0.034566984348137965]",100.0,"[0.15007361174662007,-0.0017853170834649067]",100.0,"[-0.11708787627935098,0.08644562831796454]",100.0,"[-0.05444837482397966,0.06837631569733198]",100.0,"[-0.1769994890517255,0.04701499495175286]",100.0,"[0.19799866990380727,0.02337741785397063]",4.0,"[-0.10455964579265255,-0.022099917877190046]",100.0,"[0.04312346766425713,-0.13855382705482125]",4.0,"[-0.1832393718453548,-0.023113714775540944]",100.0,"[-0.130950929287219,-0.13089341677206662]",4.0,"[0.0666140466217466,-0.09237218736029261]",100.0,"[-0.05742676595889278,-0.10744744078302025]",4.0,"[0.02340237101127965,0.1517949076626823]",100.0,"[-0.17717194406780046,-0.07567805053789632]",4.0,"[-0.03527580754209423,0.12647614847491212]",100.0,"[0.06751622312207015,0.06715097136227277]",100.0,"[0.0050998170156577845,-0.08441630482609339]",4.0,"[-0.036542894961395775,0.19344101597895919]",100.0,"[0.06441367777280778,-0.0206327239388567]",4.0,"[-0.009455715752556198,-0.19907641914206092]",100.0,"[0.1462513447662896,-0.09386722428169819]",100.0,"[0.1004807134116547,0.13481962129631506]",4.0,"[-0.04342395596168661,-0.04476867826756389]",100.0,"[0.10731205862768478,-0.07644628807161978]",4.0,"[0.10606397692442539,-0.13478258968075343]",4.0,"[-0.14648623049950532,0.015286071352700149]",100.0,"[0.04994443601307994,0.029454046720997055]",4.0,"[0.1319416500853659,0.05257299238791808]",100.0,"[0.14603410571066044,0.13577533502223443]",4.0,"[-0.14256826247829116,-0.04033155051892687]",4.0,"[-0.08394329293241748,0.11989062159427959]",100.0,"[-0.0043941344654353925,0.08292263278495944]",100.0,"[0.02,0.02]",97.6837,0.0,9.0,9.0,41.0,1.0,,,,,,,
,,,,,,,5b082f3d61cde20001b6706e,6842bbf8a968b26eff846670,2025-06-06_10h59.31.660,shape_ratio,2024.1.5,Win32,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,97.684,98.1838,,,98.4341,98.7338,left,,,,,,,,0.5,0.2836,,,,,,,98.1838,98.4341,98.7338,"[0.030767399499708668,0.02976564290905472]",4.0,"[-0.07364979802269314,0.18140512921922633]",4.0,"[-0.055502455457560475,-0.18188225486213044]",100.0,"[0.10626382833392913,0.0971123975145001]",100.0,"[-0.009662427878351967,-0.11177240121951532]",4.0,"[0.12407258461960766,-0.07097867367571796]",100.0,"[0.1477132914249574,0.006752965348961723]",100.0,"[-0.03449994965281687,0.03709850367244659]",100.0,"[-0.05736807584903677,0.13439114304628214]",4.0,"[0.027540732056097857,0.08312304237732714]",4.0,"[-0.0975788322470069,-0.14731018105778587]",100.0,"[0.08577076491778989,-0.11511907517983351]",4.0,"[-0.0899584921969978,-0.008850317441097943]",4.0,"[0.015304687862787702,-0.1784652319045572]",4.0,"[-0.1365744499617734,-0.10599170676804374]",4.0,"[-0.12073387712735353,0.11174846250317075]",4.0,"[0.05761353172532658,0.13209174867688706]",100.0,"[-0.03427081272936029,0.17423003258891018]",4.0,"[0.12773982077878893,-0.13121536486578808]",4.0,"[-0.1688205965991066,-0.04993510889557864]",100.0,"[-0.03295696156843169,0.08167659202120212]",4.0,"[-0.05135063843002042,-0.08092442852945024]",4.0,"[-0.015513778624420813,-0.03797708155277568]",100.0,"[-0.10775692776370532,-0.04860477623540844]",100.0,"[0.05566179040421987,0.17827626341688446]",100.0,"[0.07963654169532751,-0.17796049348563817]",100.0,"[0.09006122605917483,0.05414254806184493]",4.0,"[-0.07626753271736345,-0.11322408779898722]",100.0,"[0.10789170317108429,0.14530390071359517]",4.0,"[0.08754084785576165,-0.05217347365668159]",100.0,"[-0.14873768247492516,0.07521244677918086]",100.0,"[-0.17886441074291,-0.006868617806723726]",100.0,"[0.02,0.02]",99.8337,0.0,10.0,10.0,111.0,1.0,,,,,,,
