right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,19.4103,space,4.3972,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,19.4107,49.7719,space,0.3423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,49.7721,53.8899,space,1.1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,53.9083,54.4078,54.4082,54.7181,54.7181,56.1405,,56.1406,57.2418,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,57.2427,57.7405,57.7406,57.9788,57.9788,58.7754,right,58.7756,59.8747,0.0,1.0,1.0,0.0,1.0,0.2,0.7785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8754,65.1272,space,2.2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,65.1415,65.6306,,,65.8782,66.4953,right,,,,,,,,0.1,0.5935,,,,,,,65.6309,65.8781,66.496,"[0.05161429645265301,-0.08863316657698848]",4.0,"[0.016247712383037138,-0.17297006126717693]",4.0,"[-0.1591611703646741,0.07516585098083414]",4.0,"[-0.1004482326219628,0.015374664280530156]",100.0,"[0.09068833458502683,0.04260316099516626]",4.0,"[0.04670122066506655,-0.13903510265517297]",4.0,"[-0.00784873703158474,0.071750180234575]",4.0,"[-0.041815192793467994,0.17175775085022513]",4.0,"[0.08058060314925249,0.12026694433189791]",4.0,"[-0.03561059515762127,-0.08565409879533345]",4.0,"[0.1489877042324723,-0.09500612165340508]",4.0,"[0.12640813093762907,-0.1495128037938322]",4.0,"[-0.09551470167165478,0.13859603258045822]",4.0,"[0.18944652599048875,-0.006563433645667036]",4.0,"[-0.06097013370000651,-0.1342742409815558]",4.0,"[-0.15675741474395824,0.029382248690012353]",4.0,"[-0.035936785165724905,-0.17398370532929347]",4.0,"[-0.11990292813462816,-0.05187647653228298]",4.0,"[0.06986570590922676,-0.04892338850882816]",4.0,"[0.008937611993523588,0.026222066504785587]",4.0,"[0.0406693597596649,0.07772791350381827]",100.0,"[-0.05770356019035536,0.009479236588015014]",100.0,"[0.013268160762830748,0.15697214542600993]",4.0,"[-0.053831432801692655,-0.032388411012675825]",4.0,"[0.16725477389574464,0.08145087103269316]",4.0,"[-0.11878542334032992,-0.130635347037775]",4.0,"[0.003926605400818214,-0.11302625235528828]",4.0,"[-0.06727391645183378,0.09934752612196984]",4.0,"[-0.15908371011678768,-0.04180975815575669]",4.0,"[-0.15281605631229933,-0.09474523342350913]",4.0,"[-0.08469533232424523,0.060598653553877585]",4.0,"[-0.151913184747278,0.1181627627073625]",4.0,"[0.02,0.02]",67.595,0.0,0.0,0.0,202.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,67.596,68.0945,,,68.3469,69.0782,left,,,,,,,,0.9,0.727,,,,,,,68.095,68.3468,69.0782,"[-0.11334778303410022,-0.027545960061746852]",100.0,"[-0.10131326779026184,0.1232741489886687]",100.0,"[0.19626072096452823,0.014928030622415501]",100.0,"[0.15158450684653357,-0.07256283817532679]",100.0,"[-0.15219755764998563,-0.07038711915527501]",100.0,"[0.051129422080503424,0.021007557909150643]",4.0,"[-0.03138075692189638,-0.0024112994049485387]",100.0,"[0.07787736610654464,-0.1709034737195106]",4.0,"[0.11293100453554376,-0.03435134841715842]",4.0,"[-0.19403934221036526,-0.021877541381771556]",100.0,"[0.09019805878851833,0.06949267464180099]",100.0,"[-0.03168233349090838,0.11638659017585082]",100.0,"[-0.04978639045379982,0.16102567728404832]",100.0,"[0.0119914832296115,-0.196499956975029]",100.0,"[0.006177812873411431,0.17899888627560515]",100.0,"[-0.13050492368530192,0.04520665649489059]",100.0,"[-0.08607179262729248,0.03755302170071591]",100.0,"[-0.13060242281348844,-0.10625499374559107]",100.0,"[0.05609795922773275,-0.06907158184514846]",100.0,"[-0.1661368349490766,0.08199425466793783]",100.0,"[-0.04454247166671241,0.06141526215803252]",100.0,"[-0.09848656163241476,0.16954009091522204]",100.0,"[0.17108946692468957,-0.022889594252016806]",100.0,"[0.04849318440404314,0.1929692699897202]",100.0,"[-0.00004991896303990776,-0.1497724674329112]",100.0,"[0.0039576418959907465,-0.052414649875103005]",100.0,"[-0.05968643929899201,-0.05905340024617032]",100.0,"[0.0815566485896632,-0.12198652879283596]",100.0,"[0.11940415780148246,0.02914381004895486]",100.0,"[-0.10449501660488675,-0.15075962919020544]",100.0,"[0.007114177138467061,0.032314733980369784]",100.0,"[-0.14666876366210993,0.005181150942606815]",100.0,"[0.02,0.02]",70.1797,0.0,1.0,1.0,11.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,70.1804,70.6797,,,70.9359,71.7962,right,,,,,,,,0.5,0.8436,,,,,,,70.6797,70.9358,71.7962,"[0.12034913773057232,0.040579135239672486]",100.0,"[0.08202778446464654,-0.05452068778878055]",4.0,"[-0.12221235475725004,-0.0038153128593761735]",4.0,"[-0.08594056447237815,-0.17867412165348276]",4.0,"[0.013975861377785824,-0.16742854809256813]",100.0,"[-0.006911510985805317,-0.07067426937429355]",4.0,"[0.0428409520485146,0.15399757502493677]",4.0,"[0.11738967650636102,-0.10828817177381521]",100.0,"[-0.050502204045737596,-0.05106672662281763]",100.0,"[-0.18914739950270754,0.0573140925422927]",4.0,"[-0.026477616493343882,0.18866734575211327]",4.0,"[0.13961878712638884,-0.010125765469864913]",100.0,"[0.04343418003309222,0.053345401472066165]",4.0,"[-0.12670159084163088,0.057621407029370686]",100.0,"[-0.04402391327747964,-0.19506309577883818]",4.0,"[0.000832933547009857,0.1292434009188512]",100.0,"[0.17243897658865673,0.0330578999301748]",4.0,"[-0.13663647105575838,-0.05461311360097647]",4.0,"[0.08683208877291197,0.1347606357239068]",100.0,"[-0.19267823601736792,-0.01469815820824931]",4.0,"[-0.1328734182170541,0.14708056613356987]",4.0,"[0.0448507636222061,-0.015319058870423032]",100.0,"[0.019547110773687794,0.19475713649808293]",100.0,"[-0.1306723127470728,-0.12185027048852257]",100.0,"[0.09589727645029497,-0.006193510954646015]",4.0,"[-0.0634493332300071,0.08844914416287819]",100.0,"[0.0015159015719065727,0.07132518805372261]",100.0,"[0.004010326426306811,0.021135452746191156]",100.0,"[-0.05207961707952637,-0.003561432919613691]",4.0,"[0.04542251265125513,-0.07112235248054184]",100.0,"[0.02058222026112085,-0.10533688405432598]",4.0,"[-0.08870475046897054,0.14424549226440606]",100.0,"[0.02,0.02]",72.8964,0.0,2.0,2.0,112.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,72.8972,73.3961,,,73.6506,74.2966,left,,,,,,,,0.9,0.6296,,,,,,,73.3962,73.6505,74.2967,"[-0.1130743967225091,-0.11430801201454267]",100.0,"[0.13149034115882052,0.010365248831525321]",100.0,"[-0.19107491582316125,0.010807367367347614]",100.0,"[-0.163246253127411,0.10886486191879798]",100.0,"[-0.0044358210770846585,0.05102706492896484]",100.0,"[0.11212133912921621,0.11201943100685637]",100.0,"[-0.09801030859700598,-0.16914996701331342]",100.0,"[0.029359724477280903,-0.1924353839558955]",100.0,"[-0.03253558437637597,0.0004692755176338511]",100.0,"[0.13195071412226184,-0.05183475275433697]",100.0,"[0.020542677305499427,0.01135153514844083]",100.0,"[-0.06801058496662667,0.08204073515736703]",100.0,"[0.07275813616886494,-0.048211490220838586]",100.0,"[0.1018409282581495,0.04844644187951052]",4.0,"[0.18751014243658884,-0.03907867144494992]",100.0,"[0.04941641179250797,0.06422108906088173]",100.0,"[0.05919797981713494,0.15271124742785158]",100.0,"[-0.12956938976354274,0.1472407143857936]",100.0,"[0.021296972216787353,0.17173327360381238]",100.0,"[-0.10123429903858744,0.0178916302506026]",100.0,"[-0.19317352416716843,-0.03324870374185737]",100.0,"[0.07867623872189057,-0.09035964643290939]",4.0,"[0.17804161861386558,0.06777714820711779]",100.0,"[0.08522935056973785,-0.15636063596420707]",4.0,"[0.02954654251885267,-0.05693621394455941]",100.0,"[-0.10984315891846747,-0.05339117979860794]",100.0,"[-0.14747640548079274,0.019631883579522898]",100.0,"[-0.05443835216216433,-0.14888602791053]",100.0,"[-0.06870227116651088,0.12858701857446897]",100.0,"[-0.05537490039726344,0.17601320371724177]",100.0,"[0.1703622330064078,-0.08637557345530035]",100.0,"[-0.01090193401699819,-0.11651267156478722]",100.0,"[0.02,0.02]",75.3968,0.0,3.0,3.0,6.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,75.3975,75.9013,,,76.1513,76.5142,left,,,,,,,,0.9,0.3533,,,,,,,75.9014,76.1512,76.5144,"[0.050064383293855916,0.17976436048498964]",100.0,"[0.12401659161780476,0.050336596647181375]",100.0,"[0.13974107489080823,-0.12795847358412563]",100.0,"[-0.10536336603016351,-0.0006651470281733446]",100.0,"[0.021084745130917456,-0.1098696665567162]",100.0,"[-0.0417126658817082,-0.0684635268655136]",100.0,"[-0.18762973487153073,-0.005876068412911575]",100.0,"[0.173524723095474,0.09478926246440031]",100.0,"[-0.015950491205108615,0.13399219096710543]",4.0,"[-0.12332234576339081,-0.07164421670311819]",100.0,"[0.0673475972402596,0.011268896743245868]",100.0,"[-0.1895983094121361,0.06061896296514511]",100.0,"[-0.18786637733383735,-0.06525923326009711]",100.0,"[0.024191493273180206,0.08716647723358588]",100.0,"[-0.13450877185464824,0.12261623177125107]",100.0,"[-0.11334287458927551,0.06017011408989817]",100.0,"[0.007343682126122435,0.049151699335284134]",100.0,"[-0.0343501701235815,-0.16907081446158156]",100.0,"[-0.07987159873515863,-0.11856693891553553]",100.0,"[0.0427462799647701,-0.021555638582704564]",4.0,"[0.16481091245441776,0.032037763305751754]",100.0,"[-0.12500224365006254,-0.1230256757494336]",100.0,"[-0.09271201841769144,0.12533634524190254]",4.0,"[0.19225492989452714,-0.0030848822076843785]",100.0,"[-0.04724527452977315,0.16864848979377856]",100.0,"[0.09879820056781942,0.14353290612778832]",100.0,"[0.07986586305378364,-0.12578206988568238]",100.0,"[0.18106658527084324,-0.07041882000058963]",100.0,"[0.03896244415186248,0.1285764464033461]",100.0,"[0.0767036177385826,-0.07995026773186546]",100.0,"[-0.012824383148660858,0.1951270333767853]",100.0,"[0.11539900524379966,-0.011577754997874867]",100.0,"[0.02,0.02]",77.6153,0.0,4.0,4.0,25.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,77.616,78.1149,,,78.368,78.9155,right,,,,,,,,0.1,0.5233,,,,,,,78.1149,78.368,78.9156,"[-0.14012398460858294,-0.03260164958602001]",4.0,"[-0.18551112175508597,-0.00275727606858356]",4.0,"[0.07975000298754929,-0.15904942648756942]",4.0,"[-0.04770152632236269,-0.07001410936888214]",4.0,"[-0.07214957805804757,0.019899764216699187]",100.0,"[-0.09718933634476506,0.12749630289920472]",4.0,"[0.09149615875657388,-0.06891459817845169]",4.0,"[-0.08303077322443804,0.16890321378031792]",4.0,"[-0.05679819071691774,-0.16791555958893137]",4.0,"[-0.1118143384843987,-0.08028035710731356]",4.0,"[0.019282016613703226,0.08223112903756657]",4.0,"[0.08084970032606491,0.09363073245454935]",4.0,"[-0.004946084030816602,-0.1457965684011968]",4.0,"[0.1634899355901753,-0.02062878264588491]",100.0,"[0.11551860368297154,0.03191277122343721]",4.0,"[-0.006353635277144069,0.1454532227731528]",4.0,"[-0.0007959113160211368,-0.011599161988533222]",4.0,"[-0.06981993572904399,-0.11823759590445411]",4.0,"[-0.013943008296393195,0.036158316432334726]",4.0,"[-0.11176820770950321,0.000009585821162468597]",4.0,"[-0.1357830651039132,0.03535861707027017]",4.0,"[0.03516084218620851,0.13587667090877484]",100.0,"[0.10377437990720717,0.15746699350575546]",4.0,"[0.038893054387618704,-0.062382400000782115]",4.0,"[0.08420492854053373,-0.11701069038133066]",4.0,"[-0.08981831606659985,-0.04105473548378012]",4.0,"[-0.05603738818483492,0.12849823132196028]",4.0,"[-0.04051303230348778,-0.017583436532688516]",4.0,"[0.14378926206275028,-0.0801302328132552]",4.0,"[0.06756298244903775,-0.024553488558109897]",4.0,"[-0.08956055595052247,0.07594089841422189]",4.0,"[-0.11724941543137878,-0.15981889047266137]",4.0,"[0.02,0.02]",80.0156,0.0,5.0,5.0,191.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,80.0163,80.5166,,,80.7659,81.2662,right,,,,,,,,0.5,0.4725,,,,,,,80.5166,80.7658,81.2663,"[-0.08746790165110419,0.1615420124738527]",4.0,"[-0.07103978189337337,0.08547344683529887]",100.0,"[-0.09755152665704611,-0.027481299213982683]",100.0,"[0.04777930722021027,-0.06207558635617685]",100.0,"[-0.09960434841845206,-0.07513202303779648]",100.0,"[-0.15770331809011143,0.06860984619821439]",100.0,"[0.10271032603956863,-0.1613347805842522]",4.0,"[-0.10986165379903647,0.03450634958194353]",4.0,"[-0.1440075161428676,-0.13373412692017453]",100.0,"[-0.07010913248400909,-0.12086490715856558]",100.0,"[-0.006617319831403905,0.0048693954797032705]",100.0,"[0.10975338790525102,-0.0009354681111209153]",4.0,"[0.07845100209594084,0.15809074627835348]",100.0,"[-0.022756124761839094,-0.1341110197816065]",4.0,"[-0.1463514248117299,-0.04922644581983594]",4.0,"[0.06664872105671686,-0.0019460455534849245]",4.0,"[0.18680691243488048,-0.0567956545035992]",4.0,"[0.17067761831296563,0.0769786492555139]",4.0,"[0.15349690130595633,-0.0025213191058070417]",100.0,"[0.011750886862647069,-0.04059532789798489]",4.0,"[-0.035458238589658235,-0.09452101915280646]",4.0,"[0.05072407839666464,-0.16249644465177923]",100.0,"[-0.10861296212084112,0.10779799069322607]",4.0,"[-0.1391516657765387,-0.004521334498769717]",4.0,"[-0.02413878269818605,0.1820199235511803]",100.0,"[0.10527340683207853,-0.04619520011311136]",4.0,"[-0.02109280070024421,0.04966514732972079]",100.0,"[0.07937159764972943,0.10957855181221994]",100.0,"[0.014815277951501277,-0.08496771653917048]",4.0,"[-0.17957043765788636,-0.022529677279347453]",100.0,"[0.13797734117294302,0.10943068993394157]",100.0,"[0.1934938724407189,0.023744724466472418]",4.0,"[0.02,0.02]",82.3664,0.0,6.0,6.0,119.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,82.3671,82.8663,,,83.1169,83.3832,left,,,,,,,,0.6,0.2378,,,,,,,82.8663,83.1169,83.3832,"[-0.07222499256403153,0.1615407474092129]",4.0,"[0.008253663576891173,0.04711239389517241]",100.0,"[-0.06472761733117718,-0.1427669138704763]",100.0,"[0.03846365033232365,-0.19196080579523114]",100.0,"[0.012691187351560813,-0.13122389914026505]",4.0,"[0.014303253288589191,-0.051934607717510566]",100.0,"[-0.09522606943737491,0.004429557037606049]",100.0,"[0.1431905682920395,-0.12448973267980006]",4.0,"[-0.05050921731006073,0.09389352255201404]",4.0,"[0.1343127216298476,-0.072409649588587]",4.0,"[-0.09274146646211698,0.10832549697275687]",4.0,"[-0.006884948185551865,0.10280975748139971]",100.0,"[-0.14961422049822753,0.10724109847781313]",100.0,"[-0.0748249607182889,-0.07453004487446631]",4.0,"[0.1224473239520005,0.12850969336488746]",100.0,"[0.1196131538735949,0.06034911107131673]",100.0,"[0.09230426924220043,-0.03920924904813578]",100.0,"[-0.10899599390285918,-0.16131000074824114]",100.0,"[0.06687041858919897,-0.09696888157428127]",4.0,"[0.08427727892621263,0.003285656862986956]",100.0,"[-0.1411160308298035,-0.019009252187350206]",100.0,"[0.1645645577963142,0.06931845825705492]",4.0,"[0.06896090251488625,0.04698870796194906]",100.0,"[0.07297468838909894,-0.16447511077855917]",4.0,"[-0.16790574579891113,-0.09736077440682868]",4.0,"[-0.02924831464826491,-0.10066287988488347]",4.0,"[-0.01356646903921979,-0.005540847971760408]",4.0,"[-0.028119374987501427,-0.16671300921090879]",100.0,"[0.013583268272236338,0.14211722932249907]",100.0,"[0.09335224397464145,0.09389319079944614]",100.0,"[-0.09916748770475466,0.04469697736962057]",100.0,"[0.16413410031837317,0.009114903276926377]",100.0,"[0.02,0.02]",84.4842,0.0,7.0,7.0,56.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,84.4849,84.9837,,,85.2345,85.7342,left,,,,,,,,0.55,0.4774,,,,,,,84.9839,85.2343,85.7343,"[-0.07049932495411322,-0.17498638664665436]",100.0,"[-0.14196612886775198,0.08909030846044094]",4.0,"[-0.1972198488381879,0.0002091824970930215]",4.0,"[0.03477495890521005,-0.08190645696227528]",100.0,"[0.03128514635720121,0.06538284069232828]",4.0,"[0.10401464579360657,-0.07930384948126988]",100.0,"[0.14844720558540928,-0.029203368162223898]",100.0,"[0.0706259129301169,0.08696698113297675]",100.0,"[0.0631925876516837,-0.03924639154735328]",4.0,"[-0.11262056932600538,-0.09165299371138838]",4.0,"[0.10091622120638509,0.128550240709657]",100.0,"[-0.0027475512084680262,0.018879178425963407]",4.0,"[-0.14140793865316761,-0.1390172062536961]",100.0,"[-0.009997676460562255,0.19221935222987596]",4.0,"[0.11928260100868747,0.006031615312934435]",100.0,"[-0.00046506661820138487,-0.13412764750454645]",4.0,"[-0.1632588536093426,-0.02486460249493639]",100.0,"[0.05094496008229994,0.15854917721572]",100.0,"[-0.07583020733491615,-0.042067354481239404]",4.0,"[0.036151480063619755,0.11670152290788757]",4.0,"[-0.11694288178774474,-0.030815674428252508]",100.0,"[-0.006564121754357982,0.09132710800101096]",4.0,"[-0.09166101626650579,0.14098392160877382]",100.0,"[0.1393510201681162,-0.1423239171816049]",4.0,"[-0.00161401745161138,0.14078808576043275]",4.0,"[0.11277800843929817,0.057802484863155174]",100.0,"[-0.11242588761196906,0.05081311871308789]",100.0,"[0.16104474743863406,-0.07470106658210193]",100.0,"[-0.05651146987538379,0.010228300666068932]",100.0,"[-0.09000105910632386,0.09689903937441632]",4.0,"[-0.17959010591442362,0.048050826768987226]",100.0,"[0.06588914151741407,-0.17643282797572832]",100.0,"[0.02,0.02]",86.8354,0.0,8.0,8.0,60.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,86.8359,87.3349,,,87.5735,87.9684,left,,,,,,,,0.9,0.3737,,,,,,,87.3349,87.5734,87.9685,"[-0.05689125531214,-0.18730230228311204]",100.0,"[-0.013935000938588609,-0.06457526361404761]",100.0,"[-0.07412049746256684,0.17608583376978693]",100.0,"[-0.02933298191974509,0.006277702203920273]",100.0,"[-0.07580153382334481,0.05623997445668763]",100.0,"[0.012279793633871362,-0.021858611800841588]",100.0,"[0.057572550937660706,-0.07195536847656474]",100.0,"[0.06585050778579303,-0.1241516849983648]",100.0,"[-0.11498415419561511,-0.022832300043658563]",100.0,"[-0.12295674106987953,0.1289486565091044]",100.0,"[0.09426710258497449,-0.03755007975658142]",100.0,"[0.17037574216958598,0.09915533426713335]",100.0,"[0.13064663312748806,0.05015177145863914]",4.0,"[0.001905381445218638,0.19051849271641247]",100.0,"[-0.039001350738703006,-0.1464634843136343]",100.0,"[-0.06532038115582109,-0.1150091275515306]",100.0,"[0.0210771752513646,0.10809298357702214]",100.0,"[-0.02805680549206924,0.15316877921364846]",4.0,"[0.021021255780226254,-0.09966649638524892]",100.0,"[-0.13096701528587273,-0.11270457401144349]",100.0,"[-0.046622827071411216,0.08431932403874752]",100.0,"[0.14270047251447174,-0.060380909523523006]",100.0,"[-0.1422781207972778,0.066020383983168]",4.0,"[0.07437601809822855,0.16594137717322943]",100.0,"[-0.15129629567077185,-0.04948883450176788]",100.0,"[-0.19409220169438615,0.000668791218659581]",100.0,"[0.135334693201024,0.12988374442767217]",100.0,"[0.0933628329645197,0.08573921748375132]",100.0,"[-0.10035752618956148,-0.14510182860717613]",100.0,"[0.18297868037102427,0.010456349100770722]",100.0,"[-0.06007293504285354,-0.06876302341100432]",100.0,"[0.0816524189681384,-0.1662204676298933]",100.0,"[0.02,0.02]",89.069,0.0,9.0,9.0,20.0,1.0,,,,,,,
,,,,,,,571a78f06a1c6300114b8d80,683aef5d17c2d5a2d3bfc02b,2025-05-31_13h00.58.304,shape_ratio,2024.1.5,Win32,61.34969325,683ae9196541af24d3a69e58,,,,,,,,,,,89.0697,89.5692,,,89.8198,90.0054,right,,,,,,,,0.1,0.1665,,,,,,,89.5692,89.8196,90.0054,"[-0.07490766781428854,-0.09682206780852834]",100.0,"[0.19913393739466428,0.00782631722674664]",4.0,"[0.03130109737570203,-0.04431859884416702]",4.0,"[0.09362356635548263,0.02038503598815332]",4.0,"[-0.05242297928435078,0.16707048262586116]",4.0,"[-0.09072425830264352,0.02790054046741463]",4.0,"[-0.1834158116479701,0.032723227024249256]",4.0,"[-0.09342442330530996,-0.14996254777542914]",4.0,"[-0.04492481071585091,0.08967606176674055]",4.0,"[0.07176314131735502,-0.029868027495488253]",4.0,"[-0.02813956840288546,-0.007282948335209333]",4.0,"[-0.013356196942592127,0.14203452362630717]",4.0,"[0.07452302098230179,-0.16854452900941724]",100.0,"[-0.15912552882654912,-0.007205730694344923]",4.0,"[0.14550589872952666,-0.07041187420973787]",4.0,"[-0.12569744203039118,0.13513720632949275]",4.0,"[-0.018716143987024668,-0.06619741679014453]",4.0,"[-0.08953125006232424,-0.03544323830471095]",100.0,"[-0.03199287658634835,-0.11258689129706999]",4.0,"[0.010552489493524162,0.020199391262443238]",4.0,"[0.1808552492704431,0.05515980348932802]",4.0,"[-0.13341342454217797,0.05202240274709942]",4.0,"[0.04997126413783682,-0.13334196385794103]",4.0,"[0.11805817047192312,0.14608084014955225]",4.0,"[-0.16572070337507225,0.10026641283826251]",4.0,"[0.1290491987700296,-0.031852959923030055]",4.0,"[-0.15260525062574223,-0.11631665375931102]",4.0,"[0.12899782895581544,0.0908836347778855]",4.0,"[0.12682808860279218,-0.10957387812817265]",4.0,"[0.08704785182307526,0.09147511843570509]",4.0,"[0.06465145935484802,0.13983771157489447]",4.0,"[0.026706611114214844,0.1609241573283373]",4.0,"[0.02,0.02]",91.1027,0.0,10.0,10.0,197.0,1.0,,,,,,,
